prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Venta De Jugos Jugos Por Litro,café,0,18.458881,-97.398549,https://mitehuacan.mx/?ruta=19
1,Venta De Jugos Sin Nombre,café,0,18.450446,-97.413916,https://mitehuacan.mx/?ruta=19
1,Cafeteria Mientras Espero,café,1,18.461001,-97.394901,https://mitehuacan.mx/?ruta=19
1,Refugio Cafe,café,1,18.461028,-97.395972,https://mitehuacan.mx/?ruta=19
1,Paleteria La Morelense,café,2,18.456897,-97.408834,https://mitehuacan.mx/?ruta=19
1,Venta De Pan Casero Mr Dumpling,café,2,18.463368,-97.38943,https://mitehuacan.mx/?ruta=19
1,Tienda Escolar De La Primaria Federal Ejercito Mexicano Turn,café,3,18.477675,-97.383589,https://mitehuacan.mx/?ruta=19
1,Tienda Escolar De Primaria Emiliano Zapata Turno Matutino,café,3,18.477675,-97.383589,https://mitehuacan.mx/?ruta=19
1,Cafeteria A & A Smoothies,café,5,18.465754,-97.391335,https://mitehuacan.mx/?ruta=19
1,Jugueria Doña Delfis,café,5,18.455426,-97.412674,https://mitehuacan.mx/?ruta=19
1,Helados Y Paletas De Hielo Abisai,café,6,18.455763,-97.411944,https://mitehuacan.mx/?ruta=19
1,Jugueria Sin Nombre,café,6,18.455831,-97.411799,https://mitehuacan.mx/?ruta=19
1,Jugueria De Frutas El Naranjito,café,7,18.466879,-97.391429,https://mitehuacan.mx/?ruta=19
1,Cafeteria Llerrier,café,9,18.460912,-97.39498,https://mitehuacan.mx/?ruta=19
1,Venta De Jugos Y Licuados,café,9,18.460862,-97.393094,https://mitehuacan.mx/?ruta=19
1,Tienda Escolar Primaria Mexico,café,11,18.45237,-97.414765,https://mitehuacan.mx/?ruta=19
1,Cooperativa Escolar,café,12,18.451991,-97.415628,https://mitehuacan.mx/?ruta=19
1,Cafeteria Morentina,café,25,18.462982,-97.391163,https://mitehuacan.mx/?ruta=19
1,Caffe Arce,café,25,18.461948,-97.391178,https://mitehuacan.mx/?ruta=19
1,Cocina Economica Lolita,café,25,18.461948,-97.391178,https://mitehuacan.mx/?ruta=19
1,Jugueria La Esperanza,café,25,18.461948,-97.391178,https://mitehuacan.mx/?ruta=19
1,Refresqueria Y Jugueria Gemita,café,25,18.461948,-97.391178,https://mitehuacan.mx/?ruta=19
1,Venta De Jugos Super Jugos Curativos,café,32,18.458671,-97.391184,https://mitehuacan.mx/?ruta=19
1,Venta De Aguas Sin Nombre,café,34,18.460548,-97.389868,https://mitehuacan.mx/?ruta=19
1,Fuente De Sodas Christ,café,43,18.460688,-97.398267,https://mitehuacan.mx/?ruta=19
1,Desayunos Panchis,café,44,18.469035,-97.389801,https://mitehuacan.mx/?ruta=19
1,Restauran Casa Rayon,café,65,18.462506,-97.392019,https://mitehuacan.mx/?ruta=19
1,Cafeteria Flor De Cafe,café,70,18.461501,-97.390292,https://mitehuacan.mx/?ruta=19
1,Jugos Hernandez,café,79,18.461786,-97.390665,https://mitehuacan.mx/?ruta=19
1,Finca San Agustin Cafe,café,83,18.457938,-97.392445,https://mitehuacan.mx/?ruta=19
1,Venta De Aguas Frescas Sin Nombre,café,86,18.458655,-97.390673,https://mitehuacan.mx/?ruta=19
1,Cafeteria Coffe & Sando,café,87,18.460139,-97.392444,https://mitehuacan.mx/?ruta=19
1,Destino Cafeteria,café,89,18.460277,-97.398178,https://mitehuacan.mx/?ruta=19
1,El Frapecito,café,89,18.459684,-97.398307,https://mitehuacan.mx/?ruta=19
