prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Cafeteria Casa Macarena,café,4,18.453885,-97.39254,https://mitehuacan.mx/?ruta=3-de-mayo
1,Heladeria Y Paleteria Creamy,café,4,18.454355,-97.392526,https://mitehuacan.mx/?ruta=3-de-mayo
1,Endulzate Cafeteria,café,5,18.45526,-97.392499,https://mitehuacan.mx/?ruta=3-de-mayo
1,Heladeria Helados Y Nieves Naturales Tehuacan,café,5,18.459748,-97.394209,https://mitehuacan.mx/?ruta=3-de-mayo
1,Venta De Jugos Y Licuados,café,5,18.460862,-97.393094,https://mitehuacan.mx/?ruta=3-de-mayo
1,Cafeteria Coffe & Sando,café,10,18.460139,-97.392444,https://mitehuacan.mx/?ruta=3-de-mayo
1,Finca San Agustin Cafe,café,11,18.457938,-97.392445,https://mitehuacan.mx/?ruta=3-de-mayo
1,Jugos Y Tortas California,café,12,18.459495,-97.392424,https://mitehuacan.mx/?ruta=3-de-mayo
1,Cherry Food & Coffee,café,21,18.456997,-97.392748,https://mitehuacan.mx/?ruta=3-de-mayo
1,Delicrep,café,23,18.456734,-97.392756,https://mitehuacan.mx/?ruta=3-de-mayo
1,Bulgaru Frozen Kefir,café,26,18.454129,-97.392817,https://mitehuacan.mx/?ruta=3-de-mayo
1,Cafeteria Dulces Detalles,café,42,18.456402,-97.396674,https://mitehuacan.mx/?ruta=3-de-mayo
1,La Crepa Sale Sucre,café,42,18.456402,-97.396674,https://mitehuacan.mx/?ruta=3-de-mayo
1,Venta De Comida San Pedro,café,58,18.456585,-97.391976,https://mitehuacan.mx/?ruta=3-de-mayo
1,Dr. Tapioca,café,72,18.457891,-97.393578,https://mitehuacan.mx/?ruta=3-de-mayo
1,Cafeteria Cafetti,café,73,18.456121,-97.396684,https://mitehuacan.mx/?ruta=3-de-mayo
1,Venta Jugos Sin Nombre,café,75,18.455119,-97.393257,https://mitehuacan.mx/?ruta=3-de-mayo
1,Cafeteria Mientras Espero,café,83,18.461001,-97.394901,https://mitehuacan.mx/?ruta=3-de-mayo
1,La Casita De Dulces,café,86,18.453392,-97.39177,https://mitehuacan.mx/?ruta=3-de-mayo
1,Cooperativa De Primaria 21 De Marzo,café,87,18.453683,-97.397464,https://mitehuacan.mx/?ruta=3-de-mayo
1,Tienda Escolar De Primaria Ignacio Manuel Altamirano,café,87,18.453683,-97.397464,https://mitehuacan.mx/?ruta=3-de-mayo
