prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Master Coffe Tehuacan,café,1,18.460727,-97.385176,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Crepi-Land,café,2,18.444797,-97.401749,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Difertilandia,café,2,18.44487,-97.401756,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Elaboracion Y Venta De Bebidas Bobba Go,café,2,18.458623,-97.389801,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Heladeria Helados Y Nieves Naturales Tehuacan,café,2,18.459748,-97.394209,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Venta De Aguas Frescas Sin Nombre,café,3,18.458655,-97.390673,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Venta De Jugos Super Jugos Curativos,café,3,18.458671,-97.391184,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Venta De Pan Casero Mr Dumpling,café,3,18.463368,-97.38943,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Elaboracion Y Venta De Aguas Frescas Sin Nombre,café,4,18.460965,-97.378318,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Elaboracion Y Venta De Churros,café,5,18.461091,-97.378977,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Cafeteria Dulces Detalles,café,7,18.456402,-97.396674,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,La Crepa Sale Sucre,café,7,18.456402,-97.396674,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Cafeteria Cafetti,café,8,18.456121,-97.396684,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Venta De Jugos Y Licuados,café,9,18.460862,-97.393094,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Tienda Escolar,café,16,18.465037,-97.374228,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Cafeteria Idue Cafe,café,20,18.459066,-97.385896,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Jugos Grecia,café,23,18.443148,-97.401383,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Rock Burger,café,24,18.460601,-97.377792,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Cooperativa De Primaria 21 De Marzo,café,33,18.453683,-97.397464,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Tienda Escolar De Primaria Ignacio Manuel Altamirano,café,33,18.453683,-97.397464,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Venta De Aguas Sin Nombre,café,34,18.460548,-97.389868,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Tienda Escolar Sin Nombre,café,35,18.465123,-97.387018,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Cafeteria Cupcake,café,40,18.45447,-97.394134,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Ruta Cafe,café,48,18.459007,-97.388643,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Cafeteria La Suiza,café,49,18.459039,-97.389388,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Cafeteria Cristals,café,51,18.442201,-97.406005,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Cafeteria Ricatory,café,55,18.462876,-97.387561,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Cafeteria Flor De Cafe,café,70,18.461501,-97.390292,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Cafeteria Mientras Espero,café,76,18.461001,-97.394901,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Dr. Tapioca,café,77,18.457891,-97.393578,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Finca San Agustin Cafe,café,81,18.457938,-97.392445,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Cafeteria Llerrier,café,84,18.460912,-97.39498,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Cafeteria Coffe & Sando,café,87,18.460139,-97.392444,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Jugos Y Tortas California,café,91,18.459495,-97.392424,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Tienda Escolar,café,96,18.462222,-97.384842,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Jugos Hernandez,café,101,18.461786,-97.390665,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Venta De Jugos Y Licuados Sin Nombre,café,104,18.452587,-97.394487,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Cafeteria Ceut,café,114,18.463635,-97.388377,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Venta De Desayunos Sin Nombre,café,116,18.462891,-97.388139,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Caffe Arce,café,117,18.461948,-97.391178,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Cocina Economica Lolita,café,117,18.461948,-97.391178,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Jugueria La Esperanza,café,117,18.461948,-97.391178,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Refresqueria Y Jugueria Gemita,café,117,18.461948,-97.391178,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Cafe Sierra Negra,café,119,18.457574,-97.391481,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Cafe La Giralda,café,123,18.462077,-97.394352,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Venta Jugos Sin Nombre,café,126,18.455119,-97.393257,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Venta De Jugos Sin Nombre,café,146,18.462702,-97.385574,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Jugueria Rocha,café,148,18.464455,-97.378314,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,La Casa De La Tecnologia,celulares,1,18.461866,-97.389462,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Tiendas De Telefonos Distribuidor Autorizado Telcel Pamec,celulares,1,18.461441,-97.389465,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Venta De Productos De Electronica D& D Promotion,celulares,1,18.460975,-97.393687,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,2,18.458753,-97.394037,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Tienda De Telefonos Pamec Telcel,celulares,2,18.460943,-97.392408,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Unlock Cell Andy Venta De Articulos Para Celulares,celulares,2,18.458629,-97.389972,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel ,celulares,2,18.458583,-97.388607,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Accesorios Para Celular Rom Cell,celulares,3,18.460917,-97.391298,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Accesorios Y Novedades Panda,celulares,3,18.4609,-97.390654,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Grupo Accel,celulares,3,18.458657,-97.390711,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,3,18.458618,-97.389317,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Venta De Accesorios Para Celular Novedades Hernandez,celulares,3,18.460876,-97.389735,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Venta De Accesorios Telefonicos Dido Cell,celulares,3,18.460874,-97.389668,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Venta De Celulares Cellular Wordl,celulares,3,18.458657,-97.390711,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Yeyi Cell Accesorios Y Reparacion,celulares,3,18.458698,-97.392199,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Macropay,celulares,4,18.463938,-97.386968,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Compra Venta De Refacciones Para Celular,celulares,5,18.464343,-97.3894,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
1,Venta De Accesorios Para. Celulares,celulares,5,18.461357,-97.387035,https://mitehuacan.mx/?ruta=31-fovissste-resurreccion
