prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Elaboracion Y Venta De Bebidas Bobba Go,café,2,18.458623,-97.389801,https://mitehuacan.mx/?ruta=32-san-francisco
1,Heladeria Helados Y Nieves Naturales Tehuacan,café,2,18.459748,-97.394209,https://mitehuacan.mx/?ruta=32-san-francisco
1,Venta De Aguas Frescas Sin Nombre,café,2,18.458655,-97.390673,https://mitehuacan.mx/?ruta=32-san-francisco
1,Venta De Jugos Super Jugos Curativos,café,2,18.458671,-97.391184,https://mitehuacan.mx/?ruta=32-san-francisco
1,Cafeteria A & A Smoothies,café,3,18.465754,-97.391335,https://mitehuacan.mx/?ruta=32-san-francisco
1,Pasteleria Francesa Le Coin Sucre,café,3,18.46429,-97.394087,https://mitehuacan.mx/?ruta=32-san-francisco
1,Venta De Jugos Las Palmas,café,3,18.483139,-97.397773,https://mitehuacan.mx/?ruta=32-san-francisco
1,Cafe Sierra Negra,café,4,18.457574,-97.391481,https://mitehuacan.mx/?ruta=32-san-francisco
1,Restaurante Drayeck,café,6,18.477961,-97.397836,https://mitehuacan.mx/?ruta=32-san-francisco
1,Jugueria De Frutas El Naranjito,café,8,18.466879,-97.391429,https://mitehuacan.mx/?ruta=32-san-francisco
1,Cafeteria Las 3 B,café,9,18.475074,-97.394978,https://mitehuacan.mx/?ruta=32-san-francisco
1,Cafeteria Pirillos,café,9,18.470215,-97.393927,https://mitehuacan.mx/?ruta=32-san-francisco
1,Cooperativa Escolar Turno Matutino,café,10,18.477033,-97.397059,https://mitehuacan.mx/?ruta=32-san-francisco
1,The Italian Coffee Company,café,10,18.471005,-97.394196,https://mitehuacan.mx/?ruta=32-san-francisco
1,Tienda Escolar Liberacion Turno Vespertino Numero De Concesi,café,10,18.477033,-97.397059,https://mitehuacan.mx/?ruta=32-san-francisco
1,Caseta Metalica Sin Nombre,café,12,18.484546,-97.402084,https://mitehuacan.mx/?ruta=32-san-francisco
1,Caseta Sin Nombre,café,12,18.484528,-97.402074,https://mitehuacan.mx/?ruta=32-san-francisco
1,Donas Match Donuts,café,16,18.462368,-97.394014,https://mitehuacan.mx/?ruta=32-san-francisco
1,Occo Vintaje Cafe & Bagel,café,17,18.464892,-97.393948,https://mitehuacan.mx/?ruta=32-san-francisco
1,Cafeteria Bombay,café,18,18.466439,-97.393904,https://mitehuacan.mx/?ruta=32-san-francisco
1,Cafeteria Entre Aromas & Cafe,café,18,18.46648,-97.393904,https://mitehuacan.mx/?ruta=32-san-francisco
1,Hemingway Coffe,café,18,18.466656,-97.393901,https://mitehuacan.mx/?ruta=32-san-francisco
1,La Incluyente Cafeteria Y Panaderia,café,18,18.466737,-97.393899,https://mitehuacan.mx/?ruta=32-san-francisco
1,Mokafe Cafeteria,café,18,18.466774,-97.393899,https://mitehuacan.mx/?ruta=32-san-francisco
1,Hemingway,café,18,18.466255,-97.393907,https://mitehuacan.mx/?ruta=32-san-francisco
1,Cafe La Giralda,café,19,18.462077,-97.394352,https://mitehuacan.mx/?ruta=32-san-francisco
1,Servicio De Venta De Helados Nutrisa,café,20,18.464133,-97.393932,https://mitehuacan.mx/?ruta=32-san-francisco
1,Arlequin Coffe,café,21,18.464909,-97.393906,https://mitehuacan.mx/?ruta=32-san-francisco
1,Cafeteria Morentina,café,26,18.462982,-97.391163,https://mitehuacan.mx/?ruta=32-san-francisco
1,Caffe Arce,café,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=32-san-francisco
1,Cocina Economica Lolita,café,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=32-san-francisco
1,Jugueria La Esperanza,café,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=32-san-francisco
1,Refresqueria Y Jugueria Gemita,café,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=32-san-francisco
1,Tortas Las Cuñis,café,39,18.469113,-97.393651,https://mitehuacan.mx/?ruta=32-san-francisco
1,Jugueria Sin Nombre,café,41,18.45699,-97.38517,https://mitehuacan.mx/?ruta=32-san-francisco
1,Venta De Jugo Sin Nombre,café,44,18.456949,-97.385583,https://mitehuacan.mx/?ruta=32-san-francisco
1,Ruta Cafe,café,49,18.459007,-97.388643,https://mitehuacan.mx/?ruta=32-san-francisco
1,Cafeteria La Suiza,café,50,18.459039,-97.389388,https://mitehuacan.mx/?ruta=32-san-francisco
1,Mientras Espero Foro Y Cafe,café,56,18.46361,-97.393608,https://mitehuacan.mx/?ruta=32-san-francisco
1,Ricafet,café,56,18.46711,-97.393528,https://mitehuacan.mx/?ruta=32-san-francisco
1,Jugueria Guisel,café,62,18.456791,-97.385179,https://mitehuacan.mx/?ruta=32-san-francisco
1,Restauran Casa Rayon,café,63,18.462506,-97.392019,https://mitehuacan.mx/?ruta=32-san-francisco
1,Cafeteria Idue Cafe,café,67,18.459066,-97.385896,https://mitehuacan.mx/?ruta=32-san-francisco
1,Cafeteria Mientras Espero,café,74,18.461001,-97.394901,https://mitehuacan.mx/?ruta=32-san-francisco
1,Cafeteria Naxi Kita A Sa,café,81,18.465013,-97.39487,https://mitehuacan.mx/?ruta=32-san-francisco
1,Cafeteria Llerrier,café,82,18.460912,-97.39498,https://mitehuacan.mx/?ruta=32-san-francisco
1,Jugos Hernandez,café,82,18.461786,-97.390665,https://mitehuacan.mx/?ruta=32-san-francisco
1,Aguas Frescas Sin Nombre,café,84,18.490169,-97.40475,https://mitehuacan.mx/?ruta=32-san-francisco
1,Finca San Agustin Cafe,café,85,18.457938,-97.392445,https://mitehuacan.mx/?ruta=32-san-francisco
1,Jugos Y Tortas California,café,87,18.459495,-97.392424,https://mitehuacan.mx/?ruta=32-san-francisco
1,Cefeteria El Eden,café,92,18.476871,-97.396028,https://mitehuacan.mx/?ruta=32-san-francisco
1,Venta De Jugos Y Licuados Sin Nombre,café,94,18.47958,-97.39998,https://mitehuacan.mx/?ruta=32-san-francisco
