prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Cooperativa Escuela Porfirio Cordero Perez,café,2,18.486571,-97.408788,https://mitehuacan.mx/?ruta=34-viveros
1,Mr. Creping,café,2,18.464957,-97.392434,https://mitehuacan.mx/?ruta=34-viveros
1,Cafeteria Las 3 B,café,3,18.475074,-97.394978,https://mitehuacan.mx/?ruta=34-viveros
1,Heladeria Helados Y Nieves Naturales Tehuacan,café,3,18.459748,-97.394209,https://mitehuacan.mx/?ruta=34-viveros
1,Cafe Sierra Negra,café,4,18.457574,-97.391481,https://mitehuacan.mx/?ruta=34-viveros
1,Jugueria Sin Nombre,café,4,18.489699,-97.404492,https://mitehuacan.mx/?ruta=34-viveros
1,Pasteleria Francesa Le Coin Sucre,café,4,18.46429,-97.394087,https://mitehuacan.mx/?ruta=34-viveros
1,Aguas Frescas Sin Nombre,café,5,18.490169,-97.40475,https://mitehuacan.mx/?ruta=34-viveros
1,Cafe Sierra Negra,café,5,18.465978,-97.393045,https://mitehuacan.mx/?ruta=34-viveros
1,Hamburguesas Burguer Lukas,café,5,18.467461,-97.393003,https://mitehuacan.mx/?ruta=34-viveros
1,Maple Cafeteria,café,5,18.46634,-97.393037,https://mitehuacan.mx/?ruta=34-viveros
1,Cafeteria San Francisco,café,6,18.470488,-97.392805,https://mitehuacan.mx/?ruta=34-viveros
1,Elaboracion Y Venta De Bebidas Bobba Go,café,6,18.458623,-97.389801,https://mitehuacan.mx/?ruta=34-viveros
1,Expreso Cafe,café,6,18.470488,-97.392805,https://mitehuacan.mx/?ruta=34-viveros
1,Helados Panchito,café,6,18.470488,-97.392805,https://mitehuacan.mx/?ruta=34-viveros
1,Jugos Y Licuados Karina,café,6,18.470488,-97.392805,https://mitehuacan.mx/?ruta=34-viveros
1,Restaurante Drayeck,café,6,18.477961,-97.397836,https://mitehuacan.mx/?ruta=34-viveros
1,Venta De Jugos Super Jugos Curativos,café,6,18.458671,-97.391184,https://mitehuacan.mx/?ruta=34-viveros
1,Venta De Jugos Y Refrescos San Juditas,café,6,18.470488,-97.392805,https://mitehuacan.mx/?ruta=34-viveros
1,Cooperativa Escolar Turno Matutino,café,7,18.477033,-97.397059,https://mitehuacan.mx/?ruta=34-viveros
1,Mom Petit Peche,café,7,18.464887,-97.392958,https://mitehuacan.mx/?ruta=34-viveros
1,Tienda Escolar Liberacion Turno Vespertino Numero De Concesi,café,7,18.477033,-97.397059,https://mitehuacan.mx/?ruta=34-viveros
1,Venta De Aguas Frescas Sin Nombre,café,7,18.458655,-97.390673,https://mitehuacan.mx/?ruta=34-viveros
1,The Italian Coffee Company,café,8,18.471005,-97.394196,https://mitehuacan.mx/?ruta=34-viveros
1,Venta De Comida Frutileto,café,8,18.465694,-97.392929,https://mitehuacan.mx/?ruta=34-viveros
1,Cafeteria Pirillos,café,9,18.470215,-97.393927,https://mitehuacan.mx/?ruta=34-viveros
1,Cafeteria Saludable V & V,café,9,18.46525,-97.392939,https://mitehuacan.mx/?ruta=34-viveros
1,Caseta Metalica Sin Nombre,café,12,18.484546,-97.402084,https://mitehuacan.mx/?ruta=34-viveros
1,Caseta Sin Nombre,café,12,18.484528,-97.402074,https://mitehuacan.mx/?ruta=34-viveros
1,Tiendita Escolar,café,13,18.489193,-97.427331,https://mitehuacan.mx/?ruta=34-viveros
1,Cafeteria Bombay,café,17,18.466439,-97.393904,https://mitehuacan.mx/?ruta=34-viveros
1,Cafeteria Entre Aromas & Cafe,café,17,18.46648,-97.393904,https://mitehuacan.mx/?ruta=34-viveros
1,Donas Match Donuts,café,17,18.462368,-97.394014,https://mitehuacan.mx/?ruta=34-viveros
1,Hemingway Coffe,café,17,18.466656,-97.393901,https://mitehuacan.mx/?ruta=34-viveros
1,La Incluyente Cafeteria Y Panaderia,café,17,18.466737,-97.393899,https://mitehuacan.mx/?ruta=34-viveros
1,Mokafe Cafeteria,café,17,18.466774,-97.393899,https://mitehuacan.mx/?ruta=34-viveros
1,Occo Vintaje Cafe & Bagel,café,17,18.464892,-97.393948,https://mitehuacan.mx/?ruta=34-viveros
1,Cafe La Giralda,café,18,18.462077,-97.394352,https://mitehuacan.mx/?ruta=34-viveros
1,Hemingway,café,18,18.466255,-97.393907,https://mitehuacan.mx/?ruta=34-viveros
1,Servicio De Venta De Helados Nutrisa,café,21,18.464133,-97.393932,https://mitehuacan.mx/?ruta=34-viveros
1,Arlequin Coffe,café,22,18.464909,-97.393906,https://mitehuacan.mx/?ruta=34-viveros
1,Cafeteria Morentina,café,28,18.462982,-97.391163,https://mitehuacan.mx/?ruta=34-viveros
1,Caffe Arce,café,28,18.461948,-97.391178,https://mitehuacan.mx/?ruta=34-viveros
1,Cocina Economica Lolita,café,28,18.461948,-97.391178,https://mitehuacan.mx/?ruta=34-viveros
1,Jugueria La Esperanza,café,28,18.461948,-97.391178,https://mitehuacan.mx/?ruta=34-viveros
1,Refresqueria Y Jugueria Gemita,café,28,18.461948,-97.391178,https://mitehuacan.mx/?ruta=34-viveros
1,Tortas Las Cuñis,café,38,18.469113,-97.393651,https://mitehuacan.mx/?ruta=34-viveros
1,Jugueria Sin Nombre,café,41,18.45699,-97.38517,https://mitehuacan.mx/?ruta=34-viveros
1,Venta De Jugo Sin Nombre,café,44,18.456949,-97.385583,https://mitehuacan.mx/?ruta=34-viveros
1,Ruta Cafe,café,52,18.459007,-97.388643,https://mitehuacan.mx/?ruta=34-viveros
1,Cafeteria La Suiza,café,53,18.459039,-97.389388,https://mitehuacan.mx/?ruta=34-viveros
1,Ambrosia,café,55,18.470355,-97.392347,https://mitehuacan.mx/?ruta=34-viveros
1,Ricafet,café,55,18.46711,-97.393528,https://mitehuacan.mx/?ruta=34-viveros
1,Mientras Espero Foro Y Cafe,café,57,18.46361,-97.393608,https://mitehuacan.mx/?ruta=34-viveros
1,Jugueria Guisel,café,62,18.456791,-97.385179,https://mitehuacan.mx/?ruta=34-viveros
1,Restauran Casa Rayon,café,62,18.462506,-97.392019,https://mitehuacan.mx/?ruta=34-viveros
1,Cafeteria Idue Cafe,café,68,18.459066,-97.385896,https://mitehuacan.mx/?ruta=34-viveros
1,Cafeteria Mientras Espero,café,73,18.461001,-97.394901,https://mitehuacan.mx/?ruta=34-viveros
1,Cafeteria Naxi Kita A Sa,café,80,18.465013,-97.39487,https://mitehuacan.mx/?ruta=34-viveros
1,Cafeteria Llerrier,café,81,18.460912,-97.39498,https://mitehuacan.mx/?ruta=34-viveros
1,Finca San Agustin Cafe,café,82,18.457938,-97.392445,https://mitehuacan.mx/?ruta=34-viveros
1,Jugos Hernandez,café,83,18.461786,-97.390665,https://mitehuacan.mx/?ruta=34-viveros
1,Venta De Jugos Y Licuados Sin Nombre,café,88,18.47958,-97.39998,https://mitehuacan.mx/?ruta=34-viveros
