prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Caseta Escolar De La Escuela Juan De La Barrera,café,2,18.377987,-97.273248,https://mitehuacan.mx/?ruta=ajalpan
1,Tienda Escolar,café,3,18.377863,-97.273317,https://mitehuacan.mx/?ruta=ajalpan
1,Venta De Jugos Sin Nombre,café,3,18.462702,-97.385574,https://mitehuacan.mx/?ruta=ajalpan
1,Cafeteria Chapis,café,4,18.375791,-97.291964,https://mitehuacan.mx/?ruta=ajalpan
1,Cafeteria,café,5,18.375688,-97.292897,https://mitehuacan.mx/?ruta=ajalpan
1,Jugos Y Tortas Disfruta,café,5,18.380341,-97.263673,https://mitehuacan.mx/?ruta=ajalpan
1,Paleteria Y Helados La Michoacana,café,5,18.377935,-97.257689,https://mitehuacan.mx/?ruta=ajalpan
1,Cafeteria El Ganoderma,café,7,18.378305,-97.261846,https://mitehuacan.mx/?ruta=ajalpan
1,Cafeteria Ganolife,café,7,18.378305,-97.261846,https://mitehuacan.mx/?ruta=ajalpan
1,Jugos De Naranja Isabel,café,7,18.464727,-97.384178,https://mitehuacan.mx/?ruta=ajalpan
1,Jugueria El Angel,café,7,18.378305,-97.261846,https://mitehuacan.mx/?ruta=ajalpan
1,Jugueria La Divina Providencia,café,7,18.378305,-97.261846,https://mitehuacan.mx/?ruta=ajalpan
1,Loncheria Don Arturo,café,7,18.378305,-97.261846,https://mitehuacan.mx/?ruta=ajalpan
1,Venta De Desayunos Sin Nombre,café,7,18.462891,-97.388139,https://mitehuacan.mx/?ruta=ajalpan
1,Cafeteria Ricatory,café,8,18.462876,-97.387561,https://mitehuacan.mx/?ruta=ajalpan
1,Jugos Y Licuados Tres Hermanos,café,8,18.375813,-97.292806,https://mitehuacan.mx/?ruta=ajalpan
1,Barra Cafe Tetiaxca La Casa De Los Abuelos,café,9,18.377957,-97.259041,https://mitehuacan.mx/?ruta=ajalpan
1,Coffe Beans,café,12,18.378009,-97.257248,https://mitehuacan.mx/?ruta=ajalpan
1,Bubba Duck Cafeteria,café,13,18.377756,-97.260125,https://mitehuacan.mx/?ruta=ajalpan
1,Tienda Escolar Turno Matutino,café,20,18.377758,-97.256467,https://mitehuacan.mx/?ruta=ajalpan
1,Tienda Escolar Turno Vespertino,café,20,18.377758,-97.256467,https://mitehuacan.mx/?ruta=ajalpan
1,Tienda Escolar Cuitlahuac,café,28,18.442369,-97.367506,https://mitehuacan.mx/?ruta=ajalpan
1,Casetita Blanca,café,40,18.443523,-97.367565,https://mitehuacan.mx/?ruta=ajalpan
1,Tienda Escolar Sin Nombre,café,41,18.465123,-97.387018,https://mitehuacan.mx/?ruta=ajalpan
1,Tienda Escolar,café,53,18.462222,-97.384842,https://mitehuacan.mx/?ruta=ajalpan
1,Venta De Pan Casero Mr Dumpling,café,55,18.463368,-97.38943,https://mitehuacan.mx/?ruta=ajalpan
1,Restaurant Bar El Porton,café,62,18.378432,-97.260039,https://mitehuacan.mx/?ruta=ajalpan
1,Tienda Escolar Antojitos Benito Juarez,café,64,18.379444,-97.265152,https://mitehuacan.mx/?ruta=ajalpan
1,Cafeteria Morentina,café,71,18.462982,-97.391163,https://mitehuacan.mx/?ruta=ajalpan
1,Cafeteria Cafe Iberia,café,72,18.465286,-97.382698,https://mitehuacan.mx/?ruta=ajalpan
1,Jugui Fruti Coffe Break,café,77,18.377284,-97.300434,https://mitehuacan.mx/?ruta=ajalpan
1,Cafeteria Ceut,café,88,18.463635,-97.388377,https://mitehuacan.mx/?ruta=ajalpan
1,la paroquia,café,90,18.377074,-97.257571,https://mitehuacan.mx/?ruta=ajalpan
1,la catarina,café,91,18.377083,-97.257092,https://mitehuacan.mx/?ruta=ajalpan
1,Cooperativa Escolar Secundaria Raul Lopez Ramirez,café,106,18.460571,-97.37174,https://mitehuacan.mx/?ruta=ajalpan
1,Jugueria El Oasis,café,117,18.465766,-97.38524,https://mitehuacan.mx/?ruta=ajalpan
1,Jugos Hernandez,café,122,18.461786,-97.390665,https://mitehuacan.mx/?ruta=ajalpan
1,Loncheria Sin Nombre,café,125,18.377137,-97.262145,https://mitehuacan.mx/?ruta=ajalpan
1,Caffe Arce,café,126,18.461948,-97.391178,https://mitehuacan.mx/?ruta=ajalpan
1,Cocina Economica Lolita,café,126,18.461948,-97.391178,https://mitehuacan.mx/?ruta=ajalpan
1,Jugueria La Esperanza,café,126,18.461948,-97.391178,https://mitehuacan.mx/?ruta=ajalpan
1,Refresqueria Y Jugueria Gemita,café,126,18.461948,-97.391178,https://mitehuacan.mx/?ruta=ajalpan
1,Jugueria Sin Nombre,café,131,18.465817,-97.382689,https://mitehuacan.mx/?ruta=ajalpan
1,Cafeteria A & A Smoothies,café,133,18.465754,-97.391335,https://mitehuacan.mx/?ruta=ajalpan
1,Jugueria Raquel,café,135,18.465925,-97.384707,https://mitehuacan.mx/?ruta=ajalpan
1,La Parrilla De Maria Ines,café,137,18.379858,-97.267268,https://mitehuacan.mx/?ruta=ajalpan
1,Caseta Escolar De La Escuela Emiliano Zapata,café,141,18.377516,-97.298103,https://mitehuacan.mx/?ruta=ajalpan
1,Compra Venta De Accesorios Para Celular Accesorios Una Hora ,celulares,1,18.464835,-97.390085,https://mitehuacan.mx/?ruta=ajalpan
1,Compra Venta De Refacciones Para Celulares Iplus Refacciones,celulares,1,18.464835,-97.390085,https://mitehuacan.mx/?ruta=ajalpan
1,Accesorios Para Telefonos Celulares Las Palmas,celulares,3,18.378868,-97.263562,https://mitehuacan.mx/?ruta=ajalpan
1,Telefonica Movistar,celulares,3,18.462854,-97.390503,https://mitehuacan.mx/?ruta=ajalpan
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,3,18.462848,-97.390304,https://mitehuacan.mx/?ruta=ajalpan
1,Electronica Osve,celulares,4,18.462754,-97.387432,https://mitehuacan.mx/?ruta=ajalpan
1,Computronix Tecnologia,celulares,5,18.377937,-97.257499,https://mitehuacan.mx/?ruta=ajalpan
1,Distribuidor Autorizado Telcel,celulares,5,18.377825,-97.259778,https://mitehuacan.mx/?ruta=ajalpan
1,Distriduidor Autorizado Telcel Pamec,celulares,5,18.378369,-97.262431,https://mitehuacan.mx/?ruta=ajalpan
1,Servi Cel,celulares,5,18.380285,-97.263523,https://mitehuacan.mx/?ruta=ajalpan
1,Telcel,celulares,6,18.378337,-97.262338,https://mitehuacan.mx/?ruta=ajalpan
1,Venta De Telefonos Y Accesorios Telcel,celulares,6,18.378276,-97.26216,https://mitehuacan.mx/?ruta=ajalpan
1,Reparacion Y Venta De Accesorios Telefonicos Ganac,celulares,7,18.462891,-97.388139,https://mitehuacan.mx/?ruta=ajalpan
1,Tienda De Accesorios Para Celular Play Store,celulares,7,18.378164,-97.261833,https://mitehuacan.mx/?ruta=ajalpan
1,Tienda De Accesorios Para Celulares Accs Cell,celulares,7,18.378151,-97.261794,https://mitehuacan.mx/?ruta=ajalpan
1,Tienda De Articulos Para Celular Sin Nombre,celulares,7,18.378305,-97.261846,https://mitehuacan.mx/?ruta=ajalpan
1,Tienda De Telefonos Y Accesorios Telcel,celulares,7,18.37816,-97.261822,https://mitehuacan.mx/?ruta=ajalpan
1,Celulares Telcel,celulares,8,18.462859,-97.386954,https://mitehuacan.mx/?ruta=ajalpan
1,Compra Venta De Accesorios Para Celular Life Style,celulares,8,18.462976,-97.390565,https://mitehuacan.mx/?ruta=ajalpan
1,Tienda De Accesorios Para Celular Sin Nombre,celulares,8,18.378776,-97.263632,https://mitehuacan.mx/?ruta=ajalpan
1,Tienda De Telefonos Telcel,celulares,8,18.462948,-97.389655,https://mitehuacan.mx/?ruta=ajalpan
1,Accesorios Para Celular Cell Ma-Va,celulares,9,18.462758,-97.389318,https://mitehuacan.mx/?ruta=ajalpan
