prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Jugos Y Tortas Sin Nombre,café,1,18.435111,-97.403761,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Jugos Y Licuados Sin Nombre,café,1,18.452587,-97.394487,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Aguas Frescas Sin Nombre,café,3,18.458655,-97.390673,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Jugos Super Jugos Curativos,café,3,18.458671,-97.391184,https://mitehuacan.mx/?ruta=coapan-nacional
1,Cafeteria Casa Macarena,café,4,18.453885,-97.39254,https://mitehuacan.mx/?ruta=coapan-nacional
1,Elaboracion Y Venta De Bebidas Bobba Go,café,4,18.458623,-97.389801,https://mitehuacan.mx/?ruta=coapan-nacional
1,Saborilan,café,4,18.427001,-97.405691,https://mitehuacan.mx/?ruta=coapan-nacional
1,Endulzate Cafeteria,café,5,18.45526,-97.392499,https://mitehuacan.mx/?ruta=coapan-nacional
1,Heladeria Helados Y Nieves Naturales Tehuacan,café,5,18.459748,-97.394209,https://mitehuacan.mx/?ruta=coapan-nacional
1,Heladeria Y Paleteria Creamy,café,5,18.454355,-97.392526,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Jugos Y Licuados,café,5,18.460862,-97.393094,https://mitehuacan.mx/?ruta=coapan-nacional
1,Cafeteria Del Tec,café,8,18.438471,-97.399785,https://mitehuacan.mx/?ruta=coapan-nacional
1,Cafeteria Coffe & Sando,café,10,18.460139,-97.392444,https://mitehuacan.mx/?ruta=coapan-nacional
1,Cafe Sierra Negra,café,11,18.457574,-97.391481,https://mitehuacan.mx/?ruta=coapan-nacional
1,Finca San Agustin Cafe,café,11,18.457938,-97.392445,https://mitehuacan.mx/?ruta=coapan-nacional
1,Jugos Y Tortas California,café,12,18.459495,-97.392424,https://mitehuacan.mx/?ruta=coapan-nacional
1,Jugueria Morales,café,13,18.43295,-97.403118,https://mitehuacan.mx/?ruta=coapan-nacional
1,Cherry Food & Coffee,café,21,18.456997,-97.392748,https://mitehuacan.mx/?ruta=coapan-nacional
1,Delicrep,café,23,18.456734,-97.392756,https://mitehuacan.mx/?ruta=coapan-nacional
1,Bulgaru Frozen Kefir,café,26,18.454129,-97.392817,https://mitehuacan.mx/?ruta=coapan-nacional
1,Cafeteria Cupcake,café,34,18.45447,-97.394134,https://mitehuacan.mx/?ruta=coapan-nacional
1,Jugueria Sin Nombre,café,38,18.45699,-97.38517,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Jugo Sin Nombre,café,42,18.456949,-97.385583,https://mitehuacan.mx/?ruta=coapan-nacional
1,Ruta Cafe,café,42,18.459007,-97.388643,https://mitehuacan.mx/?ruta=coapan-nacional
1,Cafeteria La Suiza,café,44,18.459039,-97.389388,https://mitehuacan.mx/?ruta=coapan-nacional
1,"Cafeterías, Fuentes De Sodas, Neverías, Refresquerías Y Simi",café,58,18.427554,-97.406327,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Comida San Pedro,café,58,18.456585,-97.391976,https://mitehuacan.mx/?ruta=coapan-nacional
1,Jugueria Guisel,café,59,18.456791,-97.385179,https://mitehuacan.mx/?ruta=coapan-nacional
1,Cafeteria Idue Cafe,café,62,18.459066,-97.385896,https://mitehuacan.mx/?ruta=coapan-nacional
1,Dr. Tapioca,café,72,18.457891,-97.393578,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta Jugos Sin Nombre,café,75,18.455119,-97.393257,https://mitehuacan.mx/?ruta=coapan-nacional
1,Cafeteria Mientras Espero,café,83,18.461001,-97.394901,https://mitehuacan.mx/?ruta=coapan-nacional
1,La Casita De Dulces,café,86,18.453392,-97.39177,https://mitehuacan.mx/?ruta=coapan-nacional
1,Cafeteria Llerrier,café,91,18.460912,-97.39498,https://mitehuacan.mx/?ruta=coapan-nacional
1,Cafeteria Calle Melancolia,café,99,18.454898,-97.391618,https://mitehuacan.mx/?ruta=coapan-nacional
1,Jugueria Sin Nombre,café,107,18.456472,-97.389978,https://mitehuacan.mx/?ruta=coapan-nacional
1,Cooperativa Escolar Sin Nombre Turno Matutino Escuela Primar,café,108,18.455339,-97.391516,https://mitehuacan.mx/?ruta=coapan-nacional
1,Tienda Escolar Primaria Ing Pastor Roauix Turno Vespertino,café,108,18.455339,-97.391516,https://mitehuacan.mx/?ruta=coapan-nacional
1,Cooperativa Los Niños Son Primero Escuela Primaria Manuel Av,café,116,18.456419,-97.391004,https://mitehuacan.mx/?ruta=coapan-nacional
1,Tienda Escolar Sin Nombre Escuela Primaria Manuel Avila Cama,café,116,18.456415,-97.390938,https://mitehuacan.mx/?ruta=coapan-nacional
1,Elaboracion Y Venta De Jugos Naturales Doña Apolonia,café,118,18.432775,-97.402138,https://mitehuacan.mx/?ruta=coapan-nacional
1,Cafe La Giralda,café,129,18.462077,-97.394352,https://mitehuacan.mx/?ruta=coapan-nacional
1,Desayunados Juquilita,café,130,18.456252,-97.389436,https://mitehuacan.mx/?ruta=coapan-nacional
1,Jugos Y Licuados Happy Tummy,café,145,18.434092,-97.402558,https://mitehuacan.mx/?ruta=coapan-nacional
1,Tienda De Celulares Ativacel,celulares,2,18.429797,-97.405102,https://mitehuacan.mx/?ruta=coapan-nacional
1,Grupo Accel,celulares,3,18.458657,-97.390711,https://mitehuacan.mx/?ruta=coapan-nacional
1,Servicio Tecnico De Celulares El Vencedor,celulares,3,18.457442,-97.391188,https://mitehuacan.mx/?ruta=coapan-nacional
1,Tienda De Accesorios Para Celular Bas Prix,celulares,3,18.460133,-97.392572,https://mitehuacan.mx/?ruta=coapan-nacional
1,Tienda De Discos Sin Nombre,celulares,3,18.457302,-97.385937,https://mitehuacan.mx/?ruta=coapan-nacional
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,3,18.458618,-97.389317,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Celulares Cellular Wordl,celulares,3,18.458657,-97.390711,https://mitehuacan.mx/?ruta=coapan-nacional
1,Yeyi Cell Accesorios Y Reparacion,celulares,3,18.458698,-97.392199,https://mitehuacan.mx/?ruta=coapan-nacional
1,Tecnologia Inalambrica Del Itsmo,celulares,4,18.460856,-97.392705,https://mitehuacan.mx/?ruta=coapan-nacional
1,Tmac Telcel Distribuidor Autorizado,celulares,4,18.460857,-97.39279,https://mitehuacan.mx/?ruta=coapan-nacional
1,Unlock Cell Andy Venta De Articulos Para Celulares,celulares,4,18.458629,-97.389972,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Accesorios Para Celular Farmacell,celulares,4,18.458602,-97.38727,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel ,celulares,4,18.458583,-97.388607,https://mitehuacan.mx/?ruta=coapan-nacional
1,Accesorios De Celulares Movistar,celulares,5,18.46086,-97.392989,https://mitehuacan.mx/?ruta=coapan-nacional
1,Dido Cell,celulares,5,18.460882,-97.393909,https://mitehuacan.mx/?ruta=coapan-nacional
1,La Casa Del Celular,celulares,5,18.460865,-97.393283,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel,celulares,5,18.458608,-97.387363,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Telefonos Telcel,celulares,5,18.460865,-97.393283,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Productos De Electronica D& D Promotion,celulares,6,18.460975,-97.393687,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Accesorios Para Celular Digo Cell,celulares,7,18.46075,-97.392595,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta Y Reparacion De Celulares La Casa Del Celular Casa Cel,celulares,7,18.46075,-97.392595,https://mitehuacan.mx/?ruta=coapan-nacional
1,Accesorios De Celulares Vale Bu,celulares,9,18.458722,-97.389285,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Accesorios Para Celulares Sin Nombre,celulares,10,18.457479,-97.385153,https://mitehuacan.mx/?ruta=coapan-nacional
1,Celular Shop,celulares,12,18.459776,-97.392433,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Accesorios Alpha Systems,celulares,12,18.459849,-97.392435,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Accesorios Para Celular Redi,celulares,12,18.45875,-97.389393,https://mitehuacan.mx/?ruta=coapan-nacional
1,Tienda De Telefonos Pamec Telcel,celulares,13,18.460943,-97.392408,https://mitehuacan.mx/?ruta=coapan-nacional
1,Tienda De Accesorios Para Celulares Electrocel Coapan,celulares,18,18.430297,-97.404997,https://mitehuacan.mx/?ruta=coapan-nacional
1,Tienda De Telefonos Autorizado Pamec Telcel,celulares,18,18.458876,-97.391448,https://mitehuacan.mx/?ruta=coapan-nacional
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,18,18.458753,-97.394037,https://mitehuacan.mx/?ruta=coapan-nacional
1,Telefonia Y Accesorios Novedades Max,celulares,26,18.457083,-97.385238,https://mitehuacan.mx/?ruta=coapan-nacional
1,Kef Store Tecnologia Y Accesorios Par Celular,celulares,29,18.427072,-97.405385,https://mitehuacan.mx/?ruta=coapan-nacional
1,Cell Master,celulares,32,18.461176,-97.392646,https://mitehuacan.mx/?ruta=coapan-nacional
1,Tienda De Accesorios Para Celulares Dido Cell,celulares,34,18.460835,-97.392196,https://mitehuacan.mx/?ruta=coapan-nacional
1,Technology Store,celulares,37,18.461222,-97.392646,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Articulos Para Celulares Telcel,celulares,41,18.434052,-97.405369,https://mitehuacan.mx/?ruta=coapan-nacional
1,Accesorios Para Celular Sin Nombre,celulares,58,18.460828,-97.391975,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Display Para Celulares House Cel,celulares,58,18.460828,-97.391975,https://mitehuacan.mx/?ruta=coapan-nacional
1,Accesorios De Celular Happy,celulares,59,18.458996,-97.385047,https://mitehuacan.mx/?ruta=coapan-nacional
1,La Casa Del Celular Deluxe,celulares,72,18.461567,-97.393286,https://mitehuacan.mx/?ruta=coapan-nacional
1,Tienda De Accesorios Para Celulares Centro Cell,celulares,73,18.459377,-97.391553,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Accesorios Para Celulares Celular Tab,celulares,76,18.460822,-97.391807,https://mitehuacan.mx/?ruta=coapan-nacional
1,El Rey De Las Fundas,celulares,81,18.461657,-97.394166,https://mitehuacan.mx/?ruta=coapan-nacional
1,Venta De Accesorios De Celulares Sin Nombre,celulares,84,18.456565,-97.385189,https://mitehuacan.mx/?ruta=coapan-nacional
1,Tienda De Electronica Jl,celulares,97,18.454738,-97.393508,https://mitehuacan.mx/?ruta=coapan-nacional
