prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Jugos Y Tortas Sin Nombre,café,1,18.435111,-97.403761,https://mitehuacan.mx/?ruta=zapotitlan
1,Venta De Jugos Y Licuados Sin Nombre,café,1,18.452587,-97.394487,https://mitehuacan.mx/?ruta=zapotitlan
1,Cafeteria Casa Macarena,café,4,18.453885,-97.39254,https://mitehuacan.mx/?ruta=zapotitlan
1,Heladeria Y Paleteria Creamy,café,4,18.454355,-97.392526,https://mitehuacan.mx/?ruta=zapotitlan
1,Endulzate Cafeteria,café,5,18.45526,-97.392499,https://mitehuacan.mx/?ruta=zapotitlan
1,Cafeteria Del Tec,café,9,18.438471,-97.399785,https://mitehuacan.mx/?ruta=zapotitlan
1,Cherry Food & Coffee,café,21,18.456997,-97.392748,https://mitehuacan.mx/?ruta=zapotitlan
1,Desayunador Merendero Sin Nombre,café,22,18.328141,-97.472188,https://mitehuacan.mx/?ruta=zapotitlan
1,Delicrep,café,23,18.456734,-97.392756,https://mitehuacan.mx/?ruta=zapotitlan
1,Bulgaru Frozen Kefir,café,26,18.454129,-97.392817,https://mitehuacan.mx/?ruta=zapotitlan
1,Beto Coffe,café,29,18.32733,-97.47542,https://mitehuacan.mx/?ruta=zapotitlan
1,Cafeteria Cupcake,café,33,18.45447,-97.394134,https://mitehuacan.mx/?ruta=zapotitlan
1,Dr. Tapioca,café,38,18.457891,-97.393578,https://mitehuacan.mx/?ruta=zapotitlan
1,Finca San Agustin Cafe,café,39,18.457938,-97.392445,https://mitehuacan.mx/?ruta=zapotitlan
1,Cooperativa Escolar Sin Nombre,café,49,18.329612,-97.47067,https://mitehuacan.mx/?ruta=zapotitlan
1,Venta De Comida San Pedro,café,58,18.456585,-97.391976,https://mitehuacan.mx/?ruta=zapotitlan
1,Venta Jugos Sin Nombre,café,75,18.455119,-97.393257,https://mitehuacan.mx/?ruta=zapotitlan
1,La Casita De Dulces,café,86,18.453392,-97.39177,https://mitehuacan.mx/?ruta=zapotitlan
1,Cafeteria Calle Melancolia,café,99,18.454898,-97.391618,https://mitehuacan.mx/?ruta=zapotitlan
1,Cooperativa Escolar Sin Nombre Turno Matutino Escuela Primar,café,109,18.455339,-97.391516,https://mitehuacan.mx/?ruta=zapotitlan
1,Tienda Escolar Primaria Ing Pastor Roauix Turno Vespertino,café,109,18.455339,-97.391516,https://mitehuacan.mx/?ruta=zapotitlan
1,Cooperativa De La Escuela Primaria Jose Maria Morelos,café,113,18.329732,-97.471405,https://mitehuacan.mx/?ruta=zapotitlan
1,Cafe Sierra Negra,café,114,18.457574,-97.391481,https://mitehuacan.mx/?ruta=zapotitlan
1,Venta De Articulos Para Celulares Telcel,celulares,2,18.434052,-97.405369,https://mitehuacan.mx/?ruta=zapotitlan
1,Tienda De Electronica Jl,celulares,96,18.454738,-97.393508,https://mitehuacan.mx/?ruta=zapotitlan
1,Aramis,celulares,110,18.328343,-97.475044,https://mitehuacan.mx/?ruta=zapotitlan
1,Yeyi Cell Accesorios Y Reparacion,celulares,127,18.458698,-97.392199,https://mitehuacan.mx/?ruta=zapotitlan
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,139,18.458753,-97.394037,https://mitehuacan.mx/?ruta=zapotitlan
1,Servicio Tecnico De Celulares El Vencedor,celulares,145,18.457442,-97.391188,https://mitehuacan.mx/?ruta=zapotitlan
1,Consultorio Medico,consultorio,1,18.456303,-97.39435,https://mitehuacan.mx/?ruta=zapotitlan
1,Consultorio Dental Coi Tehuacan,consultorio,2,18.439932,-97.399351,https://mitehuacan.mx/?ruta=zapotitlan
1,Consultorio Dental Marquez,consultorio,3,18.433223,-97.406631,https://mitehuacan.mx/?ruta=zapotitlan
1,Clinica Dental Juan Yusef,consultorio,5,18.455432,-97.392494,https://mitehuacan.mx/?ruta=zapotitlan
1,Excelsior Atencion Dental,consultorio,5,18.454871,-97.392511,https://mitehuacan.mx/?ruta=zapotitlan
1,Consultorio De Farmacia De Apollo,consultorio,6,18.4518,-97.394564,https://mitehuacan.mx/?ruta=zapotitlan
1,Consultorio Medico Farmacia De Apoyo Sucursal 20 Centro Inte,consultorio,7,18.434242,-97.405011,https://mitehuacan.mx/?ruta=zapotitlan
1,Consultorio Y Farmacia Sin Nombre,consultorio,13,18.328289,-97.47173,https://mitehuacan.mx/?ruta=zapotitlan
1,Consultorio Dental Salazar,consultorio,15,18.453596,-97.394328,https://mitehuacan.mx/?ruta=zapotitlan
1,Consultorio Medico General,consultorio,18,18.457713,-97.393685,https://mitehuacan.mx/?ruta=zapotitlan
1,Consultorio De Control De Peso Salut,consultorio,22,18.45687,-97.392752,https://mitehuacan.mx/?ruta=zapotitlan
1,Clinica Dental Dr Jose Eduardo De Rosas Lopez,consultorio,23,18.456734,-97.392756,https://mitehuacan.mx/?ruta=zapotitlan
1,Consultoria Y Asesoria Psicologica Particular,consultorio,25,18.456481,-97.392761,https://mitehuacan.mx/?ruta=zapotitlan
1,Consultorio Medico,consultorio,25,18.454735,-97.392799,https://mitehuacan.mx/?ruta=zapotitlan
1,Consultrio De Odontopediatria Sin Nombre,consultorio,26,18.453885,-97.392824,https://mitehuacan.mx/?ruta=zapotitlan
1,Unidad Medica San Agustin,consultorio,26,18.457838,-97.392731,https://mitehuacan.mx/?ruta=zapotitlan
1,Consultorio Dental,consultorio,27,18.453564,-97.394221,https://mitehuacan.mx/?ruta=zapotitlan
1,Consultorio Quiropractico,consultorio,37,18.45447,-97.394096,https://mitehuacan.mx/?ruta=zapotitlan
1,Centro Medico Dental Medident,consultorio,38,18.45191,-97.394867,https://mitehuacan.mx/?ruta=zapotitlan
1,Optica Delabli,consultorio,42,18.457983,-97.392728,https://mitehuacan.mx/?ruta=zapotitlan
1,Clinica Dental Sonrisas Increibles,consultorio,50,18.456531,-97.393002,https://mitehuacan.mx/?ruta=zapotitlan
1,Clinica De Fisioterapia Fisica Y Rehabilitacion Yomelly,consultorio,62,18.456536,-97.393116,https://mitehuacan.mx/?ruta=zapotitlan
1,Consultorio Dental,consultorio,65,18.457557,-97.391943,https://mitehuacan.mx/?ruta=zapotitlan
1,Centro De Medicina Alternativa,consultorio,69,18.453452,-97.393827,https://mitehuacan.mx/?ruta=zapotitlan
1,Consultorio Medico,consultorio,72,18.455203,-97.395068,https://mitehuacan.mx/?ruta=zapotitlan
