prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Cafeteria De La Universidad Upaep,café,2,18.441235,-97.381498,https://mitehuacan.mx/?ruta=10-amarilla
1,Tienda Escolar Sin Nombre,café,4,18.440719,-97.369507,https://mitehuacan.mx/?ruta=10-amarilla
1,Jugos De Naranja Isabel,café,6,18.464727,-97.384178,https://mitehuacan.mx/?ruta=10-amarilla
1,Cafeteria Escolar Sin Nombre,café,9,18.444527,-97.386775,https://mitehuacan.mx/?ruta=10-amarilla
1,Cafeteria La Suiza,café,11,18.459039,-97.389388,https://mitehuacan.mx/?ruta=10-amarilla
1,Venta De Pan Casero Mr Dumpling,café,12,18.463368,-97.38943,https://mitehuacan.mx/?ruta=10-amarilla
1,Desayunados Juquilita,café,13,18.456252,-97.389436,https://mitehuacan.mx/?ruta=10-amarilla
1,Tienda Escolar Cuitlahuac,café,28,18.442369,-97.367506,https://mitehuacan.mx/?ruta=10-amarilla
1,Elaboracion Y Venta De Bebidas Bobba Go,café,31,18.458623,-97.389801,https://mitehuacan.mx/?ruta=10-amarilla
1,Casetita Blanca,café,40,18.443523,-97.367565,https://mitehuacan.mx/?ruta=10-amarilla
1,Tienda Escolar Sin Nombre,café,41,18.465123,-97.387018,https://mitehuacan.mx/?ruta=10-amarilla
1,Jugueria Sin Nombre,café,45,18.456472,-97.389978,https://mitehuacan.mx/?ruta=10-amarilla
1,Venta De Aguas Sin Nombre,café,45,18.460548,-97.389868,https://mitehuacan.mx/?ruta=10-amarilla
1,Cafeteria Calle Melancolia,café,69,18.454898,-97.391618,https://mitehuacan.mx/?ruta=10-amarilla
1,Cafeteria Cafe Iberia,café,72,18.465286,-97.382698,https://mitehuacan.mx/?ruta=10-amarilla
1,Ruta Cafe,café,89,18.459007,-97.388643,https://mitehuacan.mx/?ruta=10-amarilla
1,Cafeteria Flor De Cafe,café,91,18.461501,-97.390292,https://mitehuacan.mx/?ruta=10-amarilla
1,Cafeteria Ceut,café,99,18.463635,-97.388377,https://mitehuacan.mx/?ruta=10-amarilla
1,Cooperativa Escolar Secundaria Raul Lopez Ramirez,café,106,18.460571,-97.37174,https://mitehuacan.mx/?ruta=10-amarilla
1,Cooperativa Escolar Sin Nombre Turno Matutino Escuela Primar,café,106,18.455339,-97.391516,https://mitehuacan.mx/?ruta=10-amarilla
1,Tienda Escolar Primaria Ing Pastor Roauix Turno Vespertino,café,106,18.455339,-97.391516,https://mitehuacan.mx/?ruta=10-amarilla
1,Jugueria El Oasis,café,117,18.465766,-97.38524,https://mitehuacan.mx/?ruta=10-amarilla
1,La Casita De Dulces,café,119,18.453392,-97.39177,https://mitehuacan.mx/?ruta=10-amarilla
1,Venta De Aguas Frescas Sin Nombre,café,123,18.458655,-97.390673,https://mitehuacan.mx/?ruta=10-amarilla
1,Venta De Desayunos Sin Nombre,café,126,18.462891,-97.388139,https://mitehuacan.mx/?ruta=10-amarilla
1,Jugueria Sin Nombre,café,131,18.465817,-97.382689,https://mitehuacan.mx/?ruta=10-amarilla
1,Jugos Hernandez,café,133,18.461786,-97.390665,https://mitehuacan.mx/?ruta=10-amarilla
1,Jugueria Raquel,café,135,18.465925,-97.384707,https://mitehuacan.mx/?ruta=10-amarilla
1,Heladeria Y Paleteria Creamy,café,143,18.454355,-97.392526,https://mitehuacan.mx/?ruta=10-amarilla
