prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Jugos De Naranja Isabel,café,0,18.464727,-97.384178,https://mitehuacan.mx/?ruta=23-san-isidro
1,Master Coffe Tehuacan,café,2,18.460727,-97.385176,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Jugos Sin Nombre,café,2,18.462702,-97.385574,https://mitehuacan.mx/?ruta=23-san-isidro
1,Cafeteria Morentina,café,12,18.462982,-97.391163,https://mitehuacan.mx/?ruta=23-san-isidro
1,Cafeteria Ricatory,café,13,18.462876,-97.387561,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Desayunos Sin Nombre,café,13,18.462891,-97.388139,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tienda Escolar,café,15,18.462222,-97.384842,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tienda Escolar Cuitlahuac,café,24,18.442369,-97.367506,https://mitehuacan.mx/?ruta=23-san-isidro
1,Caffe Arce,café,29,18.461948,-97.391178,https://mitehuacan.mx/?ruta=23-san-isidro
1,Cocina Economica Lolita,café,29,18.461948,-97.391178,https://mitehuacan.mx/?ruta=23-san-isidro
1,Jugueria La Esperanza,café,29,18.461948,-97.391178,https://mitehuacan.mx/?ruta=23-san-isidro
1,Refresqueria Y Jugueria Gemita,café,29,18.461948,-97.391178,https://mitehuacan.mx/?ruta=23-san-isidro
1,Casetita Blanca,café,34,18.443523,-97.367565,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Aguas Sin Nombre,café,34,18.460548,-97.389868,https://mitehuacan.mx/?ruta=23-san-isidro
1,Restauran Casa Rayon,café,61,18.462506,-97.392019,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Pan Casero Mr Dumpling,café,61,18.463368,-97.38943,https://mitehuacan.mx/?ruta=23-san-isidro
1,Cafeteria Cafe Iberia,café,69,18.465286,-97.382698,https://mitehuacan.mx/?ruta=23-san-isidro
1,Cafeteria Flor De Cafe,café,70,18.461501,-97.390292,https://mitehuacan.mx/?ruta=23-san-isidro
1,Jugos Hernandez,café,83,18.461786,-97.390665,https://mitehuacan.mx/?ruta=23-san-isidro
1,Cafeteria Ceut,café,94,18.463635,-97.388377,https://mitehuacan.mx/?ruta=23-san-isidro
1,Cooperativa Escolar Secundaria Raul Lopez Ramirez,café,100,18.460571,-97.37174,https://mitehuacan.mx/?ruta=23-san-isidro
1,Cafeteria Antara,café,109,18.463021,-97.392461,https://mitehuacan.mx/?ruta=23-san-isidro
1,Jugueria El Oasis,café,122,18.465766,-97.38524,https://mitehuacan.mx/?ruta=23-san-isidro
1,Jugueria Sin Nombre,café,128,18.465817,-97.382689,https://mitehuacan.mx/?ruta=23-san-isidro
1,Jugueria Raquel,café,129,18.465925,-97.384707,https://mitehuacan.mx/?ruta=23-san-isidro
1,Cafeteria Coffe & Sando,café,134,18.460139,-97.392444,https://mitehuacan.mx/?ruta=23-san-isidro
1,Elaboracion Y Venta De Churros,café,149,18.461091,-97.378977,https://mitehuacan.mx/?ruta=23-san-isidro
1,Telefonica Movistar,celulares,0,18.462854,-97.390503,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,0,18.462848,-97.390304,https://mitehuacan.mx/?ruta=23-san-isidro
1,Electronica Osve,celulares,1,18.462754,-97.387432,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tienda De Accesorios Pra Celular Sin Nombre,celulares,1,18.462871,-97.391233,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Accesorios Para Celular Novedades Hernandez,celulares,2,18.460876,-97.389735,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Accesorios Telefonicos Dido Cell,celulares,2,18.460874,-97.389668,https://mitehuacan.mx/?ruta=23-san-isidro
1,Accesorios Para Celular Rom Cell,celulares,3,18.460917,-97.391298,https://mitehuacan.mx/?ruta=23-san-isidro
1,Accesorios Y Novedades Panda,celulares,3,18.4609,-97.390654,https://mitehuacan.mx/?ruta=23-san-isidro
1,Accesorios Para Celular Cell Ma-Va,celulares,6,18.462758,-97.389318,https://mitehuacan.mx/?ruta=23-san-isidro
1,J-Cell Accesorios,celulares,6,18.461313,-97.391509,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tienda De Telefonia Pamec Telcel,celulares,6,18.461663,-97.391396,https://mitehuacan.mx/?ruta=23-san-isidro
1,Black Cell,celulares,8,18.460724,-97.387596,https://mitehuacan.mx/?ruta=23-san-isidro
1,Celular Wort,celulares,9,18.460796,-97.390838,https://mitehuacan.mx/?ruta=23-san-isidro
1,Reparacion Y Accesorios Movile Zone,celulares,9,18.460781,-97.390222,https://mitehuacan.mx/?ruta=23-san-isidro
1,Smart Service,celulares,9,18.46073,-97.388003,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tienda De Accesorios Para Celular Nick Cell,celulares,9,18.460804,-97.391151,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tienda De Accesorios Para El Celular Accs Cell,celulares,9,18.460803,-97.391122,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Accesorios Para Celular Cell Phone,celulares,9,18.460791,-97.39062,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Accesorios Para Celular Compu Planet,celulares,9,18.460787,-97.390449,https://mitehuacan.mx/?ruta=23-san-isidro
1,House - Cel,celulares,10,18.460746,-97.38879,https://mitehuacan.mx/?ruta=23-san-isidro
1,King Memori,celulares,10,18.460751,-97.389027,https://mitehuacan.mx/?ruta=23-san-isidro
1,Novedades Fabys,celulares,10,18.460746,-97.388752,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tecnology Estore,celulares,10,18.46075,-97.389018,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,10,18.460765,-97.389624,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Accesorios Telefonicos Y Electronicos La Casa Del C,celulares,10,18.460767,-97.389729,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Celulares Celular World,celulares,10,18.460765,-97.389624,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Celulares Grupo Accel,celulares,10,18.460765,-97.389624,https://mitehuacan.mx/?ruta=23-san-isidro
1,Compra Venta De Accesorios Para Celular Life Style,celulares,13,18.462976,-97.390565,https://mitehuacan.mx/?ruta=23-san-isidro
1,Reparacion Y Venta De Accesorios Telefonicos Ganac,celulares,13,18.462891,-97.388139,https://mitehuacan.mx/?ruta=23-san-isidro
1,Celulares Telcel,celulares,14,18.462859,-97.386954,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tienda De Telefonos Telcel,celulares,14,18.462948,-97.389655,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel,celulares,14,18.461954,-97.391311,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Audio Y Computo Mitzu Electronicos,celulares,15,18.462677,-97.38932,https://mitehuacan.mx/?ruta=23-san-isidro
1,Macropay,celulares,18,18.460713,-97.390664,https://mitehuacan.mx/?ruta=23-san-isidro
1,Accesorios Y Reparacion De Celulares Cell Master,celulares,29,18.461948,-97.391178,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Accesorios Para Celulares Celular Tab,celulares,38,18.460822,-97.391807,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tienda De Accesorios Para El Celular City Cell,celulares,44,18.46194,-97.391027,https://mitehuacan.mx/?ruta=23-san-isidro
1,Accesorios Para Celular Sin Nombre,celulares,55,18.460828,-97.391975,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Display Para Celulares House Cel,celulares,55,18.460828,-97.391975,https://mitehuacan.mx/?ruta=23-san-isidro
1,Grupo Accel Tienda De Telefonos Celulares De Telcel,celulares,58,18.462892,-97.391991,https://mitehuacan.mx/?ruta=23-san-isidro
1,Accesorios Para Celular Y Reparaciones De Celulares Rg Unloc,celulares,61,18.463287,-97.387079,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tienda De Accesorios Para El Celular Centro Cell,celulares,62,18.462305,-97.390762,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Accesorios Para. Celulares,celulares,64,18.461357,-97.387035,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tiendas De Telefonos Distribuidor Autorizado Telcel Pamec,celulares,65,18.461441,-97.389465,https://mitehuacan.mx/?ruta=23-san-isidro
1,Distribuidor Autorizado Movistar,celulares,70,18.461501,-97.390292,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Refacciones Para Celulares Celular Center,celulares,70,18.461501,-97.390292,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tienda De Accesorios Para Celular Sin Nombre,celulares,72,18.463389,-97.387073,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tienda De Accesorios Para Celulares Dido Cell,celulares,78,18.460835,-97.392196,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Accesorios Para Celular Case Store,celulares,79,18.461582,-97.390318,https://mitehuacan.mx/?ruta=23-san-isidro
1,Reparacion Y Accesorios Para Celular Sin Nombre,celulares,80,18.461574,-97.389692,https://mitehuacan.mx/?ruta=23-san-isidro
1,Macropay,celulares,89,18.460041,-97.389377,https://mitehuacan.mx/?ruta=23-san-isidro
1,Technology Store,celulares,96,18.460025,-97.391426,https://mitehuacan.mx/?ruta=23-san-isidro
1,Reparacion De Telefonos Telcel,celulares,99,18.464663,-97.381524,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tienda De Telefonos Pamec Telcel,celulares,101,18.460943,-97.392408,https://mitehuacan.mx/?ruta=23-san-isidro
1,Compra Venta De Accesorios Para Celulares Technology Store,celulares,103,18.463817,-97.391357,https://mitehuacan.mx/?ruta=23-san-isidro
1,La Casa De La Tecnologia,celulares,105,18.461866,-97.389462,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tap-Cel,celulares,111,18.45989,-97.391429,https://mitehuacan.mx/?ruta=23-san-isidro
1,Macropay,celulares,115,18.459805,-97.389379,https://mitehuacan.mx/?ruta=23-san-isidro
1,Accesorios Para Celular Telefonmania,celulares,117,18.459839,-97.391547,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta De Accesorios Para Celular Digo Cell,celulares,121,18.46075,-97.392595,https://mitehuacan.mx/?ruta=23-san-isidro
1,Venta Y Reparacion De Celulares La Casa Del Celular Casa Cel,celulares,121,18.46075,-97.392595,https://mitehuacan.mx/?ruta=23-san-isidro
1,Cell Master,celulares,126,18.461176,-97.392646,https://mitehuacan.mx/?ruta=23-san-isidro
1,Technology Store,celulares,126,18.461222,-97.392646,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tecnologia Inalambrica Del Itsmo,celulares,132,18.460856,-97.392705,https://mitehuacan.mx/?ruta=23-san-isidro
1,Macropay,celulares,133,18.463938,-97.386968,https://mitehuacan.mx/?ruta=23-san-isidro
1,Compra Venta De Accesorios Para Celular La Reina,celulares,139,18.464143,-97.391352,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tmac Telcel Distribuidor Autorizado,celulares,141,18.460857,-97.39279,https://mitehuacan.mx/?ruta=23-san-isidro
1,Tienda De Accesorios Para Celular Bas Prix,celulares,145,18.460133,-97.392572,https://mitehuacan.mx/?ruta=23-san-isidro
