prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Tienda Escolar,café,0,18.476889,-97.429879,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,Cafeteria Naxi Kita A Sa,café,1,18.465013,-97.39487,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,Mr. Creping,café,1,18.464957,-97.392434,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,The Italian Coffe Company Tehuacan,café,1,18.462887,-97.393226,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,Bebidas Bobba Go,café,2,18.463304,-97.403998,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,Caseta Yuly,café,2,18.468047,-97.419214,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,Dr.Tapiocamx,café,2,18.465108,-97.41181,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,El Chefcito Fasj Food,café,2,18.468062,-97.419253,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,Jugueria El Naranjito,café,2,18.465107,-97.397955,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,The Italian Coffe Company,café,2,18.464808,-97.410977,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,Venta De Jugos Sin Nombre,café,2,18.462702,-97.385574,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,Cafeteria Destino,café,3,18.46583,-97.413123,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,Cafeteria Plaza Teohuacan,café,3,18.46583,-97.413123,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,Caseta Garcicrespo,café,3,18.472542,-97.426056,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,38819 Starbucks Paseo Tehuacan Dt,café,4,18.467032,-97.416412,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,Crepas Mon Petit,café,4,18.467202,-97.416882,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,Crepas Mr Creping S,café,4,18.467202,-97.416882,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,Ensaladas Adelinna,café,4,18.467202,-97.416882,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,Nutrisa,café,4,18.467202,-97.416882,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,Sierra Negra Cafe,café,4,18.467202,-97.416882,https://mitehuacan.mx/?ruta=30-san-lorenzo
1,The Italian Coffe Company,café,4,18.467202,-97.416882,https://mitehuacan.mx/?ruta=30-san-lorenzo
