prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Cafeteria Calle Melancolia,café,0,18.454898,-97.391618,https://mitehuacan.mx/?ruta=44
1,Jugueria De Frutas El Naranjito,café,3,18.466879,-97.391429,https://mitehuacan.mx/?ruta=44
1,Jugueria Raquel,café,4,18.465925,-97.384707,https://mitehuacan.mx/?ruta=44
1,Cafe Sierra Negra,café,8,18.457574,-97.391481,https://mitehuacan.mx/?ruta=44
1,Cafeteria A & A Smoothies,café,8,18.465754,-97.391335,https://mitehuacan.mx/?ruta=44
1,Cooperativa Escolar Sin Nombre Turno Matutino Escuela Primar,café,9,18.455339,-97.391516,https://mitehuacan.mx/?ruta=44
1,Tienda Escolar Primaria Ing Pastor Roauix Turno Vespertino,café,9,18.455339,-97.391516,https://mitehuacan.mx/?ruta=44
1,Venta De Jugos El Sol,café,10,18.45473,-97.387763,https://mitehuacan.mx/?ruta=44
1,Cafeteria La Suiza,café,11,18.459039,-97.389388,https://mitehuacan.mx/?ruta=44
1,Venta De Pan Casero Mr Dumpling,café,11,18.463368,-97.38943,https://mitehuacan.mx/?ruta=44
1,Desayunados Juquilita,café,13,18.456252,-97.389436,https://mitehuacan.mx/?ruta=44
1,Jugueria El Oasis,café,14,18.465766,-97.38524,https://mitehuacan.mx/?ruta=44
1,Cafeteria Morentina,café,26,18.462982,-97.391163,https://mitehuacan.mx/?ruta=44
1,Caffe Arce,café,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=44
1,Cocina Economica Lolita,café,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=44
1,Jugueria La Esperanza,café,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=44
1,Refresqueria Y Jugueria Gemita,café,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=44
1,Venta De Jugos Pety Frut,café,27,18.450306,-97.384206,https://mitehuacan.mx/?ruta=44
1,Elaboracion Y Venta De Bebidas Bobba Go,café,31,18.458623,-97.389801,https://mitehuacan.mx/?ruta=44
1,Venta De Jugos Super Jugos Curativos,café,37,18.458671,-97.391184,https://mitehuacan.mx/?ruta=44
1,Tienda Escolar Sin Nombre,café,40,18.465123,-97.387018,https://mitehuacan.mx/?ruta=44
1,Venta De Comida San Pedro,café,44,18.456585,-97.391976,https://mitehuacan.mx/?ruta=44
1,Jugueria Sin Nombre,café,45,18.456472,-97.389978,https://mitehuacan.mx/?ruta=44
1,Venta De Aguas Sin Nombre,café,45,18.460548,-97.389868,https://mitehuacan.mx/?ruta=44
1,Jugos De Naranja Isabel,café,56,18.464727,-97.384178,https://mitehuacan.mx/?ruta=44
