ruta,nombre,prospectos,prioridad_1
15,15,6577,1913
43,43,6033,1738
5-a,5-A,5341,1733
3,3,5159,1713
5,5,5184,1682
4,4,5258,1664
29-san-lorenzo,29 - San Lorenzo,5681,1659
28-san-lorenzo,28 - San Lorenzo,5566,1625
24-dina,24 Dina,4930,1547
9,9,5868,1545
24,24 (verificando),4948,1541
20,20,5304,1540
30-san-lorenzo,30 - San Lorenzo,5253,1530
13,13,5304,1525
12,12,5462,1508
6,6,4509,1508
42,42,4441,1491
17,17,4785,1473
27-el-riego,27 - El Riego,4992,1463
32-colosio,32 - Colosio,5231,1441
26-el-riego,26 - El Riego,4924,1440
32-san-francisco,32 - San Francisco,5162,1430
18,18,5164,1429
11,11,4551,1414
31-fovissste-resurreccion,31 - Fovissste- Resurrección,4999,1398
32-cbtis,32 - CBTis,5123,1397
39,39,4499,1396
24-bosques-de-reforma,24 - Bosques de Reforma,4357,1390
33-palmas,33 - Palmas,5152,1388
24-maridol,24 Maridol,4427,1387
32,32,5098,1379
37-san-isidro,37 - San Isidro,5074,1374
15-frailes,15 - Frailes,5002,1371
36-san-lorenzo,36 - San Lorenzo,4849,1344
35-san-vicente-ferrer,35 - San Vicente Ferrer,4989,1343
34-viveros,34 - Viveros,4906,1309
19,19,4439,1292
c-tec-21,C - TEC 21,4942,1262
cuayucatepec,Transporte Cuayucatepec,3888,1224
1,1,3930,1220
21,21,4862,1216
cuayuca,Cuayuca,3777,1189
16,16,4041,1159
rc,C,4610,1157
8,8,4266,1146
41,41,3833,1112
chapulco,Chapulco,3721,1109
2,2,3738,1094
22-san-marcos-chilac,22 San Marcos – Chilac,3669,1092
22-san-marcos,22 - San Marcos,3649,1084
46,46,3684,1082
44,44,3643,1077
45,45,3632,1071
22-bella-vista,22 - Bella Vista,3625,1066
ajalpan,Ajalpan,3486,1014
22-cardenas,22 - Cárdenas,3354,971
coapan-carranza,Coapan Carranza,3476,921
coapan-nacional,Coapan Nacional,3440,912
c-valle,C - Valle,3082,909
38-santa-cruz-unidad-militar,38 - Santa Cruz Unidad Militar,3526,892
altepexi,Altepexi,3104,860
10-verde,10 Verde,2941,833
10,10,2780,812
miahuatlan,Miahuatlán,2418,809
10-amarilla,10 Amarilla,2612,753
7-upn-213-y-normal-superior,7 - UPN 213 y Normal Superior,2887,748
23,23,2484,729
23-maravillas,23 - Maravillas,2455,713
23-san-isidro,23 - San Isidro,2462,713
7-tinaco,7 Tinaco,2546,639
7-san-agustin,7 - San Agustín,2514,635
3-de-mayo,3 De Mayo,2161,619
rc-del-valle,C - Del Valle,2179,614
chilac,Chilac,2198,606
40,40,2470,601
25-3-de-mayo,25 - 3 de mayo,2105,598
zapotitlan,Zapotitlán,1179,392
