prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Tienda Escolar Del Bachillerato General Oficial Lazaro Carde,café,1,18.472369,-97.381541,https://mitehuacan.mx/?ruta=c-tec-21
1,Venta De Jugos Sin Nombre,café,3,18.462702,-97.385574,https://mitehuacan.mx/?ruta=c-tec-21
1,Cooperativa Los Niños Son Primero Escuela Primaria Manuel Av,café,5,18.456419,-97.391004,https://mitehuacan.mx/?ruta=c-tec-21
1,Tienda Escolar Sin Nombre Escuela Primaria Manuel Avila Cama,café,5,18.456415,-97.390938,https://mitehuacan.mx/?ruta=c-tec-21
1,Jugueria Sin Nombre,café,7,18.456472,-97.389978,https://mitehuacan.mx/?ruta=c-tec-21
1,Cafe Sierra Negra,café,8,18.457574,-97.391481,https://mitehuacan.mx/?ruta=c-tec-21
1,Cafeteria Ricatory,café,8,18.462876,-97.387561,https://mitehuacan.mx/?ruta=c-tec-21
1,Tienda Escolar Telesecundaria Joan Sebastian Bach,café,8,18.472116,-97.381538,https://mitehuacan.mx/?ruta=c-tec-21
1,Venta De Desayunos Sin Nombre,café,8,18.462891,-97.388139,https://mitehuacan.mx/?ruta=c-tec-21
1,Cafeteria La Suiza,café,11,18.459039,-97.389388,https://mitehuacan.mx/?ruta=c-tec-21
1,Cafeteria Morentina,café,12,18.462982,-97.391163,https://mitehuacan.mx/?ruta=c-tec-21
1,Venta De Pan Casero Mr Dumpling,café,12,18.463368,-97.38943,https://mitehuacan.mx/?ruta=c-tec-21
1,Desayunados Juquilita,café,15,18.456252,-97.389436,https://mitehuacan.mx/?ruta=c-tec-21
1,La Curva Antojos,café,15,18.473153,-97.375108,https://mitehuacan.mx/?ruta=c-tec-21
1,Cafeteria Cafe Iberia,café,23,18.465286,-97.382698,https://mitehuacan.mx/?ruta=c-tec-21
1,Jugueria Sin Nombre,café,24,18.465817,-97.382689,https://mitehuacan.mx/?ruta=c-tec-21
1,Caffe Arce,café,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=c-tec-21
1,Cocina Economica Lolita,café,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=c-tec-21
1,Jugueria La Esperanza,café,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=c-tec-21
1,Refresqueria Y Jugueria Gemita,café,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=c-tec-21
1,Elaboracion Y Venta De Bebidas Bobba Go,café,31,18.458623,-97.389801,https://mitehuacan.mx/?ruta=c-tec-21
1,Venta De Jugos Super Jugos Curativos,café,37,18.458671,-97.391184,https://mitehuacan.mx/?ruta=c-tec-21
1,Ruta Cafe,café,42,18.459007,-97.388643,https://mitehuacan.mx/?ruta=c-tec-21
1,Venta De Comida San Pedro,café,44,18.456585,-97.391976,https://mitehuacan.mx/?ruta=c-tec-21
1,Venta De Aguas Sin Nombre,café,45,18.460548,-97.389868,https://mitehuacan.mx/?ruta=c-tec-21
1,Desayunos Panchis,café,47,18.469035,-97.389801,https://mitehuacan.mx/?ruta=c-tec-21
1,Tienda Escolar,café,54,18.462222,-97.384842,https://mitehuacan.mx/?ruta=c-tec-21
1,Cafeteria Idue Cafe,café,62,18.459066,-97.385896,https://mitehuacan.mx/?ruta=c-tec-21
1,Restauran Casa Rayon,café,63,18.462506,-97.392019,https://mitehuacan.mx/?ruta=c-tec-21
1,Venta De Micheladas,café,67,18.471894,-97.383268,https://mitehuacan.mx/?ruta=c-tec-21
1,Jugueria Guisel,café,68,18.456791,-97.385179,https://mitehuacan.mx/?ruta=c-tec-21
1,Cooperativa Escolar Benito Juarez,café,75,18.446668,-97.381355,https://mitehuacan.mx/?ruta=c-tec-21
1,Cooperativa Escolar Tecnica 21,café,78,18.450507,-97.383185,https://mitehuacan.mx/?ruta=c-tec-21
1,Jugos Hernandez,café,81,18.461786,-97.390665,https://mitehuacan.mx/?ruta=c-tec-21
1,Venta De Jugo Sin Nombre,café,83,18.456949,-97.385583,https://mitehuacan.mx/?ruta=c-tec-21
1,Cafeteria Ceut,café,89,18.463635,-97.388377,https://mitehuacan.mx/?ruta=c-tec-21
1,Jugueria Sin Nombre,café,90,18.45699,-97.38517,https://mitehuacan.mx/?ruta=c-tec-21
1,Cafeteria Flor De Cafe,café,91,18.461501,-97.390292,https://mitehuacan.mx/?ruta=c-tec-21
1,Venta De Aguas Frescas Sin Nombre,café,91,18.458655,-97.390673,https://mitehuacan.mx/?ruta=c-tec-21
1,Finca San Agustin Cafe,café,95,18.457938,-97.392445,https://mitehuacan.mx/?ruta=c-tec-21
1,Jugos Y Tortas California,café,97,18.459495,-97.392424,https://mitehuacan.mx/?ruta=c-tec-21
1,Cafeteria Coffe & Sando,café,101,18.460139,-97.392444,https://mitehuacan.mx/?ruta=c-tec-21
1,Cafeteria Antara,café,112,18.463021,-97.392461,https://mitehuacan.mx/?ruta=c-tec-21
1,Cherry Food & Coffee,café,126,18.456997,-97.392748,https://mitehuacan.mx/?ruta=c-tec-21
1,Delicrep,café,126,18.456734,-97.392756,https://mitehuacan.mx/?ruta=c-tec-21
1,Cooperativa Escolar Sin Nombre Turno Matutino Escuela Primar,café,127,18.455339,-97.391516,https://mitehuacan.mx/?ruta=c-tec-21
1,Tienda Escolar Primaria Ing Pastor Roauix Turno Vespertino,café,127,18.455339,-97.391516,https://mitehuacan.mx/?ruta=c-tec-21
1,Tienda De Accesorios Pra Celular Sin Nombre,celulares,1,18.462871,-97.391233,https://mitehuacan.mx/?ruta=c-tec-21
1,Accesorios Para Celular Cell Ma-Va,celulares,2,18.462758,-97.389318,https://mitehuacan.mx/?ruta=c-tec-21
1,Venta De Audio Y Computo Mitzu Electronicos,celulares,2,18.462677,-97.38932,https://mitehuacan.mx/?ruta=c-tec-21
1,Compra Venta De Refacciones Para Celular,celulares,3,18.464343,-97.3894,https://mitehuacan.mx/?ruta=c-tec-21
1,Telefonica Movistar,celulares,3,18.462854,-97.390503,https://mitehuacan.mx/?ruta=c-tec-21
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,3,18.458618,-97.389317,https://mitehuacan.mx/?ruta=c-tec-21
1,Compra Venta De Celulares Los Guapos De La Tecnologia,celulares,4,18.456164,-97.384021,https://mitehuacan.mx/?ruta=c-tec-21
1,Dan Audio Tienda De Electronica,celulares,4,18.456352,-97.389433,https://mitehuacan.mx/?ruta=c-tec-21
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,4,18.462848,-97.390304,https://mitehuacan.mx/?ruta=c-tec-21
1,Tiendas De Telefonos Distribuidor Autorizado Telcel Pamec,celulares,4,18.461441,-97.389465,https://mitehuacan.mx/?ruta=c-tec-21
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel ,celulares,4,18.458583,-97.388607,https://mitehuacan.mx/?ruta=c-tec-21
1,Electronica Osve,celulares,5,18.462754,-97.387432,https://mitehuacan.mx/?ruta=c-tec-21
1,Tienda De Accesorios Para Celulares Centro Cell,celulares,5,18.459377,-97.391553,https://mitehuacan.mx/?ruta=c-tec-21
1,Tienda De Telefonia Pamec Telcel,celulares,5,18.461663,-97.391396,https://mitehuacan.mx/?ruta=c-tec-21
1,Venta De Accesorios Para Celular Farmacell,celulares,5,18.458602,-97.38727,https://mitehuacan.mx/?ruta=c-tec-21
1,Venta De Cables Y Fundas Y Herramientas De Mano Sin Nombre,celulares,5,18.456222,-97.385204,https://mitehuacan.mx/?ruta=c-tec-21
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel,celulares,5,18.458608,-97.387363,https://mitehuacan.mx/?ruta=c-tec-21
1,Accesorios Para Celular Telefonmania,celulares,6,18.459839,-97.391547,https://mitehuacan.mx/?ruta=c-tec-21
1,J-Cell Accesorios,celulares,6,18.461313,-97.391509,https://mitehuacan.mx/?ruta=c-tec-21
1,Macropay,celulares,7,18.460041,-97.389377,https://mitehuacan.mx/?ruta=c-tec-21
1,Tap-Cel,celulares,7,18.45989,-97.391429,https://mitehuacan.mx/?ruta=c-tec-21
1,Technology Store,celulares,7,18.460025,-97.391426,https://mitehuacan.mx/?ruta=c-tec-21
1,Celulares Telcel,celulares,8,18.462859,-97.386954,https://mitehuacan.mx/?ruta=c-tec-21
1,Macropay,celulares,8,18.459805,-97.389379,https://mitehuacan.mx/?ruta=c-tec-21
1,Reparacion Y Venta De Accesorios Telefonicos Ganac,celulares,8,18.462891,-97.388139,https://mitehuacan.mx/?ruta=c-tec-21
1,Tienda De Telefonos Autorizado Pamec Telcel,celulares,8,18.458876,-97.391448,https://mitehuacan.mx/?ruta=c-tec-21
1,Tienda De Telefonos Telcel,celulares,8,18.462948,-97.389655,https://mitehuacan.mx/?ruta=c-tec-21
1,Accesorios De Celulares Vale Bu,celulares,9,18.458722,-97.389285,https://mitehuacan.mx/?ruta=c-tec-21
1,La Casa De La Tecnologia,celulares,10,18.461866,-97.389462,https://mitehuacan.mx/?ruta=c-tec-21
