prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Restaurante Drayeck,café,0,18.477961,-97.397836,https://mitehuacan.mx/?ruta=chapulco
1,Moka Cafeteria,café,2,18.618157,-97.408676,https://mitehuacan.mx/?ruta=chapulco
1,Venta De Jugos Sin Nombre,café,3,18.462702,-97.385574,https://mitehuacan.mx/?ruta=chapulco
1,Jugueria De Frutas El Naranjito,café,4,18.466879,-97.391429,https://mitehuacan.mx/?ruta=chapulco
1,Jugueria Y Licuados,café,4,18.589412,-97.415073,https://mitehuacan.mx/?ruta=chapulco
1,The Italian Coffee Company,café,4,18.471005,-97.394196,https://mitehuacan.mx/?ruta=chapulco
1,Cafeteria Pirillos,café,5,18.470215,-97.393927,https://mitehuacan.mx/?ruta=chapulco
1,Cafeteria Las 3 B,café,6,18.475074,-97.394978,https://mitehuacan.mx/?ruta=chapulco
1,Desayunos Panchis,café,6,18.469035,-97.389801,https://mitehuacan.mx/?ruta=chapulco
1,Cooperativa Escolar Turno Matutino,café,7,18.477033,-97.397059,https://mitehuacan.mx/?ruta=chapulco
1,Tienda Escolar Liberacion Turno Vespertino Numero De Concesi,café,7,18.477033,-97.397059,https://mitehuacan.mx/?ruta=chapulco
1,Venta De Pan Casero Mr Dumpling,café,7,18.463368,-97.38943,https://mitehuacan.mx/?ruta=chapulco
1,Venta De Desayunos Sin Nombre,café,8,18.462891,-97.388139,https://mitehuacan.mx/?ruta=chapulco
1,Cafeteria Ricatory,café,9,18.462876,-97.387561,https://mitehuacan.mx/?ruta=chapulco
1,Tienda Escolar,café,9,18.462222,-97.384842,https://mitehuacan.mx/?ruta=chapulco
1,Cafeteria San Francisco,café,10,18.470488,-97.392805,https://mitehuacan.mx/?ruta=chapulco
1,Expreso Cafe,café,10,18.470488,-97.392805,https://mitehuacan.mx/?ruta=chapulco
1,Helados Panchito,café,10,18.470488,-97.392805,https://mitehuacan.mx/?ruta=chapulco
1,Jugos Y Licuados Karina,café,10,18.470488,-97.392805,https://mitehuacan.mx/?ruta=chapulco
1,Jugueria Sin Nombre,café,10,18.489699,-97.404492,https://mitehuacan.mx/?ruta=chapulco
1,Tienda Escolar Sin Nombre,café,10,18.465123,-97.387018,https://mitehuacan.mx/?ruta=chapulco
1,Venta De Jugos Y Refrescos San Juditas,café,10,18.470488,-97.392805,https://mitehuacan.mx/?ruta=chapulco
1,Aguas Frescas Sin Nombre,café,11,18.490169,-97.40475,https://mitehuacan.mx/?ruta=chapulco
1,Ricafet,café,16,18.46711,-97.393528,https://mitehuacan.mx/?ruta=chapulco
1,Caseta Metalica Sin Nombre,café,20,18.484546,-97.402084,https://mitehuacan.mx/?ruta=chapulco
1,Caseta Sin Nombre,café,20,18.484528,-97.402074,https://mitehuacan.mx/?ruta=chapulco
1,Master Coffe Tehuacan,café,21,18.460727,-97.385176,https://mitehuacan.mx/?ruta=chapulco
1,Mokafe Cafeteria,café,22,18.466774,-97.393899,https://mitehuacan.mx/?ruta=chapulco
1,La Incluyente Cafeteria Y Panaderia,café,26,18.466737,-97.393899,https://mitehuacan.mx/?ruta=chapulco
1,Hemingway Coffe,café,35,18.466656,-97.393901,https://mitehuacan.mx/?ruta=chapulco
1,Tortas Las Cuñis,café,36,18.469113,-97.393651,https://mitehuacan.mx/?ruta=chapulco
1,Jugueria Sin Nombre,café,40,18.45699,-97.38517,https://mitehuacan.mx/?ruta=chapulco
1,Venta De Jugo Sin Nombre,café,43,18.456949,-97.385583,https://mitehuacan.mx/?ruta=chapulco
1,Cafeteria Entre Aromas & Cafe,café,54,18.46648,-97.393904,https://mitehuacan.mx/?ruta=chapulco
1,Hamburguesas Burguer Lukas,café,56,18.467461,-97.393003,https://mitehuacan.mx/?ruta=chapulco
1,Ambrosia,café,59,18.470355,-97.392347,https://mitehuacan.mx/?ruta=chapulco
1,Cafeteria Bombay,café,59,18.466439,-97.393904,https://mitehuacan.mx/?ruta=chapulco
1,Jugueria Guisel,café,61,18.456791,-97.385179,https://mitehuacan.mx/?ruta=chapulco
1,Maple Cafeteria,café,68,18.46634,-97.393037,https://mitehuacan.mx/?ruta=chapulco
1,Cafeteria Idue Cafe,café,79,18.459066,-97.385896,https://mitehuacan.mx/?ruta=chapulco
1,Hemingway,café,79,18.466255,-97.393907,https://mitehuacan.mx/?ruta=chapulco
1,Cafeteria Ceut,café,89,18.463635,-97.388377,https://mitehuacan.mx/?ruta=chapulco
1,Cefeteria El Eden,café,90,18.476871,-97.396028,https://mitehuacan.mx/?ruta=chapulco
1,Venta De Jugos Y Licuados Sin Nombre,café,97,18.47958,-97.39998,https://mitehuacan.mx/?ruta=chapulco
1,Cafe Sierra Negra,café,108,18.465978,-97.393045,https://mitehuacan.mx/?ruta=chapulco
1,Tienda Escolar Del Bachillerato Niños Heroes De Chapultepec,café,127,18.619811,-97.413311,https://mitehuacan.mx/?ruta=chapulco
1,Cafeteria A & A Smoothies,café,128,18.465754,-97.391335,https://mitehuacan.mx/?ruta=chapulco
1,Venta De Comida Frutileto,café,139,18.465694,-97.392929,https://mitehuacan.mx/?ruta=chapulco
1,Ruta Cafe,café,149,18.459007,-97.388643,https://mitehuacan.mx/?ruta=chapulco
1,Compra Venta De Refacciones Para Celular,celulares,3,18.464343,-97.3894,https://mitehuacan.mx/?ruta=chapulco
1,Electronica Osve,celulares,4,18.462754,-97.387432,https://mitehuacan.mx/?ruta=chapulco
1,Venta De Accesorios Para Celular Farmacell,celulares,4,18.458602,-97.38727,https://mitehuacan.mx/?ruta=chapulco
1,Tienda De Discos Sin Nombre,celulares,5,18.457302,-97.385937,https://mitehuacan.mx/?ruta=chapulco
1,Dmaeg Technology In Your Hands,celulares,6,18.469039,-97.389886,https://mitehuacan.mx/?ruta=chapulco
1,Accesorios Para Celular Y Reparaciones De Celulares Rg Unloc,celulares,7,18.463287,-97.387079,https://mitehuacan.mx/?ruta=chapulco
1,Reparacion Y Venta De Accesorios Telefonicos Ganac,celulares,8,18.462891,-97.388139,https://mitehuacan.mx/?ruta=chapulco
1,Tienda De Accesorios Para Celular Sin Nombre,celulares,8,18.463389,-97.387073,https://mitehuacan.mx/?ruta=chapulco
1,Celulares Telcel,celulares,9,18.462859,-97.386954,https://mitehuacan.mx/?ruta=chapulco
1,Tienda De Accesorios Para Celular Shoppy Phone,celulares,10,18.467054,-97.393512,https://mitehuacan.mx/?ruta=chapulco
1,Tienda De Telefonia Genius Movil,celulares,10,18.466822,-97.391325,https://mitehuacan.mx/?ruta=chapulco
1,Accesorios De Celular Happy,celulares,11,18.458996,-97.385047,https://mitehuacan.mx/?ruta=chapulco
1,Accesorios Para Celular Cell Ma-Va,celulares,11,18.462758,-97.389318,https://mitehuacan.mx/?ruta=chapulco
1,Venta De Accesorios Para Celulares Sin Nombre,celulares,13,18.457479,-97.385153,https://mitehuacan.mx/?ruta=chapulco
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel,celulares,14,18.458608,-97.387363,https://mitehuacan.mx/?ruta=chapulco
1,Venta De Accesorios Para. Celulares,celulares,16,18.461357,-97.387035,https://mitehuacan.mx/?ruta=chapulco
1,Macropay,celulares,18,18.463938,-97.386968,https://mitehuacan.mx/?ruta=chapulco
1,Venta De Audio Y Computo Mitzu Electronicos,celulares,20,18.462677,-97.38932,https://mitehuacan.mx/?ruta=chapulco
1,Telefonia Y Accesorios Novedades Max,celulares,28,18.457083,-97.385238,https://mitehuacan.mx/?ruta=chapulco
1,Tienda De Telefonos Telcel,celulares,31,18.462948,-97.389655,https://mitehuacan.mx/?ruta=chapulco
1,Accesorios Para Celulares Click,celulares,33,18.471419,-97.392555,https://mitehuacan.mx/?ruta=chapulco
1,Black Cell,celulares,42,18.460724,-97.387596,https://mitehuacan.mx/?ruta=chapulco
1,Compra Venta De Accesorios Para Celular Accesorios Una Hora ,celulares,75,18.464835,-97.390085,https://mitehuacan.mx/?ruta=chapulco
1,Compra Venta De Refacciones Para Celulares Iplus Refacciones,celulares,75,18.464835,-97.390085,https://mitehuacan.mx/?ruta=chapulco
1,Reparacion De Celulares Lettgel,celulares,75,18.58852,-97.414343,https://mitehuacan.mx/?ruta=chapulco
1,Smart Service,celulares,85,18.46073,-97.388003,https://mitehuacan.mx/?ruta=chapulco
1,Venta De Accesorios De Celulares Sin Nombre,celulares,85,18.456565,-97.385189,https://mitehuacan.mx/?ruta=chapulco
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,99,18.462848,-97.390304,https://mitehuacan.mx/?ruta=chapulco
1,La Casa De La Tecnologia,celulares,111,18.461866,-97.389462,https://mitehuacan.mx/?ruta=chapulco
1,Lapcel Laboratorio De Celulares,celulares,117,18.456276,-97.385201,https://mitehuacan.mx/?ruta=chapulco
1,Telefonica Movistar,celulares,120,18.462854,-97.390503,https://mitehuacan.mx/?ruta=chapulco
1,Venta De Cables Y Fundas Y Herramientas De Mano Sin Nombre,celulares,123,18.456222,-97.385204,https://mitehuacan.mx/?ruta=chapulco
1,Compra Venta De Accesorios Para Celular Life Style,celulares,127,18.462976,-97.390565,https://mitehuacan.mx/?ruta=chapulco
1,Venta De Accesorios Para Telefonos Celulares,celulares,140,18.458137,-97.383896,https://mitehuacan.mx/?ruta=chapulco
1,Accesorios Y Celulares Sin Nombre,celulares,141,18.457441,-97.383939,https://mitehuacan.mx/?ruta=chapulco
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel ,celulares,145,18.458583,-97.388607,https://mitehuacan.mx/?ruta=chapulco
1,Reparacion Y Accesorios Para Celular Sin Nombre,celulares,147,18.461574,-97.389692,https://mitehuacan.mx/?ruta=chapulco
1,Clinica De Rehabilitacion De Fisioterapia,consultorio,0,18.466563,-97.389381,https://mitehuacan.mx/?ruta=chapulco
1,Consultorio Dental Macdent,consultorio,0,18.466563,-97.389381,https://mitehuacan.mx/?ruta=chapulco
1,Consultorio Dental Consuldent,consultorio,1,18.466923,-97.392368,https://mitehuacan.mx/?ruta=chapulco
1,Consultorio Dental Zeron,consultorio,1,18.459857,-97.385075,https://mitehuacan.mx/?ruta=chapulco
1,Gabinete De Coaching Y Pnl,consultorio,1,18.467239,-97.394013,https://mitehuacan.mx/?ruta=chapulco
1,Laboratorio Dental Los Angeles,consultorio,1,18.465766,-97.389388,https://mitehuacan.mx/?ruta=chapulco
1,Optica Look Vission,consultorio,1,18.458524,-97.385203,https://mitehuacan.mx/?ruta=chapulco
1,Consultorio Dental,consultorio,2,18.461791,-97.384947,https://mitehuacan.mx/?ruta=chapulco
