prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Tienda Escolar Sin Nombre,café,1,18.465123,-97.387018,https://mitehuacan.mx/?ruta=rc-del-valle
1,Venta De Pan Casero Mr Dumpling,café,2,18.463368,-97.38943,https://mitehuacan.mx/?ruta=rc-del-valle
1,La Curva Antojos,café,10,18.473153,-97.375108,https://mitehuacan.mx/?ruta=rc-del-valle
1,Cafeteria La Suiza,café,15,18.459039,-97.389388,https://mitehuacan.mx/?ruta=rc-del-valle
1,Elaboracion Y Venta De Bebidas Bobba Go,café,26,18.458623,-97.389801,https://mitehuacan.mx/?ruta=rc-del-valle
1,Venta De Aguas Sin Nombre,café,42,18.460548,-97.389868,https://mitehuacan.mx/?ruta=rc-del-valle
1,Desayunos Panchis,café,44,18.469035,-97.389801,https://mitehuacan.mx/?ruta=rc-del-valle
1,Ruta Cafe,café,47,18.459007,-97.388643,https://mitehuacan.mx/?ruta=rc-del-valle
1,Cafeteria Ricatory,café,55,18.462876,-97.387561,https://mitehuacan.mx/?ruta=rc-del-valle
1,Cafeteria Flor De Cafe,café,88,18.461501,-97.390292,https://mitehuacan.mx/?ruta=rc-del-valle
1,Tienda Escoalar Sin Nombre,café,103,18.468199,-97.379875,https://mitehuacan.mx/?ruta=rc-del-valle
1,Tienda Escolar Sin Nombre,café,103,18.468199,-97.379875,https://mitehuacan.mx/?ruta=rc-del-valle
1,Cafeteria Ceut,café,113,18.463635,-97.388377,https://mitehuacan.mx/?ruta=rc-del-valle
1,Venta De Desayunos Sin Nombre,café,116,18.462891,-97.388139,https://mitehuacan.mx/?ruta=rc-del-valle
1,Venta De Aguas Frescas Sin Nombre,café,119,18.458655,-97.390673,https://mitehuacan.mx/?ruta=rc-del-valle
1,Jugos Hernandez,café,128,18.461786,-97.390665,https://mitehuacan.mx/?ruta=rc-del-valle
1,Cafeteria Idue Cafe,café,133,18.459066,-97.385896,https://mitehuacan.mx/?ruta=rc-del-valle
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel ,celulares,0,18.458583,-97.388607,https://mitehuacan.mx/?ruta=rc-del-valle
1,La Casa De La Tecnologia,celulares,1,18.461866,-97.389462,https://mitehuacan.mx/?ruta=rc-del-valle
1,Tiendas De Telefonos Distribuidor Autorizado Telcel Pamec,celulares,1,18.461441,-97.389465,https://mitehuacan.mx/?ruta=rc-del-valle
1,Venta De Accesorios Para Celulares Caseland,celulares,1,18.469168,-97.384693,https://mitehuacan.mx/?ruta=rc-del-valle
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,2,18.458618,-97.389317,https://mitehuacan.mx/?ruta=rc-del-valle
1,Macropay,celulares,3,18.463938,-97.386968,https://mitehuacan.mx/?ruta=rc-del-valle
1,Compra Venta De Refacciones Para Celular,celulares,4,18.464343,-97.3894,https://mitehuacan.mx/?ruta=rc-del-valle
1,Accesorios Para Celular Y Reparaciones De Celulares Rg Unloc,celulares,6,18.463287,-97.387079,https://mitehuacan.mx/?ruta=rc-del-valle
1,Tienda De Accesorios Para Celular Sin Nombre,celulares,6,18.463389,-97.387073,https://mitehuacan.mx/?ruta=rc-del-valle
