prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Cafe Sierra Negra,café,1,18.457574,-97.391481,https://mitehuacan.mx/?ruta=rc
1,Venta De Pan Casero Mr Dumpling,café,2,18.463368,-97.38943,https://mitehuacan.mx/?ruta=rc
1,Tienda Escolar Sin Nombre,café,3,18.465123,-97.387018,https://mitehuacan.mx/?ruta=rc
1,Tienda Escolar Telesecundaria Joan Sebastian Bach,café,3,18.472116,-97.381538,https://mitehuacan.mx/?ruta=rc
1,Tienda Escolar Del Bachillerato General Oficial Lazaro Carde,café,4,18.472369,-97.381541,https://mitehuacan.mx/?ruta=rc
1,Cafeteria Ricatory,café,13,18.462876,-97.387561,https://mitehuacan.mx/?ruta=rc
1,Venta De Desayunos Sin Nombre,café,13,18.462891,-97.388139,https://mitehuacan.mx/?ruta=rc
1,Cafeteria Morentina,café,14,18.462982,-97.391163,https://mitehuacan.mx/?ruta=rc
1,Cafeteria La Suiza,café,16,18.459039,-97.389388,https://mitehuacan.mx/?ruta=rc
1,Caffe Arce,café,25,18.461948,-97.391178,https://mitehuacan.mx/?ruta=rc
1,Cocina Economica Lolita,café,25,18.461948,-97.391178,https://mitehuacan.mx/?ruta=rc
1,Jugueria La Esperanza,café,25,18.461948,-97.391178,https://mitehuacan.mx/?ruta=rc
1,Refresqueria Y Jugueria Gemita,café,25,18.461948,-97.391178,https://mitehuacan.mx/?ruta=rc
1,Elaboracion Y Venta De Bebidas Bobba Go,café,26,18.458623,-97.389801,https://mitehuacan.mx/?ruta=rc
1,Venta De Jugos Super Jugos Curativos,café,31,18.458671,-97.391184,https://mitehuacan.mx/?ruta=rc
1,Desayunados Juquilita,café,35,18.456252,-97.389436,https://mitehuacan.mx/?ruta=rc
1,Venta De Aguas Sin Nombre,café,40,18.460548,-97.389868,https://mitehuacan.mx/?ruta=rc
1,Desayunos Panchis,café,44,18.469035,-97.389801,https://mitehuacan.mx/?ruta=rc
1,Ruta Cafe,café,48,18.459007,-97.388643,https://mitehuacan.mx/?ruta=rc
1,Jugueria Sin Nombre,café,54,18.456472,-97.389978,https://mitehuacan.mx/?ruta=rc
1,Venta De Micheladas,café,61,18.471894,-97.383268,https://mitehuacan.mx/?ruta=rc
1,Cooperativa Los Niños Son Primero Escuela Primaria Manuel Av,café,64,18.456419,-97.391004,https://mitehuacan.mx/?ruta=rc
1,Restauran Casa Rayon,café,64,18.462506,-97.392019,https://mitehuacan.mx/?ruta=rc
1,Tienda Escolar Sin Nombre Escuela Primaria Manuel Avila Cama,café,64,18.456415,-97.390938,https://mitehuacan.mx/?ruta=rc
1,Jugueria Guisel,café,65,18.456791,-97.385179,https://mitehuacan.mx/?ruta=rc
1,Cafeteria Idue Cafe,café,67,18.459066,-97.385896,https://mitehuacan.mx/?ruta=rc
1,La Curva Antojos,café,68,18.473153,-97.375108,https://mitehuacan.mx/?ruta=rc
1,Venta De Comida San Pedro,café,69,18.456585,-97.391976,https://mitehuacan.mx/?ruta=rc
1,Cooperativa Escolar Benito Juarez,café,71,18.446668,-97.381355,https://mitehuacan.mx/?ruta=rc
1,Cooperativa Escolar Tecnica 21,café,75,18.450507,-97.383185,https://mitehuacan.mx/?ruta=rc
1,Jugos Hernandez,café,80,18.461786,-97.390665,https://mitehuacan.mx/?ruta=rc
1,Venta De Jugo Sin Nombre,café,80,18.456949,-97.385583,https://mitehuacan.mx/?ruta=rc
1,Venta De Aguas Frescas Sin Nombre,café,85,18.458655,-97.390673,https://mitehuacan.mx/?ruta=rc
1,Cafeteria Flor De Cafe,café,87,18.461501,-97.390292,https://mitehuacan.mx/?ruta=rc
1,Jugueria Sin Nombre,café,87,18.45699,-97.38517,https://mitehuacan.mx/?ruta=rc
1,Cafeteria Ceut,café,95,18.463635,-97.388377,https://mitehuacan.mx/?ruta=rc
1,Finca San Agustin Cafe,café,101,18.457938,-97.392445,https://mitehuacan.mx/?ruta=rc
1,Jugos Y Tortas California,café,102,18.459495,-97.392424,https://mitehuacan.mx/?ruta=rc
1,Cafeteria Coffe & Sando,café,105,18.460139,-97.392444,https://mitehuacan.mx/?ruta=rc
1,Cafeteria Antara,café,111,18.463021,-97.392461,https://mitehuacan.mx/?ruta=rc
1,Cherry Food & Coffee,café,132,18.456997,-97.392748,https://mitehuacan.mx/?ruta=rc
1,Delicrep,café,136,18.456734,-97.392756,https://mitehuacan.mx/?ruta=rc
1,Electronica Osve,celulares,0,18.462754,-97.387432,https://mitehuacan.mx/?ruta=rc
1,La Casa De La Tecnologia,celulares,0,18.461866,-97.389462,https://mitehuacan.mx/?ruta=rc
1,Tiendas De Telefonos Distribuidor Autorizado Telcel Pamec,celulares,0,18.461441,-97.389465,https://mitehuacan.mx/?ruta=rc
1,Tienda De Accesorios Pra Celular Sin Nombre,celulares,1,18.462871,-97.391233,https://mitehuacan.mx/?ruta=rc
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,1,18.462848,-97.390304,https://mitehuacan.mx/?ruta=rc
1,Venta De Accesorios Para Celulares Caseland,celulares,1,18.469168,-97.384693,https://mitehuacan.mx/?ruta=rc
1,Venta De Accesorios Para Telefonos Celulares,celulares,1,18.458137,-97.383896,https://mitehuacan.mx/?ruta=rc
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel ,celulares,1,18.458583,-97.388607,https://mitehuacan.mx/?ruta=rc
1,Compra Venta De Celulares Los Guapos De La Tecnologia,celulares,2,18.456164,-97.384021,https://mitehuacan.mx/?ruta=rc
1,Telefonica Movistar,celulares,2,18.462854,-97.390503,https://mitehuacan.mx/?ruta=rc
1,Tienda De Telefonos Autorizado Pamec Telcel,celulares,2,18.458876,-97.391448,https://mitehuacan.mx/?ruta=rc
1,Venta De Cables Y Fundas Y Herramientas De Mano Sin Nombre,celulares,2,18.456222,-97.385204,https://mitehuacan.mx/?ruta=rc
