prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Cafeteria Calle Melancolia,café,0,18.454898,-97.391618,https://mitehuacan.mx/?ruta=10-verde
1,Cafeteria De La Universidad Upaep,café,3,18.441235,-97.381498,https://mitehuacan.mx/?ruta=10-verde
1,Tienda Escolar Sin Nombre,café,4,18.440719,-97.369507,https://mitehuacan.mx/?ruta=10-verde
1,Venta De Jugos Sin Nombre,café,4,18.462702,-97.385574,https://mitehuacan.mx/?ruta=10-verde
1,Cafe Sierra Negra,café,8,18.457574,-97.391481,https://mitehuacan.mx/?ruta=10-verde
1,Cafeteria Ricatory,café,8,18.462876,-97.387561,https://mitehuacan.mx/?ruta=10-verde
1,Venta De Desayunos Sin Nombre,café,8,18.462891,-97.388139,https://mitehuacan.mx/?ruta=10-verde
1,Cafeteria Escolar Sin Nombre,café,9,18.444527,-97.386775,https://mitehuacan.mx/?ruta=10-verde
1,Cooperativa Escolar Sin Nombre Turno Matutino Escuela Primar,café,9,18.455339,-97.391516,https://mitehuacan.mx/?ruta=10-verde
1,Tienda Escolar Primaria Ing Pastor Roauix Turno Vespertino,café,9,18.455339,-97.391516,https://mitehuacan.mx/?ruta=10-verde
1,Cafeteria Morentina,café,12,18.462982,-97.391163,https://mitehuacan.mx/?ruta=10-verde
1,Caffe Arce,café,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=10-verde
1,Cocina Economica Lolita,café,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=10-verde
1,Jugueria La Esperanza,café,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=10-verde
1,Refresqueria Y Jugueria Gemita,café,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=10-verde
1,Venta De Jugos Super Jugos Curativos,café,37,18.458671,-97.391184,https://mitehuacan.mx/?ruta=10-verde
1,Casetita Blanca,café,40,18.443523,-97.367565,https://mitehuacan.mx/?ruta=10-verde
1,Venta De Comida San Pedro,café,44,18.456585,-97.391976,https://mitehuacan.mx/?ruta=10-verde
1,Tienda Escolar,café,54,18.462222,-97.384842,https://mitehuacan.mx/?ruta=10-verde
1,Venta De Pan Casero Mr Dumpling,café,55,18.463368,-97.38943,https://mitehuacan.mx/?ruta=10-verde
1,Tienda Escolar Cuitlahuac,café,57,18.442369,-97.367506,https://mitehuacan.mx/?ruta=10-verde
1,Cooperativa Los Niños Son Primero Escuela Primaria Manuel Av,café,59,18.456419,-97.391004,https://mitehuacan.mx/?ruta=10-verde
1,Restauran Casa Rayon,café,63,18.462506,-97.392019,https://mitehuacan.mx/?ruta=10-verde
1,Tienda Escolar Sin Nombre Escuela Primaria Manuel Avila Cama,café,66,18.456415,-97.390938,https://mitehuacan.mx/?ruta=10-verde
1,Jugos Hernandez,café,82,18.461786,-97.390665,https://mitehuacan.mx/?ruta=10-verde
1,Cafeteria Ceut,café,89,18.463635,-97.388377,https://mitehuacan.mx/?ruta=10-verde
1,Venta De Aguas Frescas Sin Nombre,café,91,18.458655,-97.390673,https://mitehuacan.mx/?ruta=10-verde
1,Endulzate Cafeteria,café,94,18.45526,-97.392499,https://mitehuacan.mx/?ruta=10-verde
1,Finca San Agustin Cafe,café,95,18.457938,-97.392445,https://mitehuacan.mx/?ruta=10-verde
1,Jugos Y Tortas California,café,97,18.459495,-97.392424,https://mitehuacan.mx/?ruta=10-verde
1,Heladeria Y Paleteria Creamy,café,98,18.454355,-97.392526,https://mitehuacan.mx/?ruta=10-verde
1,Cafeteria Coffe & Sando,café,101,18.460139,-97.392444,https://mitehuacan.mx/?ruta=10-verde
1,Cooperativa Escolar Secundaria Raul Lopez Ramirez,café,106,18.460571,-97.37174,https://mitehuacan.mx/?ruta=10-verde
1,Cafeteria Antara,café,112,18.463021,-97.392461,https://mitehuacan.mx/?ruta=10-verde
1,Cafeteria Casa Macarena,café,117,18.453885,-97.39254,https://mitehuacan.mx/?ruta=10-verde
1,La Casita De Dulces,café,118,18.453392,-97.39177,https://mitehuacan.mx/?ruta=10-verde
1,Cafeteria Flor De Cafe,café,122,18.461501,-97.390292,https://mitehuacan.mx/?ruta=10-verde
1,Cherry Food & Coffee,café,126,18.456997,-97.392748,https://mitehuacan.mx/?ruta=10-verde
1,Delicrep,café,126,18.456734,-97.392756,https://mitehuacan.mx/?ruta=10-verde
1,Bulgaru Frozen Kefir,café,133,18.454129,-97.392817,https://mitehuacan.mx/?ruta=10-verde
1,Tienda De Accesorios Pra Celular Sin Nombre,celulares,1,18.462871,-97.391233,https://mitehuacan.mx/?ruta=10-verde
1,Telefonica Movistar,celulares,3,18.462854,-97.390503,https://mitehuacan.mx/?ruta=10-verde
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,4,18.462848,-97.390304,https://mitehuacan.mx/?ruta=10-verde
1,Electronica Osve,celulares,5,18.462754,-97.387432,https://mitehuacan.mx/?ruta=10-verde
1,Tienda De Accesorios Para Celulares Centro Cell,celulares,5,18.459377,-97.391553,https://mitehuacan.mx/?ruta=10-verde
1,Tienda De Telefonia Pamec Telcel,celulares,5,18.461663,-97.391396,https://mitehuacan.mx/?ruta=10-verde
1,Accesorios Para Celular Telefonmania,celulares,6,18.459839,-97.391547,https://mitehuacan.mx/?ruta=10-verde
1,J-Cell Accesorios,celulares,6,18.461313,-97.391509,https://mitehuacan.mx/?ruta=10-verde
1,Tap-Cel,celulares,7,18.45989,-97.391429,https://mitehuacan.mx/?ruta=10-verde
1,Technology Store,celulares,7,18.460025,-97.391426,https://mitehuacan.mx/?ruta=10-verde
1,Celulares Telcel,celulares,8,18.462859,-97.386954,https://mitehuacan.mx/?ruta=10-verde
1,Reparacion Y Venta De Accesorios Telefonicos Ganac,celulares,8,18.462891,-97.388139,https://mitehuacan.mx/?ruta=10-verde
1,Tienda De Telefonos Autorizado Pamec Telcel,celulares,8,18.458876,-97.391448,https://mitehuacan.mx/?ruta=10-verde
1,Tienda De Telefonos Telcel,celulares,8,18.462948,-97.389655,https://mitehuacan.mx/?ruta=10-verde
1,Accesorios Para Celular Cell Ma-Va,celulares,12,18.462758,-97.389318,https://mitehuacan.mx/?ruta=10-verde
1,Compra Venta De Accesorios Para Celular Life Style,celulares,12,18.462976,-97.390565,https://mitehuacan.mx/?ruta=10-verde
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel,celulares,13,18.461954,-97.391311,https://mitehuacan.mx/?ruta=10-verde
1,Accesorios Para Celular Rom Cell,celulares,17,18.460917,-97.391298,https://mitehuacan.mx/?ruta=10-verde
1,Venta De Audio Y Computo Mitzu Electronicos,celulares,21,18.462677,-97.38932,https://mitehuacan.mx/?ruta=10-verde
1,Accesorios Y Reparacion De Celulares Cell Master,celulares,27,18.461948,-97.391178,https://mitehuacan.mx/?ruta=10-verde
1,Tienda De Accesorios Para Celular Nick Cell,celulares,33,18.460804,-97.391151,https://mitehuacan.mx/?ruta=10-verde
1,Tienda De Accesorios Para El Celular Accs Cell,celulares,36,18.460803,-97.391122,https://mitehuacan.mx/?ruta=10-verde
1,Venta De Accesorios Para Celulares Celular Tab,celulares,36,18.460822,-97.391807,https://mitehuacan.mx/?ruta=10-verde
1,Servicio Tecnico De Celulares El Vencedor,celulares,39,18.457442,-97.391188,https://mitehuacan.mx/?ruta=10-verde
1,Tienda De Accesorios Para El Celular City Cell,celulares,43,18.46194,-97.391027,https://mitehuacan.mx/?ruta=10-verde
1,Accesorios Para Celular Sin Nombre,celulares,54,18.460828,-97.391975,https://mitehuacan.mx/?ruta=10-verde
1,Venta De Display Para Celulares House Cel,celulares,54,18.460828,-97.391975,https://mitehuacan.mx/?ruta=10-verde
1,Accesorios Para Celular Y Reparaciones De Celulares Rg Unloc,celulares,55,18.463287,-97.387079,https://mitehuacan.mx/?ruta=10-verde
1,Grupo Accel Tienda De Telefonos Celulares De Telcel,celulares,61,18.462892,-97.391991,https://mitehuacan.mx/?ruta=10-verde
1,Tienda De Accesorios Para El Celular Centro Cell,celulares,62,18.462305,-97.390762,https://mitehuacan.mx/?ruta=10-verde
1,Celular Wort,celulares,66,18.460796,-97.390838,https://mitehuacan.mx/?ruta=10-verde
1,Tienda De Accesorios Para Celular Sin Nombre,celulares,67,18.463389,-97.387073,https://mitehuacan.mx/?ruta=10-verde
1,Yeyi Cell Accesorios Y Reparacion,celulares,71,18.458698,-97.392199,https://mitehuacan.mx/?ruta=10-verde
1,Tienda De Accesorios Para Celulares Dido Cell,celulares,77,18.460835,-97.392196,https://mitehuacan.mx/?ruta=10-verde
1,Accesorios Y Novedades Panda,celulares,85,18.4609,-97.390654,https://mitehuacan.mx/?ruta=10-verde
1,Macropay,celulares,85,18.460713,-97.390664,https://mitehuacan.mx/?ruta=10-verde
