prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Cafeteria Naxi Kita A Sa,café,0,18.465013,-97.39487,https://mitehuacan.mx/?ruta=15-frailes
1,Mr. Creping,café,0,18.464957,-97.392434,https://mitehuacan.mx/?ruta=15-frailes
1,The Italian Coffe Company Tehuacan,café,0,18.462887,-97.393226,https://mitehuacan.mx/?ruta=15-frailes
1,Jugos Y Tortas Las Tias,café,1,18.481196,-97.40664,https://mitehuacan.mx/?ruta=15-frailes
1,Tienda Escolar Centro Escolar Presidente Venustiano Carranza,café,1,18.469225,-97.396996,https://mitehuacan.mx/?ruta=15-frailes
1,Cafeteria Ugm,café,3,18.466861,-97.396451,https://mitehuacan.mx/?ruta=15-frailes
1,Venta De Alimentos Las Refreskitas,café,3,18.466562,-97.396453,https://mitehuacan.mx/?ruta=15-frailes
1,Venta De Tortas Sin Nombre,café,3,18.469257,-97.39839,https://mitehuacan.mx/?ruta=15-frailes
1,Pasteleria Francesa Le Coin Sucre,café,4,18.46429,-97.394087,https://mitehuacan.mx/?ruta=15-frailes
1,Jugos Maguie,café,7,18.471917,-97.401175,https://mitehuacan.mx/?ruta=15-frailes
1,Arlequin Coffe,café,9,18.464909,-97.393906,https://mitehuacan.mx/?ruta=15-frailes
1,Jugueria Los Frayles,café,9,18.473178,-97.404642,https://mitehuacan.mx/?ruta=15-frailes
1,Mom Petit Peche,café,9,18.464887,-97.392958,https://mitehuacan.mx/?ruta=15-frailes
1,Jugos Maxi,café,10,18.480838,-97.404528,https://mitehuacan.mx/?ruta=15-frailes
1,Venta De Crepas Sweet Pink,café,10,18.467736,-97.39783,https://mitehuacan.mx/?ruta=15-frailes
1,Occo Vintaje Cafe & Bagel,café,11,18.464892,-97.393948,https://mitehuacan.mx/?ruta=15-frailes
1,Jugueria Sin Nombre,café,14,18.45699,-97.38517,https://mitehuacan.mx/?ruta=15-frailes
1,Cafeteria La Suiza,café,15,18.459039,-97.389388,https://mitehuacan.mx/?ruta=15-frailes
1,Cafeteria Morentina,café,15,18.462982,-97.391163,https://mitehuacan.mx/?ruta=15-frailes
1,Coffe Run,café,15,18.474606,-97.40467,https://mitehuacan.mx/?ruta=15-frailes
1,Jugueria Guisel,café,15,18.456791,-97.385179,https://mitehuacan.mx/?ruta=15-frailes
1,The Italian Coffe,café,16,18.462746,-97.393261,https://mitehuacan.mx/?ruta=15-frailes
