prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Cafe Sierra Negra,café,0,18.457574,-97.391481,https://mitehuacan.mx/?ruta=22-cardenas
1,Venta De Pan Casero Mr Dumpling,café,2,18.463368,-97.38943,https://mitehuacan.mx/?ruta=22-cardenas
1,Cooperativa Escolar Sin Nombre Turno Matutino Escuela Primar,café,3,18.455339,-97.391516,https://mitehuacan.mx/?ruta=22-cardenas
1,Tienda Escolar Primaria Ing Pastor Roauix Turno Vespertino,café,3,18.455339,-97.391516,https://mitehuacan.mx/?ruta=22-cardenas
1,Cafeteria A & A Smoothies,café,4,18.465754,-97.391335,https://mitehuacan.mx/?ruta=22-cardenas
1,Jugueria De Frutas El Naranjito,café,7,18.466879,-97.391429,https://mitehuacan.mx/?ruta=22-cardenas
1,Cafeteria La Suiza,café,13,18.459039,-97.389388,https://mitehuacan.mx/?ruta=22-cardenas
1,Venta De Jugos El Sol,café,15,18.45473,-97.387763,https://mitehuacan.mx/?ruta=22-cardenas
1,Desayunados Juquilita,café,16,18.456252,-97.389436,https://mitehuacan.mx/?ruta=22-cardenas
1,Venta De Jugos Pety Frut,café,20,18.450306,-97.384206,https://mitehuacan.mx/?ruta=22-cardenas
1,Cafeteria Morentina,café,24,18.462982,-97.391163,https://mitehuacan.mx/?ruta=22-cardenas
1,Cafeteria Calle Melancolia,café,25,18.454898,-97.391618,https://mitehuacan.mx/?ruta=22-cardenas
1,Caffe Arce,café,26,18.461948,-97.391178,https://mitehuacan.mx/?ruta=22-cardenas
1,Cocina Economica Lolita,café,26,18.461948,-97.391178,https://mitehuacan.mx/?ruta=22-cardenas
1,Jugueria La Esperanza,café,26,18.461948,-97.391178,https://mitehuacan.mx/?ruta=22-cardenas
1,Refresqueria Y Jugueria Gemita,café,26,18.461948,-97.391178,https://mitehuacan.mx/?ruta=22-cardenas
1,Elaboracion Y Venta De Bebidas Bobba Go,café,29,18.458623,-97.389801,https://mitehuacan.mx/?ruta=22-cardenas
1,Venta De Jugos Super Jugos Curativos,café,31,18.458671,-97.391184,https://mitehuacan.mx/?ruta=22-cardenas
1,Venta De Aguas Sin Nombre,café,40,18.460548,-97.389868,https://mitehuacan.mx/?ruta=22-cardenas
1,Jugueria Sin Nombre,café,41,18.456472,-97.389978,https://mitehuacan.mx/?ruta=22-cardenas
1,Venta De Comida San Pedro,café,49,18.456585,-97.391976,https://mitehuacan.mx/?ruta=22-cardenas
1,Cooperativa Los Niños Son Primero Escuela Primaria Manuel Av,café,54,18.456419,-97.391004,https://mitehuacan.mx/?ruta=22-cardenas
1,Tienda Escolar Sin Nombre Escuela Primaria Manuel Avila Cama,café,61,18.456415,-97.390938,https://mitehuacan.mx/?ruta=22-cardenas
1,Restauran Casa Rayon,café,65,18.462506,-97.392019,https://mitehuacan.mx/?ruta=22-cardenas
1,Jugos Hernandez,café,80,18.461786,-97.390665,https://mitehuacan.mx/?ruta=22-cardenas
1,Venta De Aguas Frescas Sin Nombre,café,85,18.458655,-97.390673,https://mitehuacan.mx/?ruta=22-cardenas
1,Cafeteria Flor De Cafe,café,86,18.461501,-97.390292,https://mitehuacan.mx/?ruta=22-cardenas
1,Cooperativa Escolar Benito Juarez,café,86,18.446668,-97.381355,https://mitehuacan.mx/?ruta=22-cardenas
1,Ruta Cafe,café,92,18.459007,-97.388643,https://mitehuacan.mx/?ruta=22-cardenas
1,Endulzate Cafeteria,café,100,18.45526,-97.392499,https://mitehuacan.mx/?ruta=22-cardenas
1,Jugos Y Tortas California,café,100,18.459495,-97.392424,https://mitehuacan.mx/?ruta=22-cardenas
1,Finca San Agustin Cafe,café,102,18.457938,-97.392445,https://mitehuacan.mx/?ruta=22-cardenas
1,Cafeteria Coffe & Sando,café,103,18.460139,-97.392444,https://mitehuacan.mx/?ruta=22-cardenas
1,Mr. Creping,café,112,18.464957,-97.392434,https://mitehuacan.mx/?ruta=22-cardenas
1,Cafeteria Antara,café,113,18.463021,-97.392461,https://mitehuacan.mx/?ruta=22-cardenas
1,Cafeteria Ceut,café,115,18.463635,-97.388377,https://mitehuacan.mx/?ruta=22-cardenas
1,Cooperativa Escolar Tecnica 21,café,119,18.450507,-97.383185,https://mitehuacan.mx/?ruta=22-cardenas
1,Cherry Food & Coffee,café,132,18.456997,-97.392748,https://mitehuacan.mx/?ruta=22-cardenas
1,Delicrep,café,132,18.456734,-97.392756,https://mitehuacan.mx/?ruta=22-cardenas
1,Cafeteria De La Universidad Upaep,café,133,18.441235,-97.381498,https://mitehuacan.mx/?ruta=22-cardenas
