prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Jugueria De Frutas El Naranjito,café,1,18.466879,-97.391429,https://mitehuacan.mx/?ruta=22-san-marcos
1,Jugos Y Licuados Yire,café,2,18.397373,-97.35865,https://mitehuacan.mx/?ruta=22-san-marcos
1,Jugueria Raquel,café,3,18.465925,-97.384707,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cooperativa Escolar Sin Nombre Turno Matutino Escuela Primar,café,4,18.455339,-97.391516,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tienda Escolar Primaria Ing Pastor Roauix Turno Vespertino,café,4,18.455339,-97.391516,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Pan Casero Mr Dumpling,café,4,18.463368,-97.38943,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cafe Sierra Negra,café,6,18.457574,-97.391481,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cafeteria A & A Smoothies,café,7,18.465754,-97.391335,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cafeteria El Kuskito,café,12,18.420558,-97.364536,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cafeteria Duvalin,café,13,18.420576,-97.364545,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Jugos El Sol,café,14,18.45473,-97.387763,https://mitehuacan.mx/?ruta=22-san-marcos
1,Jugueria El Oasis,café,15,18.465766,-97.38524,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cafeteria La Suiza,café,18,18.459039,-97.389388,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Jugos Pety Frut,café,18,18.450306,-97.384206,https://mitehuacan.mx/?ruta=22-san-marcos
1,Desayunados Juquilita,café,19,18.456252,-97.389436,https://mitehuacan.mx/?ruta=22-san-marcos
1,Elaboracion Y Venta De Bebidas Bobba Go,café,24,18.458623,-97.389801,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cafeteria Calle Melancolia,café,25,18.454898,-97.391618,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cafeteria Morentina,café,29,18.462982,-97.391163,https://mitehuacan.mx/?ruta=22-san-marcos
1,Caffe Arce,café,29,18.461948,-97.391178,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cocina Economica Lolita,café,29,18.461948,-97.391178,https://mitehuacan.mx/?ruta=22-san-marcos
1,Jugueria La Esperanza,café,29,18.461948,-97.391178,https://mitehuacan.mx/?ruta=22-san-marcos
1,Refresqueria Y Jugueria Gemita,café,29,18.461948,-97.391178,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tienda Escolar Sin Nombre,café,34,18.465123,-97.387018,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Jugos Super Jugos Curativos,café,35,18.458671,-97.391184,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Aguas Sin Nombre,café,36,18.460548,-97.389868,https://mitehuacan.mx/?ruta=22-san-marcos
1,Jugueria Sin Nombre,café,38,18.456472,-97.389978,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Comida San Pedro,café,46,18.456585,-97.391976,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cooperativa Los Niños Son Primero Escuela Primaria Manuel Av,café,57,18.456419,-97.391004,https://mitehuacan.mx/?ruta=22-san-marcos
1,Restauran Casa Rayon,café,61,18.462506,-97.392019,https://mitehuacan.mx/?ruta=22-san-marcos
1,Jugos De Naranja Isabel,café,62,18.464727,-97.384178,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tienda Escolar Sin Nombre Escuela Primaria Manuel Avila Cama,café,64,18.456415,-97.390938,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cafeteria Flor De Cafe,café,83,18.461501,-97.390292,https://mitehuacan.mx/?ruta=22-san-marcos
1,Jugos Hernandez,café,84,18.461786,-97.390665,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cooperativa Escolar Benito Juarez,café,87,18.446668,-97.381355,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tienda Escolar,café,89,18.397898,-97.362183,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Aguas Frescas Sin Nombre,café,89,18.458655,-97.390673,https://mitehuacan.mx/?ruta=22-san-marcos
1,Finca San Agustin Cafe,café,96,18.457938,-97.392445,https://mitehuacan.mx/?ruta=22-san-marcos
1,Jugos Y Tortas California,café,97,18.459495,-97.392424,https://mitehuacan.mx/?ruta=22-san-marcos
1,Ruta Cafe,café,97,18.459007,-97.388643,https://mitehuacan.mx/?ruta=22-san-marcos
1,Endulzate Cafeteria,café,100,18.45526,-97.392499,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cafeteria Coffe & Sando,café,101,18.460139,-97.392444,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cafeteria Antara,café,108,18.463021,-97.392461,https://mitehuacan.mx/?ruta=22-san-marcos
1,Mr. Creping,café,109,18.464957,-97.392434,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cafeteria Ceut,café,115,18.463635,-97.388377,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cooperativa Escolar Tecnica 21,café,116,18.450507,-97.383185,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cherry Food & Coffee,café,127,18.456997,-97.392748,https://mitehuacan.mx/?ruta=22-san-marcos
1,Delicrep,café,128,18.456734,-97.392756,https://mitehuacan.mx/?ruta=22-san-marcos
1,Cafeteria De La Universidad Upaep,café,129,18.441235,-97.381498,https://mitehuacan.mx/?ruta=22-san-marcos
1,Heladeria Y Paleteria Creamy,café,139,18.454355,-97.392526,https://mitehuacan.mx/?ruta=22-san-marcos
1,La Casita De Dulces,café,142,18.453392,-97.39177,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Desayunos Sin Nombre,café,142,18.462891,-97.388139,https://mitehuacan.mx/?ruta=22-san-marcos
1,J-Cell Accesorios,celulares,4,18.461313,-97.391509,https://mitehuacan.mx/?ruta=22-san-marcos
1,La Casa De La Tecnologia,celulares,4,18.461866,-97.389462,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Accesorios Para Celulares Varios,celulares,4,18.446599,-97.382203,https://mitehuacan.mx/?ruta=22-san-marcos
1,Accesorios Para Celular Telefonmania,celulares,5,18.459839,-97.391547,https://mitehuacan.mx/?ruta=22-san-marcos
1,Compra Venta De Refacciones Para Celular,celulares,5,18.464343,-97.3894,https://mitehuacan.mx/?ruta=22-san-marcos
1,Dsitribuidor Autorizado Ultracel,celulares,5,18.464833,-97.391448,https://mitehuacan.mx/?ruta=22-san-marcos
1,Reparacion De Computadoras Movil Cel Lap,celulares,5,18.464993,-97.391447,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tienda De Accesorios Para Celulares Centro Cell,celulares,5,18.459377,-97.391553,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tiendas De Telefonos Distribuidor Autorizado Telcel Pamec,celulares,5,18.461441,-97.389465,https://mitehuacan.mx/?ruta=22-san-marcos
1,Compra Venta De Accesorios Para Celular Telef Mania,celulares,6,18.464369,-97.391348,https://mitehuacan.mx/?ruta=22-san-marcos
1,Compra Venta De Accesorios Para Celular La Reina,celulares,7,18.464143,-97.391352,https://mitehuacan.mx/?ruta=22-san-marcos
1,Compra Venta De Accesorios Para Celulares Technology Store,celulares,7,18.463817,-97.391357,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tap-Cel,celulares,7,18.45989,-97.391429,https://mitehuacan.mx/?ruta=22-san-marcos
1,Technology Store,celulares,7,18.460025,-97.391426,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tienda De Telefonia Genius Movil,celulares,7,18.466822,-97.391325,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tienda De Telefonia Pamec Telcel,celulares,7,18.461663,-97.391396,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tienda De Telefonos Autorizado Pamec Telcel,celulares,7,18.458876,-97.391448,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,10,18.460765,-97.389624,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Celulares Celular World,celulares,10,18.460765,-97.389624,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Celulares Grupo Accel,celulares,10,18.460765,-97.389624,https://mitehuacan.mx/?ruta=22-san-marcos
1,Accesoria Celular Carvajal,celulares,13,18.397328,-97.361274,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Accesorios Telefonicos Dido Cell,celulares,15,18.460874,-97.389668,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel,celulares,15,18.461954,-97.391311,https://mitehuacan.mx/?ruta=22-san-marcos
1,Macropay,celulares,17,18.460041,-97.389377,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Audio Y Computo Mitzu Electronicos,celulares,17,18.462677,-97.38932,https://mitehuacan.mx/?ruta=22-san-marcos
1,Accesorios Para Celular Cell Ma-Va,celulares,18,18.462758,-97.389318,https://mitehuacan.mx/?ruta=22-san-marcos
1,Macropay,celulares,18,18.459805,-97.389379,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tienda De Telefonos Telcel,celulares,18,18.462948,-97.389655,https://mitehuacan.mx/?ruta=22-san-marcos
1,Accesorios Para Celular Rom Cell,celulares,19,18.460917,-97.391298,https://mitehuacan.mx/?ruta=22-san-marcos
1,Dan Audio Tienda De Electronica,celulares,19,18.456352,-97.389433,https://mitehuacan.mx/?ruta=22-san-marcos
1,Reparacion Y Accesorios Para Celular Sin Nombre,celulares,19,18.461574,-97.389692,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Accesorios Para Celular Redi,celulares,19,18.45875,-97.389393,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Accesorios Telefonicos Y Electronicos La Casa Del C,celulares,21,18.460767,-97.389729,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tienda De Accesorios Pra Celular Sin Nombre,celulares,22,18.462871,-97.391233,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Accesorios Para Celular Novedades Hernandez,celulares,22,18.460876,-97.389735,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,27,18.458618,-97.389317,https://mitehuacan.mx/?ruta=22-san-marcos
1,Accesorios Y Reparacion De Celulares Cell Master,celulares,29,18.461948,-97.391178,https://mitehuacan.mx/?ruta=22-san-marcos
1,Accesorios De Celulares Vale Bu,celulares,30,18.458722,-97.389285,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tienda De Accesorios Para Celular Nick Cell,celulares,35,18.460804,-97.391151,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Accesorios Para Celulares Celular Tab,celulares,35,18.460822,-97.391807,https://mitehuacan.mx/?ruta=22-san-marcos
1,Servicio Tecnico De Celulares El Vencedor,celulares,37,18.457442,-97.391188,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Accesorios Para Celular Cell-Tab,celulares,37,18.464852,-97.391052,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tienda De Accesorios Para El Celular Accs Cell,celulares,38,18.460803,-97.391122,https://mitehuacan.mx/?ruta=22-san-marcos
1,Unlock Cell Andy Venta De Articulos Para Celulares,celulares,42,18.458629,-97.389972,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tienda De Accesorios Para El Celular City Cell,celulares,45,18.46194,-97.391027,https://mitehuacan.mx/?ruta=22-san-marcos
1,Accesorios Para Celular Sin Nombre,celulares,53,18.460828,-97.391975,https://mitehuacan.mx/?ruta=22-san-marcos
1,King Memori,celulares,53,18.460751,-97.389027,https://mitehuacan.mx/?ruta=22-san-marcos
1,Venta De Display Para Celulares House Cel,celulares,53,18.460828,-97.391975,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tecnology Estore,celulares,54,18.46075,-97.389018,https://mitehuacan.mx/?ruta=22-san-marcos
1,Grupo Accel Tienda De Telefonos Celulares De Telcel,celulares,58,18.462892,-97.391991,https://mitehuacan.mx/?ruta=22-san-marcos
1,Celular Wort,celulares,68,18.460796,-97.390838,https://mitehuacan.mx/?ruta=22-san-marcos
1,Compra Venta De Accesorios Para Celular Accesorios Una Hora ,celulares,68,18.464835,-97.390085,https://mitehuacan.mx/?ruta=22-san-marcos
1,Compra Venta De Refacciones Para Celulares Iplus Refacciones,celulares,68,18.464835,-97.390085,https://mitehuacan.mx/?ruta=22-san-marcos
1,Yeyi Cell Accesorios Y Reparacion,celulares,72,18.458698,-97.392199,https://mitehuacan.mx/?ruta=22-san-marcos
1,Tienda De Accesorios Para El Celular Centro Cell,celulares,73,18.462305,-97.390762,https://mitehuacan.mx/?ruta=22-san-marcos
1,Reparacion Y Accesorios Movile Zone,celulares,74,18.460781,-97.390222,https://mitehuacan.mx/?ruta=22-san-marcos
