prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Elaboracion Y Venta De Bebidas Bobba Go,café,1,18.458623,-97.389801,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Jugos De Naranja Isabel,café,1,18.464727,-97.384178,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Venta De Aguas Frescas Sin Nombre,café,1,18.458655,-97.390673,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Venta De Jugos Super Jugos Curativos,café,1,18.458671,-97.391184,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Heladeria Helados Y Nieves Naturales Tehuacan,café,2,18.459748,-97.394209,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Tienda Escolar Centro Escolar Presidente Venustiano Carranza,café,2,18.469225,-97.396996,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafeteria A & A Smoothies,café,5,18.465754,-97.391335,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Venta De Jugos Naturales,café,5,18.481363,-97.391969,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafeteria Pirillos,café,7,18.470215,-97.393927,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Jugueria De Frutas El Naranjito,café,7,18.466879,-97.391429,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Venta De Jugos Las Palmas,café,8,18.483139,-97.397773,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Venta De Crepas Sweet Pink,café,11,18.467736,-97.39783,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Jugueria El Naranjito,café,13,18.465107,-97.397955,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Donas Match Donuts,café,14,18.462368,-97.394014,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafeteria Izla Cafe,café,15,18.463125,-97.395531,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cooperativa Escolar El Caramelo,café,15,18.465837,-97.397909,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Tienda Escolar Sin Nombre,café,15,18.465846,-97.397909,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafeteria Yuyus,café,17,18.478406,-97.393544,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafeteria Idue Cafe,café,20,18.459066,-97.385896,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafe La Giralda,café,21,18.462077,-97.394352,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,The Italian Coffee Company,café,25,18.471005,-97.394196,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafeteria Picnic,café,33,18.469492,-97.396337,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Tienda Escolar Sin Nombre,café,36,18.465123,-97.387018,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Tortas Las Cuñis,café,36,18.469113,-97.393651,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Ruta Cafe,café,48,18.459007,-97.388643,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafeteria La Suiza,café,49,18.459039,-97.389388,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Venta De Tortas Sin Nombre,café,50,18.469257,-97.39839,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafeteria Cafe Iberia,café,66,18.465286,-97.382698,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafeteria Si Encanta,café,68,18.469809,-97.396335,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Match Donuts,café,69,18.480334,-97.394041,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Master Coffe Tehuacan,café,71,18.460727,-97.385176,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafeteria Mientras Espero,café,76,18.461001,-97.394901,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafeteria Llerrier,café,84,18.460912,-97.39498,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Finca San Agustin Cafe,café,85,18.457938,-97.392445,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafeteria 3 Leches,café,86,18.462305,-97.397589,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Jugos Y Tortas California,café,87,18.459495,-97.392424,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Coth06_Ruta Cafe Tehuacan Ado,café,93,18.462133,-97.395305,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Santa te,café,93,18.462499,-97.393262,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,The Italian Coffe,café,93,18.462746,-97.393261,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Mientras Espero Foro Y Cafe,café,94,18.46361,-97.393608,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Dr. Tapioca,café,95,18.457891,-97.393578,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Tienda Escolar,café,95,18.462222,-97.384842,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Restaurante Cocina De Autor Sante,café,96,18.462652,-97.393231,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,The Italian Coffe Company Tehuacan,café,96,18.462887,-97.393226,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Jugueria Sin Nombre,café,99,18.464044,-97.399057,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Venta De Desayunos,café,104,18.472327,-97.390203,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Ambrosia,café,107,18.470355,-97.392347,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafeteria Sweet Dreams,café,110,18.463785,-97.399179,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Mr. Creping,café,110,18.464957,-97.392434,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Jugueria El Oasis,café,111,18.465766,-97.38524,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Marquesitas Alux S,café,115,18.467328,-97.399033,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Venta De Jugos Y Licuados,café,115,18.460862,-97.393094,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Elaboracion Y Venta De Banderillas Y Derivados,café,118,18.463382,-97.393129,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafeteria San Francisco,café,120,18.470488,-97.392805,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Expreso Cafe,café,120,18.470488,-97.392805,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Helados Panchito,café,120,18.470488,-97.392805,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Jugos Y Licuados Karina,café,120,18.470488,-97.392805,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Venta De Jugos Y Refrescos San Juditas,café,120,18.470488,-97.392805,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafe Sierra Negra,café,121,18.457574,-97.391481,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Cafeteria Las 3 B,café,122,18.475074,-97.394978,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
1,Jugueria Sin Nombre,café,125,18.465817,-97.382689,https://mitehuacan.mx/?ruta=24-bosques-de-reforma
