prioridad,negocio,categoria,dist_m,lat,lon,maps
1,The Italian Coffe Company Tehuacan,café,1,18.462887,-97.393226,https://mitehuacan.mx/?ruta=27-el-riego
1,Venta De Jugos Sin Nombre,café,2,18.462702,-97.385574,https://mitehuacan.mx/?ruta=27-el-riego
1,Cafeteria Mientras Espero,café,4,18.461001,-97.394901,https://mitehuacan.mx/?ruta=27-el-riego
1,Cafeteria Casa Lezama,café,5,18.463895,-97.400112,https://mitehuacan.mx/?ruta=27-el-riego
1,Refugio Cafe,café,5,18.461028,-97.395972,https://mitehuacan.mx/?ruta=27-el-riego
1,Cafeteria Llerrier,café,6,18.460912,-97.39498,https://mitehuacan.mx/?ruta=27-el-riego
1,Helados Y Paletas De Hielo Abisai,café,7,18.455763,-97.411944,https://mitehuacan.mx/?ruta=27-el-riego
1,Jugueria Sin Nombre,café,7,18.455831,-97.411799,https://mitehuacan.mx/?ruta=27-el-riego
1,Cheemseria De Mi Sin Ti,café,8,18.465185,-97.403887,https://mitehuacan.mx/?ruta=27-el-riego
1,Jugueria Doña Delfis,café,8,18.455426,-97.412674,https://mitehuacan.mx/?ruta=27-el-riego
1,Venta De Jugos Y Licuados,café,9,18.460862,-97.393094,https://mitehuacan.mx/?ruta=27-el-riego
1,Master Coffe Tehuacan,café,10,18.460727,-97.385176,https://mitehuacan.mx/?ruta=27-el-riego
1,Crepealegria Venta De Crepas,café,12,18.464006,-97.404031,https://mitehuacan.mx/?ruta=27-el-riego
1,Cafeteria Morentina,café,13,18.462982,-97.391163,https://mitehuacan.mx/?ruta=27-el-riego
1,Cafeteria Ricatory,café,13,18.462876,-97.387561,https://mitehuacan.mx/?ruta=27-el-riego
1,Venta De Desayunos Sin Nombre,café,13,18.462891,-97.388139,https://mitehuacan.mx/?ruta=27-el-riego
1,Cafeteria Antara,café,15,18.463021,-97.392461,https://mitehuacan.mx/?ruta=27-el-riego
1,Cafeteria Calli Cafen,café,16,18.46221,-97.404395,https://mitehuacan.mx/?ruta=27-el-riego
1,Chez Bardo Crepas Sushi Cafe,café,16,18.462333,-97.400112,https://mitehuacan.mx/?ruta=27-el-riego
1,Tienda Escolar,café,16,18.462222,-97.384842,https://mitehuacan.mx/?ruta=27-el-riego
1,The Italian Coffe,café,17,18.462746,-97.393261,https://mitehuacan.mx/?ruta=27-el-riego
1,Cafeteria Izla Cafe,café,18,18.463125,-97.395531,https://mitehuacan.mx/?ruta=27-el-riego
1,Bebidas Bobba Go,café,21,18.463304,-97.403998,https://mitehuacan.mx/?ruta=27-el-riego
1,Restaurante Cocina De Autor Sante,café,27,18.462652,-97.393231,https://mitehuacan.mx/?ruta=27-el-riego
1,Venta De Aguas Sin Nombre,café,33,18.460548,-97.389868,https://mitehuacan.mx/?ruta=27-el-riego
1,Venta De Jugos Naturales Jugosito,café,37,18.463573,-97.402035,https://mitehuacan.mx/?ruta=27-el-riego
1,Jugueria Sin Nombre,café,41,18.45699,-97.38517,https://mitehuacan.mx/?ruta=27-el-riego
1,Restauran Casa Rayon,café,41,18.462506,-97.392019,https://mitehuacan.mx/?ruta=27-el-riego
