prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Coffee Mr Johnn,café,1,18.476204,-97.385821,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Venta De Pan Casero Mr Dumpling,café,1,18.463368,-97.38943,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Preparacion De Waffles Sin Nombre,café,2,18.491303,-97.386299,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Tienda Escolar Sin Nombre,café,2,18.465123,-97.387018,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Tienda Escolar De La Primaria Federal Ejercito Mexicano Turn,café,3,18.477675,-97.383589,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Tienda Escolar De Primaria Emiliano Zapata Turno Matutino,café,3,18.477675,-97.383589,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Venta De Desayunos,café,13,18.472327,-97.390203,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Cafeteria La Suiza,café,14,18.459039,-97.389388,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Elaboracion Y Venta De Bebidas Bobba Go,café,26,18.458623,-97.389801,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Jugueria Sin Nombre,café,41,18.45699,-97.38517,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Venta De Aguas Sin Nombre,café,41,18.460548,-97.389868,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Desayunos Panchis,café,43,18.469035,-97.389801,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Venta De Jugo Sin Nombre,café,44,18.456949,-97.385583,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Ruta Cafe,café,48,18.459007,-97.388643,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Cafeteria Ricatory,café,54,18.462876,-97.387561,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Jugueria Guisel,café,62,18.456791,-97.385179,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Cafeteria Idue Cafe,café,66,18.459066,-97.385896,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Elaboracion Y Venta De Pay Sin Nombre,café,67,18.492394,-97.386471,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Cafeteria Flor De Cafe,café,88,18.461501,-97.390292,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Venta De Jugo De Naranja,café,111,18.472399,-97.389272,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Cafeteria Ceut,café,113,18.463635,-97.388377,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Venta De Desayunos Sin Nombre,café,115,18.462891,-97.388139,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Venta De Aguas Frescas Sin Nombre,café,119,18.458655,-97.390673,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Jugos Hernandez,café,128,18.461786,-97.390665,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,La Casa De La Tecnologia,celulares,1,18.461866,-97.389462,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Tiendas De Telefonos Distribuidor Autorizado Telcel Pamec,celulares,1,18.461441,-97.389465,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel ,celulares,2,18.458583,-97.388607,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,3,18.458618,-97.389317,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Compra Venta De Refacciones Para Celular,celulares,4,18.464343,-97.3894,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Macropay,celulares,4,18.463938,-97.386968,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Accesorios Para Celular Y Reparaciones De Celulares Rg Unloc,celulares,5,18.463287,-97.387079,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Tienda De Accesorios Para Celular Sin Nombre,celulares,5,18.463389,-97.387073,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Tienda De Discos Sin Nombre,celulares,6,18.457302,-97.385937,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Venta De Accesorios Para. Celulares,celulares,6,18.461357,-97.387035,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Venta De Accesorios Para Celular Farmacell,celulares,9,18.458602,-97.38727,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Celulares Telcel,celulares,10,18.462859,-97.386954,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel,celulares,10,18.458608,-97.387363,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Macropay,celulares,11,18.460041,-97.389377,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Macropay,celulares,12,18.459805,-97.389379,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Accesorios Para Celular Cell Ma-Va,celulares,13,18.462758,-97.389318,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Venta De Audio Y Computo Mitzu Electronicos,celulares,13,18.462677,-97.38932,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
1,Accesorios De Celulares Vale Bu,celulares,14,18.458722,-97.389285,https://mitehuacan.mx/?ruta=38-santa-cruz-unidad-militar
