prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Cafeteria Pirillos,café,2,18.470215,-97.393927,https://mitehuacan.mx/?ruta=5-a
1,Jugueria Sin Nombre,café,2,18.465817,-97.382689,https://mitehuacan.mx/?ruta=5-a
1,The Italian Coffee Company,café,2,18.471005,-97.394196,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria Llerrier,café,4,18.460912,-97.39498,https://mitehuacan.mx/?ruta=5-a
1,Master Coffe Tehuacan,café,4,18.460727,-97.385176,https://mitehuacan.mx/?ruta=5-a
1,Jugueria De Frutas El Naranjito,café,5,18.466879,-97.391429,https://mitehuacan.mx/?ruta=5-a
1,Venta De Jugos Y Licuados,café,5,18.460862,-97.393094,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria Mientras Espero,café,6,18.461001,-97.394901,https://mitehuacan.mx/?ruta=5-a
1,Jugos De Naranja Isabel,café,6,18.464727,-97.384178,https://mitehuacan.mx/?ruta=5-a
1,Refugio Cafe,café,7,18.461028,-97.395972,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria Casa Lezama,café,9,18.463895,-97.400112,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria Coffe & Sando,café,10,18.460139,-97.392444,https://mitehuacan.mx/?ruta=5-a
1,Tienda Escolar,café,10,18.462222,-97.384842,https://mitehuacan.mx/?ruta=5-a
1,Venta De Jugos El Sol,café,10,18.45473,-97.387763,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria La Suiza,café,11,18.459039,-97.389388,https://mitehuacan.mx/?ruta=5-a
1,Finca San Agustin Cafe,café,11,18.457938,-97.392445,https://mitehuacan.mx/?ruta=5-a
1,Jugos Y Tortas California,café,12,18.459495,-97.392424,https://mitehuacan.mx/?ruta=5-a
1,Ricafet,café,12,18.46711,-97.393528,https://mitehuacan.mx/?ruta=5-a
1,Desayunados Juquilita,café,13,18.456252,-97.389436,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria Yuyus,café,14,18.478406,-97.393544,https://mitehuacan.mx/?ruta=5-a
1,Chez Bardo Crepas Sushi Cafe,café,14,18.462333,-97.400112,https://mitehuacan.mx/?ruta=5-a
1,Jugueria Raquel,café,14,18.465925,-97.384707,https://mitehuacan.mx/?ruta=5-a
1,Cooperativa Escolar Sin Nombre Turno Matutino Escuela Primar,café,15,18.455339,-97.391516,https://mitehuacan.mx/?ruta=5-a
1,Tienda Escolar Primaria Ing Pastor Roauix Turno Vespertino,café,15,18.455339,-97.391516,https://mitehuacan.mx/?ruta=5-a
1,Cherry Food & Coffee,café,21,18.456997,-97.392748,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria Calle Melancolia,café,22,18.454898,-97.391618,https://mitehuacan.mx/?ruta=5-a
1,Delicrep,café,23,18.456734,-97.392756,https://mitehuacan.mx/?ruta=5-a
1,Mokafe Cafeteria,café,27,18.466774,-97.393899,https://mitehuacan.mx/?ruta=5-a
1,Venta De Jugos Pety Frut,café,27,18.450306,-97.384206,https://mitehuacan.mx/?ruta=5-a
1,Elaboracion Y Venta De Bebidas Bobba Go,café,31,18.458623,-97.389801,https://mitehuacan.mx/?ruta=5-a
1,La Incluyente Cafeteria Y Panaderia,café,31,18.466737,-97.393899,https://mitehuacan.mx/?ruta=5-a
1,Restaurante Drayeck,café,31,18.477961,-97.397836,https://mitehuacan.mx/?ruta=5-a
1,Tortas Las Cuñis,café,31,18.469113,-97.393651,https://mitehuacan.mx/?ruta=5-a
1,Fuente De Sodas Christ,café,40,18.460688,-97.398267,https://mitehuacan.mx/?ruta=5-a
1,Hemingway Coffe,café,40,18.466656,-97.393901,https://mitehuacan.mx/?ruta=5-a
1,Jugueria Sin Nombre,café,45,18.456472,-97.389978,https://mitehuacan.mx/?ruta=5-a
1,Venta De Aguas Sin Nombre,café,45,18.460548,-97.389868,https://mitehuacan.mx/?ruta=5-a
1,Hamburguesas Burguer Lukas,café,54,18.467461,-97.393003,https://mitehuacan.mx/?ruta=5-a
1,Paleteria Y Neveria Rivera,café,55,18.436017,-97.377577,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria Licenciado Benito Juarez,café,57,18.438389,-97.379018,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria Entre Aromas & Cafe,café,59,18.46648,-97.393904,https://mitehuacan.mx/?ruta=5-a
1,Venta De Comida San Pedro,café,59,18.456585,-97.391976,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria Cafe Iberia,café,60,18.465286,-97.382698,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria Bombay,café,64,18.466439,-97.393904,https://mitehuacan.mx/?ruta=5-a
1,Maple Cafeteria,café,70,18.46634,-97.393037,https://mitehuacan.mx/?ruta=5-a
1,Jugueria El Oasis,café,71,18.465766,-97.38524,https://mitehuacan.mx/?ruta=5-a
1,Endulzate Cafeteria,café,72,18.45526,-97.392499,https://mitehuacan.mx/?ruta=5-a
1,Venta De Jugos Sin Nombre,café,72,18.462702,-97.385574,https://mitehuacan.mx/?ruta=5-a
1,Match Donuts,café,73,18.480334,-97.394041,https://mitehuacan.mx/?ruta=5-a
1,La Tostada Cafeteria,café,81,18.466886,-97.40082,https://mitehuacan.mx/?ruta=5-a
1,Hemingway,café,84,18.466255,-97.393907,https://mitehuacan.mx/?ruta=5-a
1,Destino Cafeteria,café,85,18.460277,-97.398178,https://mitehuacan.mx/?ruta=5-a
1,Ruta Cafe,café,89,18.459007,-97.388643,https://mitehuacan.mx/?ruta=5-a
1,Cooperativa Escolar Benito Juarez,café,94,18.446668,-97.381355,https://mitehuacan.mx/?ruta=5-a
1,Venta De Jugos Y Licuados Sin Nombre,café,101,18.47958,-97.39998,https://mitehuacan.mx/?ruta=5-a
1,Marquesitas Alux S,café,105,18.467328,-97.399033,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria Sweet Dreams,café,108,18.463785,-97.399179,https://mitehuacan.mx/?ruta=5-a
1,Dr. Tapioca,café,108,18.457891,-97.393578,https://mitehuacan.mx/?ruta=5-a
1,Cafe Sierra Negra,café,110,18.465978,-97.393045,https://mitehuacan.mx/?ruta=5-a
1,Cafe Sierra Negra,café,114,18.457574,-97.391481,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria Flor De Cafe,café,118,18.461501,-97.390292,https://mitehuacan.mx/?ruta=5-a
1,Jugueria Sin Nombre,café,119,18.464044,-97.399057,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria San Francisco,café,122,18.470488,-97.392805,https://mitehuacan.mx/?ruta=5-a
1,Expreso Cafe,café,122,18.470488,-97.392805,https://mitehuacan.mx/?ruta=5-a
1,Helados Panchito,café,122,18.470488,-97.392805,https://mitehuacan.mx/?ruta=5-a
1,Jugos Y Licuados Karina,café,122,18.470488,-97.392805,https://mitehuacan.mx/?ruta=5-a
1,Venta De Jugos Y Refrescos San Juditas,café,122,18.470488,-97.392805,https://mitehuacan.mx/?ruta=5-a
1,Venta De Aguas Frescas Sin Nombre,café,123,18.458655,-97.390673,https://mitehuacan.mx/?ruta=5-a
1,Venta De Jugos Naturales,café,125,18.481363,-97.391969,https://mitehuacan.mx/?ruta=5-a
1,Cafe La Giralda,café,126,18.462077,-97.394352,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria Las 3 B,café,126,18.475074,-97.394978,https://mitehuacan.mx/?ruta=5-a
1,Cooperativa Escolar Tecnica 21,café,128,18.450507,-97.383185,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria A & A Smoothies,café,129,18.465754,-97.391335,https://mitehuacan.mx/?ruta=5-a
1,Cooperativa Los Niños Son Primero Escuela Primaria Manuel Av,café,131,18.456419,-97.391004,https://mitehuacan.mx/?ruta=5-a
1,Coth06_Ruta Cafe Tehuacan Ado,café,131,18.462133,-97.395305,https://mitehuacan.mx/?ruta=5-a
1,Heladeria Helados Y Nieves Naturales Tehuacan,café,131,18.459748,-97.394209,https://mitehuacan.mx/?ruta=5-a
1,La Casita De Dulces,café,132,18.453392,-97.39177,https://mitehuacan.mx/?ruta=5-a
1,Cooperativa Escolar Turno Matutino,café,135,18.477033,-97.397059,https://mitehuacan.mx/?ruta=5-a
1,Heladeria Y Paleteria Creamy,café,135,18.454355,-97.392526,https://mitehuacan.mx/?ruta=5-a
1,Tienda Escolar Liberacion Turno Vespertino Numero De Concesi,café,135,18.477033,-97.397059,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria De La Universidad Upaep,café,136,18.441235,-97.381498,https://mitehuacan.mx/?ruta=5-a
1,Tienda Escolar Sin Nombre Escuela Primaria Manuel Avila Cama,café,137,18.456415,-97.390938,https://mitehuacan.mx/?ruta=5-a
1,Cafeteria 3 Leches,café,141,18.462305,-97.397589,https://mitehuacan.mx/?ruta=5-a
1,Venta De Comida Frutileto,café,141,18.465694,-97.392929,https://mitehuacan.mx/?ruta=5-a
1,Venta De Jugos Super Jugos Curativos,café,143,18.458671,-97.391184,https://mitehuacan.mx/?ruta=5-a
1,Titinas Ensaladas Y Mas,café,145,18.473626,-97.397691,https://mitehuacan.mx/?ruta=5-a
1,Venta Jugos Sin Nombre,café,146,18.455119,-97.393257,https://mitehuacan.mx/?ruta=5-a
1,Tienda De Accesorios Para Celular Bas Prix,celulares,3,18.460133,-97.392572,https://mitehuacan.mx/?ruta=5-a
1,Tecnologia Inalambrica Del Itsmo,celulares,4,18.460856,-97.392705,https://mitehuacan.mx/?ruta=5-a
1,Tmac Telcel Distribuidor Autorizado,celulares,4,18.460857,-97.39279,https://mitehuacan.mx/?ruta=5-a
1,Accesorios De Celulares Movistar,celulares,5,18.46086,-97.392989,https://mitehuacan.mx/?ruta=5-a
1,Black Cell,celulares,5,18.460724,-97.387596,https://mitehuacan.mx/?ruta=5-a
1,Dido Cell,celulares,5,18.460882,-97.393909,https://mitehuacan.mx/?ruta=5-a
1,Estacion De La Tecnologia,celulares,5,18.461067,-97.399993,https://mitehuacan.mx/?ruta=5-a
1,House - Cel,celulares,5,18.460746,-97.38879,https://mitehuacan.mx/?ruta=5-a
1,Novedades Fabys,celulares,5,18.460746,-97.388752,https://mitehuacan.mx/?ruta=5-a
1,Smart Service,celulares,5,18.46073,-97.388003,https://mitehuacan.mx/?ruta=5-a
1,Venta De Accesorios Para Celulares Caseland,celulares,5,18.469168,-97.384693,https://mitehuacan.mx/?ruta=5-a
1,King Memori,celulares,6,18.460751,-97.389027,https://mitehuacan.mx/?ruta=5-a
1,La Casa Del Celular,celulares,6,18.460865,-97.393283,https://mitehuacan.mx/?ruta=5-a
1,Reparacion De Telefonos Telcel,celulares,6,18.464663,-97.381524,https://mitehuacan.mx/?ruta=5-a
