prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Refugio Cafe,café,0,18.461028,-97.395972,https://mitehuacan.mx/?ruta=5
1,Cafeteria Mientras Espero,café,1,18.461001,-97.394901,https://mitehuacan.mx/?ruta=5
1,Jugueria Sin Nombre,café,1,18.465817,-97.382689,https://mitehuacan.mx/?ruta=5
1,Tienda Escolar Centro Escolar Presidente Venustiano Carranza,café,1,18.469225,-97.396996,https://mitehuacan.mx/?ruta=5
1,Master Coffe Tehuacan,café,2,18.460727,-97.385176,https://mitehuacan.mx/?ruta=5
1,Titinas Ensaladas Y Mas,café,2,18.473626,-97.397691,https://mitehuacan.mx/?ruta=5
1,Cafeteria Licenciado Benito Juarez,café,3,18.438389,-97.379018,https://mitehuacan.mx/?ruta=5
1,Jugueria Raquel,café,3,18.465925,-97.384707,https://mitehuacan.mx/?ruta=5
1,Venta De Tortas Sin Nombre,café,3,18.469257,-97.39839,https://mitehuacan.mx/?ruta=5
1,Cafeteria Pirillos,café,4,18.470215,-97.393927,https://mitehuacan.mx/?ruta=5
1,Jugueria De Frutas El Naranjito,café,4,18.466879,-97.391429,https://mitehuacan.mx/?ruta=5
1,Cafeteria Casa Lezama,café,7,18.463895,-97.400112,https://mitehuacan.mx/?ruta=5
1,Cafe Sierra Negra,café,8,18.457574,-97.391481,https://mitehuacan.mx/?ruta=5
1,Jugos De Naranja Isabel,café,8,18.464727,-97.384178,https://mitehuacan.mx/?ruta=5
1,Cafeteria Coffe & Sando,café,9,18.460139,-97.392444,https://mitehuacan.mx/?ruta=5
1,Marquesitas Alux S,café,9,18.467328,-97.399033,https://mitehuacan.mx/?ruta=5
1,Venta De Jugos El Sol,café,9,18.45473,-97.387763,https://mitehuacan.mx/?ruta=5
1,Venta De Jugos Y Licuados,café,9,18.460862,-97.393094,https://mitehuacan.mx/?ruta=5
1,Cafeteria Llerrier,café,10,18.460912,-97.39498,https://mitehuacan.mx/?ruta=5
1,Finca San Agustin Cafe,café,10,18.457938,-97.392445,https://mitehuacan.mx/?ruta=5
1,Jugos Y Tortas California,café,11,18.459495,-97.392424,https://mitehuacan.mx/?ruta=5
1,Cafeteria La Suiza,café,12,18.459039,-97.389388,https://mitehuacan.mx/?ruta=5
1,Tienda Escolar,café,13,18.462222,-97.384842,https://mitehuacan.mx/?ruta=5
1,Desayunados Juquilita,café,14,18.456252,-97.389436,https://mitehuacan.mx/?ruta=5
1,Ricafet,café,15,18.46711,-97.393528,https://mitehuacan.mx/?ruta=5
1,Chez Bardo Crepas Sushi Cafe,café,16,18.462333,-97.400112,https://mitehuacan.mx/?ruta=5
1,Venta De Jugos Pety Frut,café,17,18.450306,-97.384206,https://mitehuacan.mx/?ruta=5
1,Cooperativa Escolar Turno Matutino,café,21,18.477033,-97.397059,https://mitehuacan.mx/?ruta=5
1,Tienda Escolar Liberacion Turno Vespertino Numero De Concesi,café,21,18.477033,-97.397059,https://mitehuacan.mx/?ruta=5
1,Mokafe Cafeteria,café,24,18.466774,-97.393899,https://mitehuacan.mx/?ruta=5
1,The Italian Coffee Company,café,27,18.471005,-97.394196,https://mitehuacan.mx/?ruta=5
1,Cafeteria Ugm,café,28,18.466861,-97.396451,https://mitehuacan.mx/?ruta=5
1,La Incluyente Cafeteria Y Panaderia,café,28,18.466737,-97.393899,https://mitehuacan.mx/?ruta=5
1,Elaboracion Y Venta De Bebidas Bobba Go,café,30,18.458623,-97.389801,https://mitehuacan.mx/?ruta=5
1,Cafeteria Picnic,café,31,18.469492,-97.396337,https://mitehuacan.mx/?ruta=5
1,Tortas Las Cuñis,café,36,18.469113,-97.393651,https://mitehuacan.mx/?ruta=5
1,Hemingway Coffe,café,37,18.466656,-97.393901,https://mitehuacan.mx/?ruta=5
1,Venta De Aguas Sin Nombre,café,42,18.460548,-97.389868,https://mitehuacan.mx/?ruta=5
1,Jugueria Sin Nombre,café,44,18.456472,-97.389978,https://mitehuacan.mx/?ruta=5
1,Fuente De Sodas Christ,café,45,18.460688,-97.398267,https://mitehuacan.mx/?ruta=5
1,Hamburguesas Burguer Lukas,café,55,18.467461,-97.393003,https://mitehuacan.mx/?ruta=5
1,Cafeteria Entre Aromas & Cafe,café,56,18.46648,-97.393904,https://mitehuacan.mx/?ruta=5
1,Cafeteria Cafe Iberia,café,58,18.465286,-97.382698,https://mitehuacan.mx/?ruta=5
1,Jugueria El Oasis,café,60,18.465766,-97.38524,https://mitehuacan.mx/?ruta=5
1,Cafeteria Bombay,café,61,18.466439,-97.393904,https://mitehuacan.mx/?ruta=5
1,Venta De Alimentos Las Refreskitas,café,61,18.466562,-97.396453,https://mitehuacan.mx/?ruta=5
