prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Cafeteria Casa Macarena,café,0,18.453885,-97.39254,https://mitehuacan.mx/?ruta=7-san-agustin
1,Bulgaru Frozen Kefir,café,1,18.454129,-97.392817,https://mitehuacan.mx/?ruta=7-san-agustin
1,Heladeria Y Paleteria Creamy,café,1,18.454355,-97.392526,https://mitehuacan.mx/?ruta=7-san-agustin
1,Elaboracion Y Venta De Bebidas Bobba Go,café,2,18.458623,-97.389801,https://mitehuacan.mx/?ruta=7-san-agustin
1,Endulzate Cafeteria,café,2,18.45526,-97.392499,https://mitehuacan.mx/?ruta=7-san-agustin
1,Venta De Aguas Frescas Sin Nombre,café,2,18.458655,-97.390673,https://mitehuacan.mx/?ruta=7-san-agustin
1,Venta De Jugos Super Jugos Curativos,café,2,18.458671,-97.391184,https://mitehuacan.mx/?ruta=7-san-agustin
1,Venta De Jugos Y Licuados Sin Nombre,café,2,18.452587,-97.394487,https://mitehuacan.mx/?ruta=7-san-agustin
1,Cafeteria Del Tec,café,3,18.438471,-97.399785,https://mitehuacan.mx/?ruta=7-san-agustin
1,Cherry Food & Coffee,café,4,18.456997,-97.392748,https://mitehuacan.mx/?ruta=7-san-agustin
1,Delicrep,café,4,18.456734,-97.392756,https://mitehuacan.mx/?ruta=7-san-agustin
1,Cafe Sierra Negra,café,6,18.457574,-97.391481,https://mitehuacan.mx/?ruta=7-san-agustin
1,Finca San Agustin Cafe,café,6,18.457938,-97.392445,https://mitehuacan.mx/?ruta=7-san-agustin
1,Jugos Y Tortas Sin Nombre,café,7,18.435111,-97.403761,https://mitehuacan.mx/?ruta=7-san-agustin
1,Jugueria Sin Nombre,café,41,18.45699,-97.38517,https://mitehuacan.mx/?ruta=7-san-agustin
1,Venta De Jugo Sin Nombre,café,44,18.456949,-97.385583,https://mitehuacan.mx/?ruta=7-san-agustin
1,Venta Jugos Sin Nombre,café,47,18.455119,-97.393257,https://mitehuacan.mx/?ruta=7-san-agustin
1,Ruta Cafe,café,49,18.459007,-97.388643,https://mitehuacan.mx/?ruta=7-san-agustin
1,Cafeteria La Suiza,café,50,18.459039,-97.389388,https://mitehuacan.mx/?ruta=7-san-agustin
1,Venta De Comida San Pedro,café,56,18.456585,-97.391976,https://mitehuacan.mx/?ruta=7-san-agustin
1,Jugueria Guisel,café,62,18.456791,-97.385179,https://mitehuacan.mx/?ruta=7-san-agustin
1,Cafeteria Idue Cafe,café,67,18.459066,-97.385896,https://mitehuacan.mx/?ruta=7-san-agustin
1,La Casita De Dulces,café,83,18.453392,-97.39177,https://mitehuacan.mx/?ruta=7-san-agustin
1,Jugos Y Tortas California,café,88,18.459495,-97.392424,https://mitehuacan.mx/?ruta=7-san-agustin
1,Dr. Tapioca,café,91,18.457891,-97.393578,https://mitehuacan.mx/?ruta=7-san-agustin
1,Cafeteria Calle Melancolia,café,96,18.454898,-97.391618,https://mitehuacan.mx/?ruta=7-san-agustin
1,Cooperativa Escolar Sin Nombre Turno Matutino Escuela Primar,café,106,18.455339,-97.391516,https://mitehuacan.mx/?ruta=7-san-agustin
1,Tienda Escolar Primaria Ing Pastor Roauix Turno Vespertino,café,106,18.455339,-97.391516,https://mitehuacan.mx/?ruta=7-san-agustin
1,Jugueria Sin Nombre,café,110,18.456472,-97.389978,https://mitehuacan.mx/?ruta=7-san-agustin
1,Cooperativa Los Niños Son Primero Escuela Primaria Manuel Av,café,119,18.456419,-97.391004,https://mitehuacan.mx/?ruta=7-san-agustin
1,Tienda Escolar Sin Nombre Escuela Primaria Manuel Avila Cama,café,120,18.456415,-97.390938,https://mitehuacan.mx/?ruta=7-san-agustin
1,Desayunados Juquilita,café,133,18.456252,-97.389436,https://mitehuacan.mx/?ruta=7-san-agustin
1,Cafeteria Cupcake,café,139,18.45447,-97.394134,https://mitehuacan.mx/?ruta=7-san-agustin
1,Yeyi Cell Accesorios Y Reparacion,celulares,1,18.458698,-97.392199,https://mitehuacan.mx/?ruta=7-san-agustin
1,Grupo Accel,celulares,2,18.458657,-97.390711,https://mitehuacan.mx/?ruta=7-san-agustin
1,Unlock Cell Andy Venta De Articulos Para Celulares,celulares,2,18.458629,-97.389972,https://mitehuacan.mx/?ruta=7-san-agustin
