prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Bulgaru Frozen Kefir,café,1,18.454129,-97.392817,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Cafeteria Escolar Upn,café,2,18.417604,-97.407953,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Delicrep,café,2,18.456734,-97.392756,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Elaboracion Y Venta De Bebidas Bobba Go,café,2,18.458623,-97.389801,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,La Casita De Dulces,café,2,18.453392,-97.39177,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Venta De Aguas Frescas Sin Nombre,café,2,18.458655,-97.390673,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Venta De Jugos Super Jugos Curativos,café,2,18.458671,-97.391184,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Cafeteria Del Tec,café,3,18.438471,-97.399785,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Cafeteria Sin Nombre,café,3,18.419528,-97.408612,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Cherry Food & Coffee,café,3,18.456997,-97.392748,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Venta De Jugos Y Licuados Sin Nombre,café,5,18.452587,-97.394487,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Cafe Sierra Negra,café,7,18.457574,-97.391481,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Cafeteria Calle Melancolia,café,7,18.454898,-97.391618,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Finca San Agustin Cafe,café,7,18.457938,-97.392445,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Jugos Y Tortas Sin Nombre,café,7,18.435111,-97.403761,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Jugueria Morales,café,7,18.43295,-97.403118,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Saborilan,café,8,18.427001,-97.405691,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Cooperativa Escolar Quetzalcoatl,café,11,18.423418,-97.407001,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Cooperativa Escolar Sin Nombre Turno Matutino Escuela Primar,café,11,18.455339,-97.391516,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Tienda Escolar Primaria Ing Pastor Roauix Turno Vespertino,café,11,18.455339,-97.391516,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Cafeteria Casa Macarena,café,29,18.453885,-97.39254,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Heladeria Y Paleteria Creamy,café,30,18.454355,-97.392526,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Endulzate Cafeteria,café,31,18.45526,-97.392499,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Jugueria Sin Nombre,café,41,18.45699,-97.38517,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Venta De Jugo Sin Nombre,café,44,18.456949,-97.385583,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Cafeteria Sin Nombre,café,45,18.41979,-97.408981,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
1,Venta Jugos Sin Nombre,café,49,18.455119,-97.393257,https://mitehuacan.mx/?ruta=7-upn-213-y-normal-superior
