ruta,nombre,prospectos,prioridad_1
15,15,5460,1901
43,43,4997,1730
5-a,5-A,4339,1721
3,3,4295,1699
5,5,4248,1669
29-san-lorenzo,29 - San Lorenzo,4930,1650
4,4,4355,1647
28-san-lorenzo,28 - San Lorenzo,4842,1617
24-dina,24 Dina,4046,1535
20,20,4611,1531
24,24 (verificando),4072,1531
9,9,5026,1526
30-san-lorenzo,30 - San Lorenzo,4549,1524
13,13,4379,1515
12,12,4549,1492
6,6,3674,1492
42,42,3698,1483
17,17,4070,1467
27-el-riego,27 - El Riego,4317,1451
32-colosio,32 - Colosio,4551,1432
26-el-riego,26 - El Riego,4267,1428
18,18,4456,1424
32-san-francisco,32 - San Francisco,4487,1422
11,11,3746,1402
31-fovissste-resurreccion,31 - Fovissste- Resurrección,4176,1391
32-cbtis,32 - CBTis,4455,1388
24-bosques-de-reforma,24 - Bosques de Reforma,3632,1379
33-palmas,33 - Palmas,4464,1379
39,39,3703,1379
24-maridol,24 Maridol,3668,1378
32,32,4443,1373
37-san-isidro,37 - San Isidro,4427,1367
15-frailes,15 - Frailes,4327,1363
35-san-vicente-ferrer,35 - San Vicente Ferrer,4329,1339
36-san-lorenzo,36 - San Lorenzo,4257,1339
34-viveros,34 - Viveros,4277,1305
19,19,3716,1280
c-tec-21,C - TEC 21,4268,1247
1,1,3308,1215
cuayucatepec,Transporte Cuayucatepec,3241,1215
21,21,4203,1207
cuayuca,Cuayuca,3151,1180
16,16,3389,1153
rc,C,4030,1144
8,8,3619,1139
chapulco,Chapulco,3161,1102
41,41,3249,1101
2,2,3015,1088
22-san-marcos-chilac,22 San Marcos – Chilac,3124,1082
22-san-marcos,22 - San Marcos,3106,1074
46,46,3138,1072
44,44,3103,1067
45,45,3087,1061
22-bella-vista,22 - Bella Vista,3088,1056
ajalpan,Ajalpan,2759,1002
22-cardenas,22 - Cárdenas,2864,964
coapan-carranza,Coapan Carranza,2997,919
coapan-nacional,Coapan Nacional,2972,909
c-valle,C - Valle,2580,901
38-santa-cruz-unidad-militar,38 - Santa Cruz Unidad Militar,3037,886
altepexi,Altepexi,2427,850
10-verde,10 Verde,2454,828
miahuatlan,Miahuatlán,1954,804
10,10,2279,804
10-amarilla,10 Amarilla,2140,745
7-upn-213-y-normal-superior,7 - UPN 213 y Normal Superior,2483,745
23,23,2122,722
23-san-isidro,23 - San Isidro,2103,707
23-maravillas,23 - Maravillas,2095,706
7-tinaco,7 Tinaco,2237,637
7-san-agustin,7 - San Agustín,2206,633
3-de-mayo,3 De Mayo,1723,613
rc-del-valle,C - Del Valle,1851,609
chilac,Chilac,1752,600
40,40,2167,598
25-3-de-mayo,25 - 3 de mayo,1677,593
zapotitlan,Zapotitlán,931,392
