prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Jugui Fruti Coffe Break,café,4,18.377284,-97.300434,https://mitehuacan.mx/?ruta=altepexi
1,Venta De Jugos Sin Nombre,café,4,18.462702,-97.385574,https://mitehuacan.mx/?ruta=altepexi
1,Jugos De Naranja Isabel,café,6,18.464727,-97.384178,https://mitehuacan.mx/?ruta=altepexi
1,Cafeteria Ricatory,café,8,18.462876,-97.387561,https://mitehuacan.mx/?ruta=altepexi
1,Venta De Desayunos Sin Nombre,café,8,18.462891,-97.388139,https://mitehuacan.mx/?ruta=altepexi
1,Jugueria Ebolution,café,9,18.374235,-97.300493,https://mitehuacan.mx/?ruta=altepexi
1,Tienda Escolar Cuitlahuac,café,28,18.442369,-97.367506,https://mitehuacan.mx/?ruta=altepexi
1,The Big Snack,café,31,18.36799,-97.299179,https://mitehuacan.mx/?ruta=altepexi
1,Casetita Blanca,café,40,18.443523,-97.367565,https://mitehuacan.mx/?ruta=altepexi
1,Tienda Escolar Sin Nombre,café,41,18.465123,-97.387018,https://mitehuacan.mx/?ruta=altepexi
1,Tienda Escolar,café,54,18.462222,-97.384842,https://mitehuacan.mx/?ruta=altepexi
1,Venta De Pan Casero Mr Dumpling,café,55,18.463368,-97.38943,https://mitehuacan.mx/?ruta=altepexi
1,Cafe Ganolife,café,61,18.367097,-97.298631,https://mitehuacan.mx/?ruta=altepexi
1,Cafeteria Morentina,café,70,18.462982,-97.391163,https://mitehuacan.mx/?ruta=altepexi
1,Venta De Jugos Naturales Sin Nombre,café,70,18.371032,-97.300276,https://mitehuacan.mx/?ruta=altepexi
1,Cafeteria Cafe Iberia,café,72,18.465286,-97.382698,https://mitehuacan.mx/?ruta=altepexi
1,Venta De Jugos Sin Nombre,café,85,18.373398,-97.297464,https://mitehuacan.mx/?ruta=altepexi
1,Cafeteria Ceut,café,89,18.463635,-97.388377,https://mitehuacan.mx/?ruta=altepexi
1,Cooperativa Escolar Secundaria Raul Lopez Ramirez,café,103,18.460571,-97.37174,https://mitehuacan.mx/?ruta=altepexi
1,Cafe Ganolife,café,104,18.37548,-97.301538,https://mitehuacan.mx/?ruta=altepexi
1,Jugueria Michel,café,104,18.37548,-97.301538,https://mitehuacan.mx/?ruta=altepexi
1,Venta De Aguas Frescas Sin Nombre,café,104,18.37548,-97.301538,https://mitehuacan.mx/?ruta=altepexi
1,Tienda Escolar Turno Vespertino,café,105,18.370087,-97.302152,https://mitehuacan.mx/?ruta=altepexi
1,Jugueria El Oasis,café,117,18.465766,-97.38524,https://mitehuacan.mx/?ruta=altepexi
1,Jugos Hernandez,café,122,18.461786,-97.390665,https://mitehuacan.mx/?ruta=altepexi
1,Caffe Arce,café,125,18.461948,-97.391178,https://mitehuacan.mx/?ruta=altepexi
1,Cocina Economica Lolita,café,125,18.461948,-97.391178,https://mitehuacan.mx/?ruta=altepexi
1,Jugueria La Esperanza,café,125,18.461948,-97.391178,https://mitehuacan.mx/?ruta=altepexi
1,Refresqueria Y Jugueria Gemita,café,125,18.461948,-97.391178,https://mitehuacan.mx/?ruta=altepexi
1,Jugueria Sin Nombre,café,131,18.465817,-97.382689,https://mitehuacan.mx/?ruta=altepexi
1,Cafeteria A & A Smoothies,café,132,18.465754,-97.391335,https://mitehuacan.mx/?ruta=altepexi
1,Tienda Escolar Turno Matutino Jiret,café,134,18.370336,-97.302369,https://mitehuacan.mx/?ruta=altepexi
1,Jugueria Raquel,café,136,18.465925,-97.384707,https://mitehuacan.mx/?ruta=altepexi
1,Venta De Cafe Ganoderma,café,136,18.365994,-97.299283,https://mitehuacan.mx/?ruta=altepexi
1,Caseta Escolar De La Escuela Emiliano Zapata,café,141,18.377516,-97.298103,https://mitehuacan.mx/?ruta=altepexi
1,Tecnicell,celulares,0,18.370363,-97.297837,https://mitehuacan.mx/?ruta=altepexi
1,Compra Venta De Accesorios Para Celular Accesorios Una Hora ,celulares,1,18.464835,-97.390085,https://mitehuacan.mx/?ruta=altepexi
1,Compra Venta De Refacciones Para Celulares Iplus Refacciones,celulares,1,18.464835,-97.390085,https://mitehuacan.mx/?ruta=altepexi
1,Telefonica Movistar,celulares,2,18.462854,-97.390503,https://mitehuacan.mx/?ruta=altepexi
1,Tienda De Accesorios Servicel,celulares,2,18.367207,-97.299224,https://mitehuacan.mx/?ruta=altepexi
1,Servi-Cel,celulares,3,18.370294,-97.297837,https://mitehuacan.mx/?ruta=altepexi
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,3,18.462848,-97.390304,https://mitehuacan.mx/?ruta=altepexi
1,Novedades Sin Nombre,celulares,4,18.371072,-97.297509,https://mitehuacan.mx/?ruta=altepexi
1,Electronica Osve,celulares,5,18.462754,-97.387432,https://mitehuacan.mx/?ruta=altepexi
1,Venta De Telefonia Y Accesorios,celulares,6,18.367186,-97.299149,https://mitehuacan.mx/?ruta=altepexi
1,Compra Venta De Accesorios Para Celular Life Style,celulares,7,18.462976,-97.390565,https://mitehuacan.mx/?ruta=altepexi
1,Reparacion Y Venta De Accesorios Telefonicos Ganac,celulares,8,18.462891,-97.388139,https://mitehuacan.mx/?ruta=altepexi
1,Tienda De Telefonos Telcel,celulares,8,18.462948,-97.389655,https://mitehuacan.mx/?ruta=altepexi
1,Celulares Telcel,celulares,9,18.462859,-97.386954,https://mitehuacan.mx/?ruta=altepexi
1,Accesorios Para Celular Cell Ma-Va,celulares,12,18.462758,-97.389318,https://mitehuacan.mx/?ruta=altepexi
1,Fix Mobile,celulares,12,18.376106,-97.300407,https://mitehuacan.mx/?ruta=altepexi
1,Distribuidora Telcel,celulares,14,18.367405,-97.298976,https://mitehuacan.mx/?ruta=altepexi
1,Distribuidora De Telcel,celulares,21,18.367212,-97.298989,https://mitehuacan.mx/?ruta=altepexi
1,Venta De Audio Y Computo Mitzu Electronicos,celulares,21,18.462677,-97.38932,https://mitehuacan.mx/?ruta=altepexi
1,Compra Venta De Refacciones Para Celular,celulares,53,18.464343,-97.3894,https://mitehuacan.mx/?ruta=altepexi
1,Accesorios Para Celular Y Reparaciones De Celulares Rg Unloc,celulares,55,18.463287,-97.387079,https://mitehuacan.mx/?ruta=altepexi
1,Venta De Accesorios Para Celular Cell-Tab,celulares,57,18.464852,-97.391052,https://mitehuacan.mx/?ruta=altepexi
1,Tienda De Accesorios Para Celular Sin Nombre,celulares,67,18.463389,-97.387073,https://mitehuacan.mx/?ruta=altepexi
1,Tienda De Accesorios Para El Celular Centro Cell,celulares,69,18.462305,-97.390762,https://mitehuacan.mx/?ruta=altepexi
1,Tienda De Accesorios Pra Celular Sin Nombre,celulares,78,18.462871,-97.391233,https://mitehuacan.mx/?ruta=altepexi
1,Accesorios De Telefono,celulares,88,18.369356,-97.299174,https://mitehuacan.mx/?ruta=altepexi
1,Compra Venta De Accesorios Para Celular La Reina,celulares,89,18.464143,-97.391352,https://mitehuacan.mx/?ruta=altepexi
1,Compra Venta De Accesorios Para Celular Telef Mania,celulares,89,18.464369,-97.391348,https://mitehuacan.mx/?ruta=altepexi
1,Compra Venta De Accesorios Para Celulares Technology Store,celulares,90,18.463817,-97.391357,https://mitehuacan.mx/?ruta=altepexi
1,Macropay,celulares,90,18.463938,-97.386968,https://mitehuacan.mx/?ruta=altepexi
1,Dsitribuidor Autorizado Ultracel,celulares,99,18.464833,-97.391448,https://mitehuacan.mx/?ruta=altepexi
1,Reparacion De Computadoras Movil Cel Lap,celulares,100,18.464993,-97.391447,https://mitehuacan.mx/?ruta=altepexi
1,Reparacion De Telefonos Telcel,celulares,105,18.464663,-97.381524,https://mitehuacan.mx/?ruta=altepexi
1,La Casa De La Tecnologia,celulares,111,18.461866,-97.389462,https://mitehuacan.mx/?ruta=altepexi
