prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Tortas Las Cuñis,café,1,18.469113,-97.393651,https://mitehuacan.mx/?ruta=c-valle
1,Venta De Jugos Sin Nombre,café,3,18.462702,-97.385574,https://mitehuacan.mx/?ruta=c-valle
1,Jugueria De Frutas El Naranjito,café,5,18.466879,-97.391429,https://mitehuacan.mx/?ruta=c-valle
1,Desayunos Panchis,café,8,18.469035,-97.389801,https://mitehuacan.mx/?ruta=c-valle
1,La Curva Antojos,café,8,18.473153,-97.375108,https://mitehuacan.mx/?ruta=c-valle
1,Cafeteria La Suiza,café,11,18.459039,-97.389388,https://mitehuacan.mx/?ruta=c-valle
1,Venta De Pan Casero Mr Dumpling,café,12,18.463368,-97.38943,https://mitehuacan.mx/?ruta=c-valle
1,Ricafet,café,12,18.46711,-97.393528,https://mitehuacan.mx/?ruta=c-valle
1,Cafeteria Idue Cafe,café,22,18.459066,-97.385896,https://mitehuacan.mx/?ruta=c-valle
1,Cafeteria Cafe Iberia,café,23,18.465286,-97.382698,https://mitehuacan.mx/?ruta=c-valle
1,Jugueria Sin Nombre,café,24,18.465817,-97.382689,https://mitehuacan.mx/?ruta=c-valle
1,Mokafe Cafeteria,café,27,18.466774,-97.393899,https://mitehuacan.mx/?ruta=c-valle
1,Elaboracion Y Venta De Bebidas Bobba Go,café,31,18.458623,-97.389801,https://mitehuacan.mx/?ruta=c-valle
1,La Incluyente Cafeteria Y Panaderia,café,31,18.466737,-97.393899,https://mitehuacan.mx/?ruta=c-valle
1,Hemingway Coffe,café,40,18.466656,-97.393901,https://mitehuacan.mx/?ruta=c-valle
1,Ruta Cafe,café,42,18.459007,-97.388643,https://mitehuacan.mx/?ruta=c-valle
1,Venta De Aguas Sin Nombre,café,45,18.460548,-97.389868,https://mitehuacan.mx/?ruta=c-valle
1,Cafeteria Ricatory,café,50,18.462876,-97.387561,https://mitehuacan.mx/?ruta=c-valle
1,Hamburguesas Burguer Lukas,café,54,18.467461,-97.393003,https://mitehuacan.mx/?ruta=c-valle
1,Tienda Escolar,café,54,18.462222,-97.384842,https://mitehuacan.mx/?ruta=c-valle
