prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Comedor Escolar De La Escuela General Rafael Avila Camacho T,café,5,18.330556,-97.346067,https://mitehuacan.mx/?ruta=chilac
1,Tienda Escolar De La Escuela Primaria General Rafael Avila C,café,5,18.330556,-97.346067,https://mitehuacan.mx/?ruta=chilac
1,Tienda Escolar De La Primaria General Rafael Avila Camacho T,café,5,18.330564,-97.346064,https://mitehuacan.mx/?ruta=chilac
1,Venta De Jugos El Sol,café,10,18.45473,-97.387763,https://mitehuacan.mx/?ruta=chilac
1,Cafeteria La Suiza,café,11,18.459039,-97.389388,https://mitehuacan.mx/?ruta=chilac
1,Desayunados Juquilita,café,13,18.456252,-97.389436,https://mitehuacan.mx/?ruta=chilac
1,Aguas Frescas,café,15,18.352453,-97.338211,https://mitehuacan.mx/?ruta=chilac
1,Jugueria Emanuel,café,15,18.330354,-97.346019,https://mitehuacan.mx/?ruta=chilac
1,Cafeteria Duvalin,café,17,18.420576,-97.364545,https://mitehuacan.mx/?ruta=chilac
1,Cafeteria El Kuskito,café,17,18.420558,-97.364536,https://mitehuacan.mx/?ruta=chilac
1,Venta De Jugos Pety Frut,café,27,18.450306,-97.384206,https://mitehuacan.mx/?ruta=chilac
1,Elaboracion Y Venta De Bebidas Bobba Go,café,31,18.458623,-97.389801,https://mitehuacan.mx/?ruta=chilac
1,Jugueria Sin Nombre,café,44,18.456472,-97.389978,https://mitehuacan.mx/?ruta=chilac
1,Venta De Aguas Sin Nombre,café,45,18.460548,-97.389868,https://mitehuacan.mx/?ruta=chilac
1,Ruta Cafe,café,89,18.459007,-97.388643,https://mitehuacan.mx/?ruta=chilac
1,Cooperativa Escolar Benito Juarez,café,94,18.446668,-97.381355,https://mitehuacan.mx/?ruta=chilac
1,Cafeteria Flor De Cafe,café,118,18.461501,-97.390292,https://mitehuacan.mx/?ruta=chilac
1,Venta De Aguas Frescas Sin Nombre,café,123,18.458655,-97.390673,https://mitehuacan.mx/?ruta=chilac
1,Cooperativa Escolar Tecnica 21,café,128,18.450507,-97.383185,https://mitehuacan.mx/?ruta=chilac
1,Cafeteria De La Universidad Upaep,café,136,18.441235,-97.381498,https://mitehuacan.mx/?ruta=chilac
1,Cafeteria Idue Cafe,café,138,18.459066,-97.385896,https://mitehuacan.mx/?ruta=chilac
1,Nieve Altesanal La Jiotilla,café,145,18.326821,-97.346294,https://mitehuacan.mx/?ruta=chilac
1,Tienda Escolar Sin Nombre Escuela Primaria Manuel Avila Cama,café,146,18.456415,-97.390938,https://mitehuacan.mx/?ruta=chilac
1,Black Cell,celulares,4,18.460724,-97.387596,https://mitehuacan.mx/?ruta=chilac
1,House - Cel,celulares,5,18.460746,-97.38879,https://mitehuacan.mx/?ruta=chilac
1,Novedades Fabys,celulares,5,18.460746,-97.388752,https://mitehuacan.mx/?ruta=chilac
1,Smart Service,celulares,5,18.46073,-97.388003,https://mitehuacan.mx/?ruta=chilac
1,King Memori,celulares,6,18.460751,-97.389027,https://mitehuacan.mx/?ruta=chilac
1,Tecnology Estore,celulares,6,18.46075,-97.389018,https://mitehuacan.mx/?ruta=chilac
1,Venta De Accesorios Para Celular Farmacell,celulares,6,18.458602,-97.38727,https://mitehuacan.mx/?ruta=chilac
1,Macropay,celulares,8,18.459805,-97.389379,https://mitehuacan.mx/?ruta=chilac
1,Macropay,celulares,8,18.460041,-97.389377,https://mitehuacan.mx/?ruta=chilac
1,Venta De Accesorios Para Celulares Varios,celulares,10,18.446599,-97.382203,https://mitehuacan.mx/?ruta=chilac
1,Venta De Accesorios Para Celular Redi,celulares,12,18.45875,-97.389393,https://mitehuacan.mx/?ruta=chilac
1,Dan Audio Tienda De Electronica,celulares,13,18.456352,-97.389433,https://mitehuacan.mx/?ruta=chilac
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel,celulares,16,18.458608,-97.387363,https://mitehuacan.mx/?ruta=chilac
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,19,18.460765,-97.389624,https://mitehuacan.mx/?ruta=chilac
1,Venta De Celulares Celular World,celulares,19,18.460765,-97.389624,https://mitehuacan.mx/?ruta=chilac
1,Venta De Celulares Grupo Accel,celulares,19,18.460765,-97.389624,https://mitehuacan.mx/?ruta=chilac
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,20,18.458618,-97.389317,https://mitehuacan.mx/?ruta=chilac
1,Accesorios De Celulares Vale Bu,celulares,23,18.458722,-97.389285,https://mitehuacan.mx/?ruta=chilac
1,Venta De Accesorios Telefonicos Dido Cell,celulares,25,18.460874,-97.389668,https://mitehuacan.mx/?ruta=chilac
1,Venta De Accesorios Telefonicos Y Electronicos La Casa Del C,celulares,30,18.460767,-97.389729,https://mitehuacan.mx/?ruta=chilac
1,Venta De Accesorios Para Celular Novedades Hernandez,celulares,32,18.460876,-97.389735,https://mitehuacan.mx/?ruta=chilac
1,Unlock Cell Andy Venta De Articulos Para Celulares,celulares,49,18.458629,-97.389972,https://mitehuacan.mx/?ruta=chilac
1,Venta De Accesorios Para. Celulares,celulares,67,18.461357,-97.387035,https://mitehuacan.mx/?ruta=chilac
1,Tiendas De Telefonos Distribuidor Autorizado Telcel Pamec,celulares,70,18.461441,-97.389465,https://mitehuacan.mx/?ruta=chilac
1,Reparacion Y Accesorios Movile Zone,celulares,83,18.460781,-97.390222,https://mitehuacan.mx/?ruta=chilac
1,Reparacion Y Accesorios Para Celular Sin Nombre,celulares,89,18.461574,-97.389692,https://mitehuacan.mx/?ruta=chilac
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel ,celulares,95,18.458583,-97.388607,https://mitehuacan.mx/?ruta=chilac
1,Venta De Accesorios Para Celular Compu Planet,celulares,107,18.460787,-97.390449,https://mitehuacan.mx/?ruta=chilac
1,La Casa De La Tecnologia,celulares,117,18.461866,-97.389462,https://mitehuacan.mx/?ruta=chilac
1,Distribuidor Autorizado Movistar,celulares,118,18.461501,-97.390292,https://mitehuacan.mx/?ruta=chilac
1,Venta De Refacciones Para Celulares Celular Center,celulares,118,18.461501,-97.390292,https://mitehuacan.mx/?ruta=chilac
1,Venta De Accesorios Para Celular Cell Phone,celulares,125,18.460791,-97.39062,https://mitehuacan.mx/?ruta=chilac
1,Venta De Accesorios Para Celular Case Store,celulares,126,18.461582,-97.390318,https://mitehuacan.mx/?ruta=chilac
1,Grupo Accel,celulares,127,18.458657,-97.390711,https://mitehuacan.mx/?ruta=chilac
1,Venta De Celulares Cellular Wordl,celulares,127,18.458657,-97.390711,https://mitehuacan.mx/?ruta=chilac
1,Accesorios Y Novedades Panda,celulares,129,18.4609,-97.390654,https://mitehuacan.mx/?ruta=chilac
1,Macropay,celulares,129,18.460713,-97.390664,https://mitehuacan.mx/?ruta=chilac
1,Tienda De Discos Sin Nombre,celulares,140,18.457302,-97.385937,https://mitehuacan.mx/?ruta=chilac
1,Celular Wort,celulares,148,18.460796,-97.390838,https://mitehuacan.mx/?ruta=chilac
1,Clinica Dental Santa Maria,consultorio,2,18.455959,-97.387272,https://mitehuacan.mx/?ruta=chilac
1,Clinica Imagen Dental Kids,consultorio,2,18.447024,-97.382513,https://mitehuacan.mx/?ruta=chilac
1,Consultorio De Cirugia,consultorio,2,18.447006,-97.382504,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Medico De Fundacion Best Similares,consultorio,2,18.450414,-97.384587,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Medico De Fundacion Best Similares Fundacion Bes,consultorio,2,18.450414,-97.384587,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Medico Sin Nombre,consultorio,2,18.450607,-97.384734,https://mitehuacan.mx/?ruta=chilac
1,Consultorio De Odontologia Integral Am,consultorio,3,18.460644,-97.389474,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Medico Medicina General,consultorio,3,18.460672,-97.389473,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Odontologico Gupa,consultorio,3,18.334643,-97.345079,https://mitehuacan.mx/?ruta=chilac
1,Mundo Optico,consultorio,3,18.459216,-97.387164,https://mitehuacan.mx/?ruta=chilac
1,Clinica Dental Sin Nombre,consultorio,4,18.460719,-97.38733,https://mitehuacan.mx/?ruta=chilac
1,Clinica Dental Orduña,consultorio,5,18.460811,-97.387849,https://mitehuacan.mx/?ruta=chilac
1,Dental Veracruzana,consultorio,5,18.460741,-97.388487,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Medico Sin Nombre,consultorio,7,18.449585,-97.383857,https://mitehuacan.mx/?ruta=chilac
1,Consultorios Medicos Cisi,consultorio,7,18.441345,-97.380067,https://mitehuacan.mx/?ruta=chilac
1,Galez Centro Odontologico,consultorio,9,18.459528,-97.389383,https://mitehuacan.mx/?ruta=chilac
1,Clinica Dental Ardent Odontologia Integral,consultorio,10,18.459148,-97.389387,https://mitehuacan.mx/?ruta=chilac
1,Consultorio De Podologia Sin Nombre,consultorio,10,18.459295,-97.3871,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Deltan Sin Nombre,consultorio,11,18.458894,-97.38939,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Dental Dentihealth,consultorio,11,18.456886,-97.389445,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Dental Dentely,consultorio,12,18.452247,-97.385861,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Medico General,consultorio,12,18.458732,-97.389393,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Dental Dentisar,consultorio,13,18.450983,-97.384902,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Privado Sin Nombfre,consultorio,13,18.32802,-97.346616,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Dental Avanzada,consultorio,15,18.33039,-97.34601,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Dental Idental,consultorio,25,18.457501,-97.389772,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Medico Sin Nombre,consultorio,31,18.447903,-97.383344,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Dental San Pedro,consultorio,36,18.461079,-97.387118,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Medico Sin Nombre,consultorio,36,18.455122,-97.389467,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Dental Sin Nombre,consultorio,49,18.455004,-97.38947,https://mitehuacan.mx/?ruta=chilac
1,Consultorio De Fisioterapia Rehabilitare,consultorio,56,18.458541,-97.387745,https://mitehuacan.mx/?ruta=chilac
1,Kinesio Vida,consultorio,68,18.456989,-97.390197,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Dental Consultorio Mona Lisa,consultorio,69,18.457352,-97.388885,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Fundacion Best,consultorio,69,18.458547,-97.387868,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Dental Sin Nombre,consultorio,70,18.458699,-97.38884,https://mitehuacan.mx/?ruta=chilac
1,Quiropractica Tradicional Y Masajista,consultorio,70,18.460144,-97.388213,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Dental Sin Nombre,consultorio,73,18.328593,-97.347307,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Medico Sin Nombre,consultorio,73,18.461414,-97.38711,https://mitehuacan.mx/?ruta=chilac
1,Consultorio De Medicina General Sin Nombre,consultorio,75,18.454331,-97.388456,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Dental,consultorio,86,18.455426,-97.390383,https://mitehuacan.mx/?ruta=chilac
1,Servicio Dental Dental 24 Horass,consultorio,86,18.461574,-97.388895,https://mitehuacan.mx/?ruta=chilac
1,Clinica Dental Sin Nombre,consultorio,92,18.457326,-97.386391,https://mitehuacan.mx/?ruta=chilac
1,Mega Den Consultorio,consultorio,92,18.446759,-97.38338,https://mitehuacan.mx/?ruta=chilac
1,Huesero,consultorio,95,18.457456,-97.388635,https://mitehuacan.mx/?ruta=chilac
1,Consultorio De Similares,consultorio,102,18.461731,-97.389463,https://mitehuacan.mx/?ruta=chilac
1,Consultorio De Similares,consultorio,106,18.460787,-97.39044,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Medico Farmacias Similares,consultorio,106,18.460787,-97.39044,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Clinica Dental Molaris,consultorio,108,18.450876,-97.386233,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Dental,consultorio,110,18.460896,-97.390474,https://mitehuacan.mx/?ruta=chilac
1,Consultorio De Odontologia Integral Y Ortodoncia,consultorio,118,18.454468,-97.390008,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Dental Ortidenth,consultorio,118,18.461501,-97.390292,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Dental Mora,consultorio,119,18.461828,-97.387031,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Medico,consultorio,120,18.453957,-97.388694,https://mitehuacan.mx/?ruta=chilac
1,Centro Optico,consultorio,136,18.460675,-97.385823,https://mitehuacan.mx/?ruta=chilac
1,Clinica De Fisioterapeota Fisiorabi,consultorio,144,18.327608,-97.348013,https://mitehuacan.mx/?ruta=chilac
1,Consultorio De Psicologia Sin Nombre,consultorio,144,18.444548,-97.382813,https://mitehuacan.mx/?ruta=chilac
1,Unidad De Medicina Integral De Tehuacan Eterno,consultorio,144,18.457016,-97.390908,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Dental,consultorio,147,18.460744,-97.385726,https://mitehuacan.mx/?ruta=chilac
1,Consultorio Dental Rehabilident,consultorio,149,18.457536,-97.390948,https://mitehuacan.mx/?ruta=chilac
1,Servicio De Reparacion Electronica Juarez,electrónica,4,18.460718,-97.387216,https://mitehuacan.mx/?ruta=chilac
1,Arcade G.O.2,electrónica,5,18.458825,-97.387168,https://mitehuacan.mx/?ruta=chilac
1,Mobile Unlock,electrónica,5,18.460729,-97.387937,https://mitehuacan.mx/?ruta=chilac
1,Venta De Accesorios Celulares Computacion Y Repaciones De Ce,electrónica,5,18.460845,-97.388939,https://mitehuacan.mx/?ruta=chilac
1,Venta De Material De Bocina Y Reparacion Tecnica Universal,electrónica,8,18.460153,-97.389375,https://mitehuacan.mx/?ruta=chilac
1,Servicio De Video Juegos Sin Nombre,electrónica,10,18.456029,-97.387194,https://mitehuacan.mx/?ruta=chilac
1,Reparacel,electrónica,11,18.458653,-97.387108,https://mitehuacan.mx/?ruta=chilac
1,Servicio Electronico Eprom,electrónica,14,18.447757,-97.383091,https://mitehuacan.mx/?ruta=chilac
1,Taller De Reparacion De Celulares Sin Nombre,electrónica,19,18.455877,-97.389751,https://mitehuacan.mx/?ruta=chilac
1,Renta De Maquinitas,electrónica,21,18.460705,-97.386913,https://mitehuacan.mx/?ruta=chilac
1,Reparacion De Celulares Global Technology,electrónica,33,18.458612,-97.389194,https://mitehuacan.mx/?ruta=chilac
1,Tienda De Articulos Para Celular Gsm Un Looker,electrónica,34,18.457474,-97.389213,https://mitehuacan.mx/?ruta=chilac
1,Taller De Electronica Escorpion,electrónica,43,18.457469,-97.389128,https://mitehuacan.mx/?ruta=chilac
1,Venta De Tortillas Sin Nombre,electrónica,51,18.449941,-97.384838,https://mitehuacan.mx/?ruta=chilac
1,Reparacion De Telefonos Sin Nombre,electrónica,54,18.461293,-97.389346,https://mitehuacan.mx/?ruta=chilac
1,Videojuegos Sin Nombre,electrónica,69,18.450636,-97.38397,https://mitehuacan.mx/?ruta=chilac
1,Renta De Xbox,electrónica,88,18.461573,-97.389661,https://mitehuacan.mx/?ruta=chilac
1,Taller De Compostura De Telefonia At&T,electrónica,96,18.457108,-97.39046,https://mitehuacan.mx/?ruta=chilac
1,Maquinitas Juegos Sin Nombre,electrónica,108,18.461579,-97.390071,https://mitehuacan.mx/?ruta=chilac
1,Taller De Sistemas Audio Fuentes,electrónica,108,18.461486,-97.386431,https://mitehuacan.mx/?ruta=chilac
1,Reparacion De Celulares Salto Del Agua,electrónica,120,18.460898,-97.390569,https://mitehuacan.mx/?ruta=chilac
1,Reparacion De Celulares Androicell,electrónica,121,18.459985,-97.385997,https://mitehuacan.mx/?ruta=chilac
1,Reparacion Celulares Megatronic,electrónica,126,18.461891,-97.38703,https://mitehuacan.mx/?ruta=chilac
1,Taller De Reparacion De Celulares Sin Nombre,electrónica,133,18.454369,-97.390115,https://mitehuacan.mx/?ruta=chilac
1,Reparacion De Celulares Y Venta De Accesorios Cell-Solutions,electrónica,134,18.451004,-97.386633,https://mitehuacan.mx/?ruta=chilac
1,Compra Venta De Audios Y Video,electrónica,138,18.460666,-97.390749,https://mitehuacan.mx/?ruta=chilac
1,Servicio Tecnico Sin Nombre,electrónica,138,18.453431,-97.388486,https://mitehuacan.mx/?ruta=chilac
1,Taller De Reparacion De Celulares Moviles Azuani,electrónica,143,18.457435,-97.390894,https://mitehuacan.mx/?ruta=chilac
1,Mastercell,electrónica,149,18.458461,-97.385803,https://mitehuacan.mx/?ruta=chilac
1,Estetica Vero,estética,0,18.458889,-97.389495,https://mitehuacan.mx/?ruta=chilac
1,Sala De Belleza Yuli,estética,0,18.455568,-97.38957,https://mitehuacan.mx/?ruta=chilac
1,Barberia Shop Ramos,estética,2,18.456744,-97.389535,https://mitehuacan.mx/?ruta=chilac
1,Estetica Color Sistem,estética,2,18.452128,-97.385887,https://mitehuacan.mx/?ruta=chilac
1,Peluqueria Blanco Y Negro,estética,2,18.446509,-97.382287,https://mitehuacan.mx/?ruta=chilac
1,Peluqueria Juarez,estética,2,18.32945,-97.346348,https://mitehuacan.mx/?ruta=chilac
1,Peluqueria Hair Stachion,estética,3,18.451747,-97.385598,https://mitehuacan.mx/?ruta=chilac
1,Sala De Belleza Sin Nombre,estética,3,18.450864,-97.384928,https://mitehuacan.mx/?ruta=chilac
1,Peluqueria De Barrio,estética,4,18.460795,-97.387327,https://mitehuacan.mx/?ruta=chilac
1,Sala De Belleza By Paty Robles,estética,4,18.447584,-97.38281,https://mitehuacan.mx/?ruta=chilac
1,Salon De Belleza Sm,estética,4,18.456875,-97.389585,https://mitehuacan.mx/?ruta=chilac
1,Centro Estetico Carmen,estética,5,18.460849,-97.389062,https://mitehuacan.mx/?ruta=chilac
1,Estetica Luisita,estética,5,18.460727,-97.387823,https://mitehuacan.mx/?ruta=chilac
1,Estetica Sin Nombre,estética,8,18.454691,-97.387248,https://mitehuacan.mx/?ruta=chilac
1,Peluqueria Y Barberia Papi Chulo,estética,9,18.459492,-97.389383,https://mitehuacan.mx/?ruta=chilac
1,Estetica Madoza,estética,11,18.459869,-97.38955,https://mitehuacan.mx/?ruta=chilac
1,Estetica Nueva Imagen,estética,11,18.458605,-97.387316,https://mitehuacan.mx/?ruta=chilac
1,Estetica Unisex Gloss,estética,11,18.447253,-97.38255,https://mitehuacan.mx/?ruta=chilac
