prioridad,negocio,categoria,dist_m,lat,lon,maps
1,Cafeteria Sabores,café,2,18.548142,-97.488389,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cooperativa Escuela Porfirio Cordero Perez,café,2,18.486571,-97.408788,https://mitehuacan.mx/?ruta=cuayucatepec
1,Tienda Escolar Sin Nombre,café,2,18.465123,-97.387018,https://mitehuacan.mx/?ruta=cuayucatepec
1,Jugueria De Frutas El Naranjito,café,3,18.466879,-97.391429,https://mitehuacan.mx/?ruta=cuayucatepec
1,Venta De Pan Casero Mr Dumpling,café,3,18.463368,-97.38943,https://mitehuacan.mx/?ruta=cuayucatepec
1,Tienda Escolar Reforma,café,4,18.512561,-97.49477,https://mitehuacan.mx/?ruta=cuayucatepec
1,Desayunos Panchis,café,5,18.469035,-97.389801,https://mitehuacan.mx/?ruta=cuayucatepec
1,Restaurante Drayeck,café,6,18.477961,-97.397836,https://mitehuacan.mx/?ruta=cuayucatepec
1,Jugos Y Licuados Don Ofir,café,7,18.475325,-97.433841,https://mitehuacan.mx/?ruta=cuayucatepec
1,Jugueria Sin Nombre,café,7,18.489699,-97.404492,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cafeteria Las 3 B,café,8,18.475074,-97.394978,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cafeteria San Francisco,café,8,18.470488,-97.392805,https://mitehuacan.mx/?ruta=cuayucatepec
1,Caseta De Comida Sin Nombre,café,8,18.479009,-97.421187,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cooperativa Escolar Turno Matutino,café,8,18.477033,-97.397059,https://mitehuacan.mx/?ruta=cuayucatepec
1,Expendio Titos,café,8,18.512009,-97.493554,https://mitehuacan.mx/?ruta=cuayucatepec
1,Expreso Cafe,café,8,18.470488,-97.392805,https://mitehuacan.mx/?ruta=cuayucatepec
1,Helados Panchito,café,8,18.470488,-97.392805,https://mitehuacan.mx/?ruta=cuayucatepec
1,Jugos Y Licuados Karina,café,8,18.470488,-97.392805,https://mitehuacan.mx/?ruta=cuayucatepec
1,The Italian Coffee Company,café,8,18.471005,-97.394196,https://mitehuacan.mx/?ruta=cuayucatepec
1,Tienda Escolar Liberacion Turno Vespertino Numero De Concesi,café,8,18.477033,-97.397059,https://mitehuacan.mx/?ruta=cuayucatepec
1,Venta De Jugos Y Refrescos San Juditas,café,8,18.470488,-97.392805,https://mitehuacan.mx/?ruta=cuayucatepec
1,Aguas Frescas Sin Nombre,café,9,18.490169,-97.40475,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cafeteria Pirillos,café,9,18.470215,-97.393927,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cafeteria Isabella,café,14,18.549067,-97.485214,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cafeteria La Suiza,café,15,18.459039,-97.389388,https://mitehuacan.mx/?ruta=cuayucatepec
1,Ricafet,café,15,18.46711,-97.393528,https://mitehuacan.mx/?ruta=cuayucatepec
1,Caseta Metalica Sin Nombre,café,16,18.484546,-97.402084,https://mitehuacan.mx/?ruta=cuayucatepec
1,Caseta Sin Nombre,café,16,18.484528,-97.402074,https://mitehuacan.mx/?ruta=cuayucatepec
1,Mokafe Cafeteria,café,24,18.466774,-97.393899,https://mitehuacan.mx/?ruta=cuayucatepec
1,Elaboracion Y Venta De Bebidas Bobba Go,café,26,18.458623,-97.389801,https://mitehuacan.mx/?ruta=cuayucatepec
1,La Incluyente Cafeteria Y Panaderia,café,28,18.466737,-97.393899,https://mitehuacan.mx/?ruta=cuayucatepec
1,Hemingway Coffe,café,37,18.466656,-97.393901,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cafeteria Sin Nombre,café,39,18.548531,-97.485556,https://mitehuacan.mx/?ruta=cuayucatepec
1,Tortas Las Cuñis,café,40,18.469113,-97.393651,https://mitehuacan.mx/?ruta=cuayucatepec
1,Venta De Aguas Sin Nombre,café,42,18.460548,-97.389868,https://mitehuacan.mx/?ruta=cuayucatepec
1,Tienda Escolar,café,44,18.548016,-97.485822,https://mitehuacan.mx/?ruta=cuayucatepec
1,Ruta Cafe,café,50,18.459007,-97.388643,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cafeteria Ricatory,café,55,18.462876,-97.387561,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cafeteria Entre Aromas & Cafe,café,56,18.46648,-97.393904,https://mitehuacan.mx/?ruta=cuayucatepec
1,Hamburguesas Burguer Lukas,café,56,18.467461,-97.393003,https://mitehuacan.mx/?ruta=cuayucatepec
1,Ambrosia,café,57,18.470355,-97.392347,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cafeteria Bombay,café,61,18.466439,-97.393904,https://mitehuacan.mx/?ruta=cuayucatepec
1,La Dulce Crepa,café,68,18.548553,-97.485831,https://mitehuacan.mx/?ruta=cuayucatepec
1,Maple Cafeteria,café,68,18.46634,-97.393037,https://mitehuacan.mx/?ruta=cuayucatepec
1,All Natural Jugos Tortas Y Licuados,café,76,18.546865,-97.486099,https://mitehuacan.mx/?ruta=cuayucatepec
1,Hemingway,café,81,18.466255,-97.393907,https://mitehuacan.mx/?ruta=cuayucatepec
1,Punto Cafe,café,83,18.548571,-97.486334,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cafeteria Flor De Cafe,café,88,18.461501,-97.390292,https://mitehuacan.mx/?ruta=cuayucatepec
1,Venta De Jugos Y Licuados Sin Nombre,café,90,18.47958,-97.39998,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cefeteria El Eden,café,91,18.476871,-97.396028,https://mitehuacan.mx/?ruta=cuayucatepec
1,Tienda Escolar De La Escuela Benito Juarez,café,97,18.473224,-97.430184,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cafe Sierra Negra,café,108,18.465978,-97.393045,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cafeteria Ceut,café,114,18.463635,-97.388377,https://mitehuacan.mx/?ruta=cuayucatepec
1,Venta De Desayunos Sin Nombre,café,116,18.462891,-97.388139,https://mitehuacan.mx/?ruta=cuayucatepec
1,Venta De Aguas Frescas Sin Nombre,café,119,18.458655,-97.390673,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cafeteria A & A Smoothies,café,127,18.465754,-97.391335,https://mitehuacan.mx/?ruta=cuayucatepec
1,Jugos Hernandez,café,128,18.461786,-97.390665,https://mitehuacan.mx/?ruta=cuayucatepec
1,Cafeteria Idue Cafe,café,133,18.459066,-97.385896,https://mitehuacan.mx/?ruta=cuayucatepec
1,Venta De Comida Frutileto,café,139,18.465694,-97.392929,https://mitehuacan.mx/?ruta=cuayucatepec
1,La Casa De La Tecnologia,celulares,1,18.461866,-97.389462,https://mitehuacan.mx/?ruta=cuayucatepec
1,Seper Celular,celulares,1,18.548244,-97.488215,https://mitehuacan.mx/?ruta=cuayucatepec
1,Tiendas De Telefonos Distribuidor Autorizado Telcel Pamec,celulares,1,18.461441,-97.389465,https://mitehuacan.mx/?ruta=cuayucatepec
1,Accesorios Asjari,celulares,2,18.475048,-97.43404,https://mitehuacan.mx/?ruta=cuayucatepec
1,Tienda De Telefonos Distribuidor Autorizado Pamec Telcel,celulares,3,18.458618,-97.389317,https://mitehuacan.mx/?ruta=cuayucatepec
1,Macropay,celulares,4,18.463938,-97.386968,https://mitehuacan.mx/?ruta=cuayucatepec
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel ,celulares,4,18.458583,-97.388607,https://mitehuacan.mx/?ruta=cuayucatepec
1,Dmaeg Technology In Your Hands,celulares,5,18.469039,-97.389886,https://mitehuacan.mx/?ruta=cuayucatepec
1,Accesorios Para Celular Y Reparaciones De Celulares Rg Unloc,celulares,6,18.463287,-97.387079,https://mitehuacan.mx/?ruta=cuayucatepec
1,Compra Venta De Refacciones Para Celular,celulares,6,18.464343,-97.3894,https://mitehuacan.mx/?ruta=cuayucatepec
1,Tienda De Accesorios Para Celular Sin Nombre,celulares,6,18.463389,-97.387073,https://mitehuacan.mx/?ruta=cuayucatepec
1,Venta De Accesorios Para. Celulares,celulares,6,18.461357,-97.387035,https://mitehuacan.mx/?ruta=cuayucatepec
1,Celulares Telcel,celulares,9,18.462859,-97.386954,https://mitehuacan.mx/?ruta=cuayucatepec
1,Tienda De Accesorios Para Celular Shoppy Phone,celulares,9,18.467054,-97.393512,https://mitehuacan.mx/?ruta=cuayucatepec
1,Tienda De Telefonia Genius Movil,celulares,9,18.466822,-97.391325,https://mitehuacan.mx/?ruta=cuayucatepec
1,Macropay,celulares,12,18.460041,-97.389377,https://mitehuacan.mx/?ruta=cuayucatepec
1,Venta De Accesorios Para Celular Farmacell,celulares,12,18.458602,-97.38727,https://mitehuacan.mx/?ruta=cuayucatepec
1,Macropay,celulares,13,18.459805,-97.389379,https://mitehuacan.mx/?ruta=cuayucatepec
1,Accesorios Para Celular Cell Ma-Va,celulares,14,18.462758,-97.389318,https://mitehuacan.mx/?ruta=cuayucatepec
1,Venta De Audio Y Computo Mitzu Electronicos,celulares,14,18.462677,-97.38932,https://mitehuacan.mx/?ruta=cuayucatepec
1,Venta De Telefonos Celulares Distribuidor Autorizado Telcel,celulares,14,18.458608,-97.387363,https://mitehuacan.mx/?ruta=cuayucatepec
