id,batch,status,route_id,unit_desc,notes
2026-07-A-0001,2026-07-A,printed,15,,
2026-07-A-0002,2026-07-A,printed,43,,
2026-07-A-0003,2026-07-A,printed,5-a,,
2026-07-A-0004,2026-07-A,printed,3,,
2026-07-A-0005,2026-07-A,printed,5,,
2026-07-A-0006,2026-07-A,printed,29-san-lorenzo,,
2026-07-A-0007,2026-07-A,printed,4,,
2026-07-A-0008,2026-07-A,printed,28-san-lorenzo,,
2026-07-A-0009,2026-07-A,printed,24-dina,,
2026-07-A-0010,2026-07-A,printed,20,,
2026-07-A-0011,2026-07-A,printed,15,,
2026-07-A-0012,2026-07-A,printed,43,,
2026-07-A-0013,2026-07-A,printed,5-a,,
2026-07-A-0014,2026-07-A,printed,3,,
2026-07-A-0015,2026-07-A,printed,5,,
2026-07-A-0016,2026-07-A,printed,29-san-lorenzo,,
2026-07-A-0017,2026-07-A,printed,4,,
2026-07-A-0018,2026-07-A,printed,28-san-lorenzo,,
2026-07-A-0019,2026-07-A,printed,24-dina,,
2026-07-A-0020,2026-07-A,printed,20,,
2026-07-A-0021,2026-07-A,printed,15,,
2026-07-A-0022,2026-07-A,printed,43,,
2026-07-A-0023,2026-07-A,printed,5-a,,
2026-07-A-0024,2026-07-A,printed,3,,
2026-07-A-0025,2026-07-A,printed,5,,
2026-07-A-0026,2026-07-A,printed,29-san-lorenzo,,
2026-07-A-0027,2026-07-A,printed,4,,
2026-07-A-0028,2026-07-A,printed,28-san-lorenzo,,
2026-07-A-0029,2026-07-A,printed,24-dina,,
2026-07-A-0030,2026-07-A,printed,20,,
2026-07-A-0031,2026-07-A,printed,15,,
2026-07-A-0032,2026-07-A,printed,43,,
2026-07-A-0033,2026-07-A,printed,5-a,,
2026-07-A-0034,2026-07-A,printed,3,,
2026-07-A-0035,2026-07-A,printed,5,,
2026-07-A-0036,2026-07-A,printed,29-san-lorenzo,,
2026-07-A-0037,2026-07-A,printed,4,,
2026-07-A-0038,2026-07-A,printed,28-san-lorenzo,,
2026-07-A-0039,2026-07-A,printed,24-dina,,
2026-07-A-0040,2026-07-A,printed,20,,
2026-07-A-0041,2026-07-A,printed,15,,
2026-07-A-0042,2026-07-A,printed,43,,
2026-07-A-0043,2026-07-A,printed,5-a,,
2026-07-A-0044,2026-07-A,printed,3,,
2026-07-A-0045,2026-07-A,printed,5,,
2026-07-A-0046,2026-07-A,printed,29-san-lorenzo,,
2026-07-A-0047,2026-07-A,printed,4,,
2026-07-A-0048,2026-07-A,printed,28-san-lorenzo,,
2026-07-A-0049,2026-07-A,printed,24-dina,,
2026-07-A-0050,2026-07-A,printed,20,,
2026-07-A-0051,2026-07-A,printed,15,,
2026-07-A-0052,2026-07-A,printed,43,,
2026-07-A-0053,2026-07-A,printed,5-a,,
2026-07-A-0054,2026-07-A,printed,3,,
2026-07-A-0055,2026-07-A,printed,5,,
2026-07-A-0056,2026-07-A,printed,29-san-lorenzo,,
2026-07-A-0057,2026-07-A,printed,4,,
2026-07-A-0058,2026-07-A,printed,28-san-lorenzo,,
2026-07-A-0059,2026-07-A,printed,24-dina,,
2026-07-A-0060,2026-07-A,printed,20,,
2026-07-A-0061,2026-07-A,printed,15,,
2026-07-A-0062,2026-07-A,printed,43,,
2026-07-A-0063,2026-07-A,printed,5-a,,
2026-07-A-0064,2026-07-A,printed,3,,
2026-07-A-0065,2026-07-A,printed,5,,
2026-07-A-0066,2026-07-A,printed,29-san-lorenzo,,
2026-07-A-0067,2026-07-A,printed,4,,
2026-07-A-0068,2026-07-A,printed,28-san-lorenzo,,
2026-07-A-0069,2026-07-A,printed,24-dina,,
2026-07-A-0070,2026-07-A,printed,20,,
2026-07-A-0071,2026-07-A,printed,15,,
2026-07-A-0072,2026-07-A,printed,43,,
2026-07-A-0073,2026-07-A,printed,5-a,,
2026-07-A-0074,2026-07-A,printed,3,,
2026-07-A-0075,2026-07-A,printed,5,,
2026-07-A-0076,2026-07-A,printed,29-san-lorenzo,,
2026-07-A-0077,2026-07-A,printed,4,,
2026-07-A-0078,2026-07-A,printed,28-san-lorenzo,,
2026-07-A-0079,2026-07-A,printed,24-dina,,
2026-07-A-0080,2026-07-A,printed,20,,
2026-07-A-0081,2026-07-A,printed,15,,
2026-07-A-0082,2026-07-A,printed,43,,
2026-07-A-0083,2026-07-A,printed,5-a,,
2026-07-A-0084,2026-07-A,printed,3,,
2026-07-A-0085,2026-07-A,printed,5,,
2026-07-A-0086,2026-07-A,printed,29-san-lorenzo,,
2026-07-A-0087,2026-07-A,printed,4,,
2026-07-A-0088,2026-07-A,printed,28-san-lorenzo,,
2026-07-A-0089,2026-07-A,printed,24-dina,,
2026-07-A-0090,2026-07-A,printed,20,,
2026-07-A-0091,2026-07-A,printed,15,,
2026-07-A-0092,2026-07-A,printed,43,,
2026-07-A-0093,2026-07-A,printed,5-a,,
2026-07-A-0094,2026-07-A,printed,3,,
2026-07-A-0095,2026-07-A,printed,5,,
2026-07-A-0096,2026-07-A,printed,29-san-lorenzo,,
2026-07-A-0097,2026-07-A,printed,4,,
2026-07-A-0098,2026-07-A,printed,28-san-lorenzo,,
2026-07-A-0099,2026-07-A,printed,24-dina,,
2026-07-A-0100,2026-07-A,printed,20,,
